Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Jaunyyy,Challenger,Victory,2020-11-09,31,3,3,10,4.33,198
Jaunyyy,Challenger,Defeat,2020-11-08,40,9,6,5,2.33,236
Jaunyyy,Challenger,Defeat,2020-11-07,29,5,3,4,3.0,221
Jaunyyy,Challenger,Victory,2020-11-06,25,11,1,6,17.0,207
Jaunyyy,Challenger,Defeat,2020-11-05,29,12,5,2,2.8,192
Jaunyyy,Challenger,Defeat,2020-11-04,27,0,8,4,0.5,185
Jaunyyy,Challenger,Victory,2020-11-03,29,11,5,8,3.8,204
Jaunyyy,Challenger,Victory,2020-10-29,21,4,3,3,2.33,156
Jaunyyy,Challenger,Defeat,2020-10-29,28,3,3,7,3.33,220
Jaunyyy,Challenger,Defeat,2020-10-29,33,6,4,3,2.25,154
Jaunyyy,Challenger,Defeat,2020-10-29,23,2,4,0,0.5,163
Jaunyyy,Challenger,Defeat,2020-10-26,22,3,7,7,1.43,158
Jaunyyy,Challenger,Victory,2020-10-26,29,8,5,7,3.0,224
Jaunyyy,Challenger,Victory,2020-10-26,22,2,1,4,6.0,178
Jaunyyy,Challenger,Defeat,2020-10-21,33,1,7,10,1.57,208
Jaunyyy,Challenger,Victory,2020-10-21,28,12,2,8,10.0,164
Jaunyyy,Challenger,Defeat,2020-10-21,18,1,6,2,0.5,151
Jaunyyy,Challenger,Victory,2020-10-18,18,2,3,3,1.67,115
Jaunyyy,Challenger,Defeat,2020-10-18,20,0,8,0,0.0,139
Jaunyyy,Challenger,Victory,2020-10-13,45,10,8,19,3.62,234
Jaunyyy,Challenger,Victory,2020-10-13,38,13,4,5,4.5,356
Jaunyyy,Challenger,Victory,2020-10-12,22,4,0,6,10.0,186
Jaunyyy,Challenger,Victory,2020-10-12,26,8,2,5,6.5,226
Jaunyyy,Challenger,Defeat,2020-10-12,15,0,2,0,0.0,122
Jaunyyy,Challenger,Victory,2020-10-11,25,5,2,10,7.5,181
Jaunyyy,Challenger,Victory,2020-10-11,25,13,2,3,8.0,244
Jaunyyy,Challenger,Defeat,2020-10-10,36,11,5,14,5.0,294
Jaunyyy,Challenger,Defeat,2020-10-10,30,1,7,8,1.29,247
Jaunyyy,Challenger,Victory,2020-10-08,18,9,0,3,12.0,160
Jaunyyy,Challenger,Victory,2020-10-08,16,4,2,2,3.0,158
Jaunyyy,Challenger,Victory,2020-10-07,24,4,0,7,11.0,203
Jaunyyy,Challenger,Victory,2020-10-06,24,16,2,8,12.0,231
Jaunyyy,Challenger,Victory,2020-10-06,32,15,3,8,7.67,278
Jaunyyy,Challenger,Defeat,2020-10-03,27,2,6,4,1.0,123
Jaunyyy,Challenger,Victory,2020-10-03,15,1,3,1,0.67,83
Jaunyyy,Challenger,Victory,2020-10-03,28,10,2,9,9.5,215
Jaunyyy,Challenger,Victory,2020-09-27,26,5,2,3,4.0,216
Jaunyyy,Challenger,Victory,2020-09-27,16,5,1,1,6.0,112
Jaunyyy,Challenger,Victory,2020-09-27,31,7,4,4,2.75,275
Jaunyyy,Challenger,Victory,2020-09-27,24,3,5,8,2.2,217
Jaunyyy,Challenger,Victory,2020-09-27,38,16,8,15,3.88,288
Jaunyyy,Challenger,Defeat,2020-09-27,40,7,4,6,3.25,444
Jaunyyy,Challenger,Victory,2020-09-26,22,5,4,13,4.5,160
Jaunyyy,Challenger,Victory,2020-09-26,19,8,1,4,12.0,171
Jaunyyy,Challenger,Victory,2020-09-26,24,13,3,7,6.67,210
Jaunyyy,Challenger,Defeat,2020-09-26,31,6,5,5,2.2,306
Jaunyyy,Challenger,Victory,2020-09-26,19,7,2,3,5.0,169
Jaunyyy,Challenger,Defeat,2020-09-26,35,7,4,6,3.25,326
Jaunyyy,Challenger,Victory,2020-09-26,26,12,4,5,4.25,184
