Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
JeffersonSlayerX,Iron I,Defeat,2020-08-23,28,3,7,7,1.43,86
JeffersonSlayerX,Iron I,Defeat,2020-08-21,35,2,5,5,1.4,165
JeffersonSlayerX,Iron I,Victory,2020-08-11,29,3,7,8,1.57,84
JeffersonSlayerX,Iron I,Defeat,2020-08-10,45,9,5,10,3.8,183
JeffersonSlayerX,Iron I,Defeat,2020-08-08,27,3,6,3,1.0,75
JeffersonSlayerX,Iron I,Victory,2020-08-05,42,11,4,13,6.0,120
JeffersonSlayerX,Iron I,Defeat,2020-08-04,24,2,2,2,2.0,93
JeffersonSlayerX,Iron I,Defeat,2020-08-02,30,6,5,4,2.0,81
JeffersonSlayerX,Iron I,Victory,2020-07-28,35,5,3,3,2.67,107
JeffersonSlayerX,Iron I,Victory,2020-07-27,31,3,0,7,10.0,107
JeffersonSlayerX,Iron I,Victory,2020-07-27,17,5,0,1,6.0,110
JeffersonSlayerX,Iron I,Defeat,2020-07-26,33,5,5,6,2.2,141
JeffersonSlayerX,Iron I,Victory,2020-07-25,33,10,5,6,3.2,111
JeffersonSlayerX,Iron I,Victory,2020-07-24,36,7,3,7,4.67,126
JeffersonSlayerX,Iron I,Defeat,2020-07-23,53,3,7,7,1.43,204
JeffersonSlayerX,Iron I,Defeat,2020-01-10,28,0,7,1,0.14,74
