Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Kazuo Tadashi,Challenger,Victory,2020-11-01,15,6,0,2,8.0,117
Kazuo Tadashi,Challenger,Victory,2020-11-01,26,0,1,9,9.0,151
Kazuo Tadashi,Challenger,Defeat,2020-11-01,28,7,5,4,2.2,157
Kazuo Tadashi,Challenger,Defeat,2020-11-01,16,2,3,1,1.0,121
Kazuo Tadashi,Challenger,Victory,2020-11-01,26,16,4,8,6.0,178
Kazuo Tadashi,Challenger,Victory,2020-10-28,21,8,2,5,6.5,127
Kazuo Tadashi,Challenger,Victory,2020-10-28,25,4,4,2,1.5,170
Kazuo Tadashi,Challenger,Defeat,2020-10-28,29,3,2,2,2.5,228
Kazuo Tadashi,Challenger,Defeat,2020-10-26,38,17,8,12,3.62,248
Kazuo Tadashi,Challenger,Victory,2020-10-26,29,6,3,6,4.0,222
Kazuo Tadashi,Challenger,Defeat,2020-10-25,20,4,11,4,0.73,74
Kazuo Tadashi,Challenger,Victory,2020-10-23,28,7,2,6,6.5,157
Kazuo Tadashi,Challenger,Defeat,2020-10-23,31,13,7,8,3.0,174
Kazuo Tadashi,Challenger,Defeat,2020-10-23,29,4,6,5,1.5,184
Kazuo Tadashi,Challenger,Victory,2020-10-18,37,19,8,12,3.88,228
Kazuo Tadashi,Challenger,Defeat,2020-10-16,47,9,13,12,1.62,225
Kazuo Tadashi,Challenger,Victory,2020-10-16,19,12,3,1,4.33,124
Kazuo Tadashi,Challenger,Defeat,2020-10-16,30,12,10,8,2.0,146
Kazuo Tadashi,Challenger,Defeat,2020-10-16,20,3,5,2,1.0,115
Kazuo Tadashi,Challenger,Victory,2020-10-15,15,3,0,8,11.0,92
Kazuo Tadashi,Challenger,Victory,2020-10-15,30,6,4,13,4.75,190
Kazuo Tadashi,Challenger,Victory,2020-10-15,31,10,5,24,6.8,157
Kazuo Tadashi,Challenger,Victory,2020-10-14,37,10,6,12,3.67,209
Kazuo Tadashi,Challenger,Victory,2020-10-14,27,14,4,8,5.5,184
Kazuo Tadashi,Challenger,Victory,2020-10-14,24,8,3,6,4.67,211
Kazuo Tadashi,Challenger,Defeat,2020-10-14,34,15,7,8,3.29,175
Kazuo Tadashi,Challenger,Defeat,2020-10-14,27,4,8,5,1.12,156
Kazuo Tadashi,Challenger,Defeat,2020-10-13,26,4,6,7,1.83,160
Kazuo Tadashi,Challenger,Defeat,2020-10-13,26,4,3,6,3.33,199
Kazuo Tadashi,Challenger,Victory,2020-10-13,28,5,5,10,3.0,153
Kazuo Tadashi,Challenger,Victory,2020-10-13,15,6,0,8,14.0,111
Kazuo Tadashi,Challenger,Defeat,2020-10-13,15,1,5,1,0.4,42
Kazuo Tadashi,Challenger,Victory,2020-10-12,26,13,2,13,13.0,230
Kazuo Tadashi,Challenger,Defeat,2020-10-12,30,4,8,2,0.75,186
Kazuo Tadashi,Challenger,Victory,2020-10-12,20,4,5,5,1.8,120
Kazuo Tadashi,Challenger,Defeat,2020-10-12,23,4,2,0,2.0,144
Kazuo Tadashi,Challenger,Victory,2020-10-12,15,5,0,4,9.0,120
Kazuo Tadashi,Challenger,Defeat,2020-10-12,23,7,6,4,1.83,123
Kazuo Tadashi,Challenger,Defeat,2020-10-12,17,2,4,1,0.75,115
Kazuo Tadashi,Challenger,Victory,2020-10-11,25,9,2,11,10.0,197
Kazuo Tadashi,Challenger,Victory,2020-10-11,20,5,2,5,5.0,157
Kazuo Tadashi,Challenger,Victory,2020-10-11,20,8,0,3,11.0,185
Kazuo Tadashi,Challenger,Victory,2020-10-10,20,7,0,5,12.0,153
Kazuo Tadashi,Challenger,Victory,2020-10-10,15,6,2,5,5.5,93
Kazuo Tadashi,Challenger,Defeat,2020-10-08,22,5,8,2,0.88,116
Kazuo Tadashi,Challenger,Victory,2020-10-08,36,13,5,10,4.6,269
Kazuo Tadashi,Challenger,Victory,2020-10-08,26,6,7,7,1.86,197
Kazuo Tadashi,Challenger,Defeat,2020-10-08,16,0,1,0,0.0,72
Kazuo Tadashi,Challenger,Defeat,2020-10-08,25,3,4,6,2.25,134
Kazuo Tadashi,Challenger,Defeat,2020-10-08,22,6,3,2,2.67,145
Kazuo Tadashi,Challenger,Victory,2020-10-07,24,10,3,7,5.67,229
Kazuo Tadashi,Challenger,Victory,2020-10-07,29,13,5,16,5.8,171
Kazuo Tadashi,Challenger,Victory,2020-10-07,36,16,4,9,6.25,197
Kazuo Tadashi,Challenger,Victory,2020-10-07,16,14,2,4,9.0,136
Kazuo Tadashi,Challenger,Victory,2020-10-07,15,7,1,4,11.0,95
Kazuo Tadashi,Challenger,Victory,2020-10-07,24,6,1,7,13.0,183
Kazuo Tadashi,Challenger,Victory,2020-10-07,27,5,2,9,7.0,159
Kazuo Tadashi,Challenger,Victory,2020-10-05,28,5,8,6,1.38,182
Kazuo Tadashi,Challenger,Victory,2020-10-05,24,5,2,11,8.0,166
Kazuo Tadashi,Challenger,Victory,2020-09-28,34,9,7,16,3.57,181
Kazuo Tadashi,Challenger,Victory,2020-09-27,33,13,7,9,3.14,193
Kazuo Tadashi,Challenger,Victory,2020-09-26,30,6,5,12,3.6,212
Kazuo Tadashi,Challenger,Victory,2020-09-26,36,20,3,7,9.0,252
Kazuo Tadashi,Challenger,Defeat,2020-09-26,28,7,7,5,1.71,181
Kazuo Tadashi,Challenger,Defeat,2020-09-26,29,7,3,2,3.0,196
Kazuo Tadashi,Challenger,Defeat,2020-09-26,31,6,3,5,3.67,207
Kazuo Tadashi,Challenger,Defeat,2020-09-25,23,6,7,3,1.29,141
Kazuo Tadashi,Challenger,Defeat,2020-09-19,26,3,8,8,1.38,119
Kazuo Tadashi,Challenger,Defeat,2020-09-19,28,4,5,10,2.8,177
Kazuo Tadashi,Challenger,Victory,2020-09-18,29,8,4,9,4.25,177
Kazuo Tadashi,Challenger,Defeat,2020-09-18,20,2,5,7,1.8,61
Kazuo Tadashi,Challenger,Victory,2020-09-18,34,8,8,13,2.62,188
Kazuo Tadashi,Challenger,Victory,2020-09-18,33,7,7,10,2.43,209
Kazuo Tadashi,Challenger,Victory,2020-09-18,19,8,1,3,11.0,144
Kazuo Tadashi,Challenger,Victory,2020-09-18,33,8,2,10,9.0,267
Kazuo Tadashi,Challenger,Defeat,2020-09-17,27,8,5,8,3.2,139
Kazuo Tadashi,Challenger,Victory,2020-09-16,28,7,4,7,3.5,214
Kazuo Tadashi,Challenger,Victory,2020-09-16,29,12,4,15,6.75,163
Kazuo Tadashi,Challenger,Victory,2020-09-16,23,14,5,11,5.0,124
Kazuo Tadashi,Challenger,Victory,2020-09-15,26,3,4,9,3.0,152
Kazuo Tadashi,Challenger,Victory,2020-09-15,18,3,1,2,5.0,132
Kazuo Tadashi,Challenger,Victory,2020-09-15,22,7,2,5,6.0,157
Kazuo Tadashi,Challenger,Victory,2020-09-15,36,6,6,18,4.0,223
Kazuo Tadashi,Challenger,Victory,2020-09-12,29,1,6,4,0.83,165
Kazuo Tadashi,Challenger,Victory,2020-09-12,30,6,4,10,4.0,188
Kazuo Tadashi,Challenger,Victory,2020-09-11,25,15,4,11,6.5,201
Kazuo Tadashi,Challenger,Defeat,2020-09-11,23,2,2,8,5.0,116
Kazuo Tadashi,Challenger,Victory,2020-09-11,28,12,4,10,5.5,213
Kazuo Tadashi,Challenger,Defeat,2020-09-10,24,5,7,4,1.29,138
Kazuo Tadashi,Challenger,Defeat,2020-09-10,36,5,5,10,3.0,176
Kazuo Tadashi,Challenger,Victory,2020-09-10,39,6,2,12,9.0,241
Kazuo Tadashi,Challenger,Victory,2020-09-10,36,0,11,17,1.55,33
Kazuo Tadashi,Challenger,Defeat,2020-09-09,27,5,8,4,1.12,128
Kazuo Tadashi,Challenger,Victory,2020-09-09,44,1,9,21,2.44,32
Kazuo Tadashi,Challenger,Victory,2020-09-09,33,12,12,12,2.0,222
Kazuo Tadashi,Challenger,Victory,2020-09-09,33,24,6,9,5.5,179
Kazuo Tadashi,Challenger,Defeat,2020-09-09,15,2,3,0,0.67,25
Kazuo Tadashi,Challenger,Defeat,2020-09-09,28,5,7,3,1.14,170
Kazuo Tadashi,Challenger,Defeat,2020-09-09,34,7,7,11,2.57,221
Kazuo Tadashi,Challenger,Victory,2020-09-07,30,15,5,10,5.0,224
Kazuo Tadashi,Challenger,Victory,2020-09-07,30,12,5,9,4.2,175
Kazuo Tadashi,Challenger,Victory,2020-08-29,23,6,5,9,3.0,122
