Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Kensh1,GrandMaster,Victory,2020-11-10,18,5,2,6,5.5,120
Kensh1,GrandMaster,Victory,2020-11-10,37,14,8,15,3.62,201
Kensh1,GrandMaster,Victory,2020-11-10,18,5,2,6,5.5,110
Kensh1,GrandMaster,Defeat,2020-11-09,19,1,6,2,0.5,117
Kensh1,GrandMaster,Defeat,2020-11-09,20,1,4,4,1.25,149
Kensh1,GrandMaster,Victory,2020-11-09,27,12,5,13,5.0,169
Kensh1,GrandMaster,Defeat,2020-11-09,23,3,6,4,1.17,145
Kensh1,GrandMaster,Defeat,2020-11-09,20,3,5,1,0.8,119
Kensh1,GrandMaster,Victory,2020-11-08,26,3,11,8,1.0,27
Kensh1,GrandMaster,Victory,2020-11-08,29,12,2,7,9.5,210
Kensh1,GrandMaster,Defeat,2020-11-08,32,12,3,13,8.33,211
Kensh1,GrandMaster,Victory,2020-11-08,28,6,0,4,10.0,186
Kensh1,GrandMaster,Victory,2020-11-08,15,1,3,6,2.33,85
Kensh1,GrandMaster,Victory,2020-11-08,24,7,2,6,6.5,158
Kensh1,GrandMaster,Victory,2020-11-08,31,11,3,11,7.33,194
Kensh1,GrandMaster,Defeat,2020-11-08,36,6,6,15,3.5,233
Kensh1,GrandMaster,Victory,2020-11-08,32,3,6,10,2.17,215
Kensh1,GrandMaster,Victory,2020-11-08,26,6,4,8,3.5,178
Kensh1,GrandMaster,Victory,2020-11-08,19,6,5,7,2.6,80
Kensh1,GrandMaster,Defeat,2020-11-07,26,0,6,0,0.0,142
Kensh1,GrandMaster,Victory,2020-11-07,22,6,5,8,2.8,143
Kensh1,GrandMaster,Defeat,2020-11-07,26,2,7,7,1.29,176
Kensh1,GrandMaster,Victory,2020-11-07,24,5,3,7,4.0,160
Kensh1,GrandMaster,Defeat,2020-11-07,25,1,8,6,0.88,32
Kensh1,GrandMaster,Victory,2020-11-07,22,21,4,8,7.25,140
