Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Kinako,Platinum I,Defeat,2020-06-16,22,2,3,2,1.33,173
Kinako,Platinum I,Defeat,2020-05-22,25,4,5,3,1.4,158
Kinako,Platinum I,Defeat,2020-04-27,31,6,6,7,2.17,52
Kinako,Platinum I,Defeat,2020-04-27,26,4,4,6,2.5,124
Kinako,Platinum I,Defeat,2020-04-27,27,4,1,1,5.0,225
Kinako,Platinum I,Defeat,2020-04-27,30,3,4,7,2.5,136
Kinako,Platinum I,Victory,2020-04-27,31,5,3,7,4.0,189
Kinako,Platinum I,Victory,2020-04-27,30,8,3,17,8.33,164
Kinako,Platinum I,Defeat,2020-04-27,33,7,7,7,2.0,170
Kinako,Platinum I,Victory,2020-04-26,32,3,8,10,1.62,141
Kinako,Platinum I,Defeat,2020-04-26,27,3,4,3,1.5,215
Kinako,Platinum I,Victory,2020-04-26,34,12,4,14,6.5,198
Kinako,Platinum I,Defeat,2020-04-26,23,3,7,0,0.43,115
Kinako,Platinum I,Victory,2020-04-25,29,7,2,10,8.5,149
Kinako,Platinum I,Victory,2020-04-25,31,7,4,17,6.0,171
Kinako,Platinum I,Victory,2020-04-23,22,3,1,8,11.0,141
Kinako,Platinum I,Defeat,2020-04-23,24,2,3,3,1.67,203
Kinako,Platinum I,Defeat,2020-04-17,30,2,4,4,1.5,134
Kinako,Platinum I,Defeat,2020-04-16,15,3,2,2,2.5,88
Kinako,Platinum I,Defeat,2020-04-05,32,11,5,8,3.8,160
Kinako,Platinum I,Defeat,2020-03-12,30,6,2,3,4.5,224
Kinako,Platinum I,Defeat,2020-02-20,20,0,3,8,2.67,84
Kinako,Platinum I,Victory,2020-02-18,38,14,4,9,5.75,207
Kinako,Platinum I,Defeat,2020-02-07,32,1,4,4,1.25,222
Kinako,Platinum I,Defeat,2020-02-04,26,4,7,3,1.0,86
Kinako,Platinum I,Defeat,2020-02-04,23,4,5,10,2.8,130
Kinako,Platinum I,Victory,2020-02-04,31,15,4,6,5.25,130
Kinako,Platinum I,Defeat,2020-02-04,24,2,7,3,0.71,122
Kinako,Platinum I,Defeat,2020-02-04,29,5,12,7,1.0,87
Kinako,Platinum I,Defeat,2020-02-04,34,6,10,5,1.1,148
Kinako,Platinum I,Defeat,2020-02-04,28,0,7,8,1.14,28
Kinako,Platinum I,Defeat,2020-02-04,26,8,5,6,2.8,102
Kinako,Platinum I,Victory,2020-02-04,34,3,7,8,1.57,180
Kinako,Platinum I,Victory,2020-02-02,22,2,0,8,10.0,90
Kinako,Platinum I,Victory,2020-02-01,24,13,6,4,2.83,141
Kinako,Platinum I,Defeat,2020-02-01,26,1,5,1,0.4,165
Kinako,Platinum I,Defeat,2020-02-01,38,7,6,7,2.33,200
