Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Kiwi,Challenger,Victory,2020-12-12,34,9,5,20,5.8,30
Kiwi,Challenger,Defeat,2020-12-10,28,5,9,2,0.78,28
Kiwi,Challenger,Victory,2020-12-09,30,3,6,25,4.67,38
Kiwi,Challenger,Victory,2020-12-09,32,6,4,23,7.25,29
Kiwi,Challenger,Victory,2020-12-09,23,10,3,5,5.0,154
Kiwi,Challenger,Victory,2020-12-08,29,8,3,13,7.0,28
Kiwi,Challenger,Defeat,2020-12-08,27,3,6,10,2.17,157
Kiwi,Challenger,Defeat,2020-11-30,18,1,4,2,0.75,124
Kiwi,Challenger,Defeat,2020-11-28,20,1,3,2,1.0,161
Kiwi,Challenger,Victory,2020-11-09,30,1,7,15,2.29,51
Kiwi,Challenger,Victory,2020-11-09,20,5,5,14,3.8,17
Kiwi,Challenger,Defeat,2020-11-09,32,1,6,13,2.33,20
Kiwi,Challenger,Victory,2020-11-09,29,1,3,23,8.0,43
Kiwi,Challenger,Victory,2020-11-09,27,3,6,13,2.67,21
Kiwi,Challenger,Victory,2020-11-09,28,5,4,20,6.25,13
Kiwi,Challenger,Defeat,2020-11-09,20,1,5,15,3.2,21
Kiwi,Challenger,Victory,2020-11-09,32,3,7,26,4.14,46
Kiwi,Challenger,Victory,2020-11-09,21,5,1,12,17.0,26
Kiwi,Challenger,Victory,2020-11-08,37,1,8,18,2.38,17
Kiwi,Challenger,Victory,2020-11-08,23,6,2,19,12.5,6
Kiwi,Challenger,Defeat,2020-11-08,28,1,6,12,2.17,14
Kiwi,Challenger,Defeat,2020-11-08,27,3,7,6,1.29,27
Kiwi,Challenger,Victory,2020-11-08,26,2,3,20,7.33,24
Kiwi,Challenger,Defeat,2020-11-08,23,2,5,5,1.4,149
Kiwi,Challenger,Victory,2020-11-08,22,6,2,12,9.0,184
Kiwi,Challenger,Defeat,2020-11-08,19,1,7,3,0.57,152
Kiwi,Challenger,Victory,2020-11-08,24,8,5,4,2.4,140
Kiwi,Challenger,Defeat,2020-11-08,24,2,9,8,1.11,25
Kiwi,Challenger,Victory,2020-11-08,31,1,6,28,4.83,10
Kiwi,Challenger,Defeat,2020-11-07,21,0,2,1,0.5,148
Kiwi,Challenger,Defeat,2020-11-07,26,7,0,5,12.0,259
Kiwi,Challenger,Defeat,2020-11-07,32,1,10,13,1.4,32
Kiwi,Challenger,Defeat,2020-11-07,27,7,4,3,2.5,219
Kiwi,Challenger,Defeat,2020-11-06,22,2,4,6,2.0,21
Kiwi,Challenger,Defeat,2020-11-06,31,5,8,10,1.88,207
Kiwi,Challenger,Victory,2020-11-06,42,9,12,18,2.25,263
Kiwi,Challenger,Victory,2020-11-06,19,0,7,4,0.57,111
Kiwi,Challenger,Defeat,2020-11-06,22,6,4,3,2.25,142
Kiwi,Challenger,Defeat,2020-11-06,24,1,5,6,1.4,32
Kiwi,Challenger,Victory,2020-11-06,22,2,4,17,4.75,17
Kiwi,Challenger,Victory,2020-11-06,23,2,4,16,4.5,10
Kiwi,Challenger,Victory,2020-11-06,14,4,0,7,11.0,11
Kiwi,Challenger,Defeat,2020-11-05,30,6,6,3,1.5,195
Kiwi,Challenger,Defeat,2020-11-05,30,2,4,17,4.75,199
Kiwi,Challenger,Victory,2020-11-05,36,4,4,16,5.0,30
Kiwi,Challenger,Defeat,2020-11-04,30,6,6,7,2.17,218
Kiwi,Challenger,Defeat,2020-11-04,23,2,2,3,2.5,31
Kiwi,Challenger,Defeat,2020-11-04,31,0,6,16,2.67,40
Kiwi,Challenger,Victory,2020-11-04,16,2,1,7,9.0,7
Kiwi,Challenger,Defeat,2020-11-04,35,5,10,18,2.3,82
Kiwi,Challenger,Victory,2020-11-04,37,11,6,15,4.33,232
Kiwi,Challenger,Defeat,2020-11-03,35,7,6,13,3.33,257
Kiwi,Challenger,Victory,2020-11-03,22,3,3,14,5.67,15
Kiwi,Challenger,Defeat,2020-11-03,32,9,6,6,2.5,199
Kiwi,Challenger,Victory,2020-11-03,23,6,2,5,5.5,36
Kiwi,Challenger,Defeat,2020-11-02,29,3,8,11,1.75,40
Kiwi,Challenger,Defeat,2020-11-02,16,4,2,7,5.5,102
Kiwi,Challenger,Defeat,2020-11-02,30,8,8,10,2.25,36
Kiwi,Challenger,Victory,2020-11-02,26,3,2,15,9.0,173
Kiwi,Challenger,Victory,2020-11-02,38,1,9,24,2.78,36
