Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Light Gd Me,Platinum I,Defeat,2020-02-22,24,9,7,2,1.57,136
Light Gd Me,Platinum I,Defeat,2020-02-22,33,8,8,4,1.5,228
Light Gd Me,Platinum I,Victory,2020-02-21,26,7,7,10,2.43,190
Light Gd Me,Platinum I,Defeat,2020-02-21,23,9,7,5,2.0,162
Light Gd Me,Platinum I,Defeat,2020-02-20,33,3,7,3,0.86,190
Light Gd Me,Platinum I,Defeat,2020-02-20,27,5,9,0,0.56,131
Light Gd Me,Platinum I,Victory,2020-02-20,35,8,6,15,3.83,211
Light Gd Me,Platinum I,Victory,2020-02-20,40,12,8,5,2.12,216
Light Gd Me,Platinum I,Victory,2020-02-20,33,7,10,9,1.6,162
Light Gd Me,Platinum I,Defeat,2020-02-20,27,7,9,7,1.56,173
Light Gd Me,Platinum I,Victory,2020-02-19,32,11,5,7,3.6,249
Light Gd Me,Platinum I,Defeat,2020-02-11,15,1,4,1,0.5,81
Light Gd Me,Platinum I,Victory,2020-02-11,25,6,5,11,3.4,146
Light Gd Me,Platinum I,Defeat,2020-02-11,22,4,7,1,0.71,105
Light Gd Me,Platinum I,Defeat,2020-02-10,24,3,5,0,0.6,131
Light Gd Me,Platinum I,Victory,2020-02-10,24,8,5,7,3.0,157
Light Gd Me,Platinum I,Defeat,2020-02-03,20,1,8,0,0.12,94
Light Gd Me,Platinum I,Defeat,2020-01-28,41,7,11,8,1.36,170
Light Gd Me,Platinum I,Defeat,2020-01-28,26,6,8,4,1.25,153
Light Gd Me,Platinum I,Defeat,2020-01-28,35,4,13,10,1.08,31
Light Gd Me,Platinum I,Victory,2020-01-28,17,5,0,1,6.0,153
Light Gd Me,Platinum I,Defeat,2020-01-28,32,3,5,7,2.0,207
Light Gd Me,Platinum I,Defeat,2020-01-28,31,5,7,11,2.29,179
Light Gd Me,Platinum I,Victory,2020-01-28,36,17,6,8,4.17,184
Light Gd Me,Platinum I,Victory,2020-01-28,30,11,7,11,3.14,148
Light Gd Me,Platinum I,Victory,2020-01-28,16,9,0,4,13.0,97
Light Gd Me,Platinum I,Victory,2020-01-28,23,8,2,2,5.0,184
Light Gd Me,Platinum I,Victory,2020-01-28,22,15,0,2,17.0,158
Light Gd Me,Platinum I,Defeat,2020-01-27,35,4,11,7,1.0,173
Light Gd Me,Platinum I,Victory,2020-01-27,31,7,7,12,2.71,199
Light Gd Me,Platinum I,Defeat,2020-01-27,26,8,5,9,3.4,149
Light Gd Me,Platinum I,Victory,2020-01-27,30,5,4,10,3.75,202
Light Gd Me,Platinum I,Victory,2020-01-27,29,5,7,3,1.14,132
Light Gd Me,Platinum I,Victory,2020-01-27,33,12,9,10,2.44,167
Light Gd Me,Platinum I,Defeat,2020-01-27,28,2,10,0,0.2,131
Light Gd Me,Platinum I,Victory,2020-01-26,20,6,2,5,5.5,137
Light Gd Me,Platinum I,Defeat,2020-01-26,27,5,6,2,1.17,143
Light Gd Me,Platinum I,Victory,2020-01-26,39,10,4,20,7.5,226
Light Gd Me,Platinum I,Victory,2020-01-26,21,10,3,6,5.33,142
Light Gd Me,Platinum I,Defeat,2020-01-26,29,10,9,6,1.78,166
Light Gd Me,Platinum I,Victory,2020-01-26,24,4,3,4,2.67,179
Light Gd Me,Platinum I,Victory,2020-01-25,31,8,8,7,1.88,176
Light Gd Me,Platinum I,Victory,2020-01-25,29,10,3,5,5.0,256
Light Gd Me,Platinum I,Defeat,2020-01-24,44,3,11,16,1.73,230
Light Gd Me,Platinum I,Defeat,2020-01-24,29,5,9,5,1.11,171
Light Gd Me,Platinum I,Defeat,2020-01-24,27,3,8,4,0.88,159
Light Gd Me,Platinum I,Defeat,2020-01-24,28,9,5,3,2.4,166
Light Gd Me,Platinum I,Defeat,2020-01-24,30,5,7,5,1.43,165
Light Gd Me,Platinum I,Victory,2020-01-23,24,4,3,6,3.33,175
Light Gd Me,Platinum I,Defeat,2020-01-23,34,9,8,3,1.5,203
Light Gd Me,Platinum I,Defeat,2020-01-23,28,3,7,2,0.71,128
Light Gd Me,Platinum I,Victory,2020-01-23,22,4,3,4,2.67,153
Light Gd Me,Platinum I,Victory,2020-01-23,21,12,3,4,5.33,151
Light Gd Me,Platinum I,Victory,2020-01-23,23,8,2,5,6.5,148
Light Gd Me,Platinum I,Victory,2020-01-23,29,12,6,10,3.67,163
Light Gd Me,Platinum I,Victory,2020-01-23,26,5,3,6,3.67,172
Light Gd Me,Platinum I,Victory,2020-01-23,34,4,9,8,1.33,148
Light Gd Me,Platinum I,Defeat,2020-01-22,28,10,12,11,1.75,172
Light Gd Me,Platinum I,Victory,2020-01-22,27,7,4,4,2.75,211
Light Gd Me,Platinum I,Defeat,2020-01-22,29,5,6,4,1.5,179
Light Gd Me,Platinum I,Defeat,2020-01-22,23,9,6,0,1.5,162
Light Gd Me,Platinum I,Defeat,2020-01-22,23,6,9,1,0.78,120
Light Gd Me,Platinum I,Defeat,2020-01-22,25,4,7,1,0.71,144
Light Gd Me,Platinum I,Victory,2020-01-21,36,11,8,9,2.5,209
Light Gd Me,Platinum I,Victory,2020-01-21,30,7,8,14,2.62,53
Light Gd Me,Platinum I,Victory,2020-01-21,24,12,2,7,9.5,167
Light Gd Me,Platinum I,Defeat,2020-01-21,23,4,5,3,1.4,154
Light Gd Me,Platinum I,Victory,2020-01-21,27,8,8,9,2.12,151
Light Gd Me,Platinum I,Defeat,2020-01-21,20,4,5,5,1.8,113
Light Gd Me,Platinum I,Victory,2020-01-21,33,16,7,7,3.29,209
Light Gd Me,Platinum I,Victory,2020-01-21,41,25,9,17,4.67,225
Light Gd Me,Platinum I,Victory,2020-01-21,37,15,11,7,2.0,217
Light Gd Me,Platinum I,Defeat,2020-01-21,38,7,13,7,1.08,189
Light Gd Me,Platinum I,Victory,2020-01-21,37,10,4,14,6.0,234
Light Gd Me,Platinum I,Defeat,2020-01-21,30,6,6,6,2.0,198
Light Gd Me,Platinum I,Defeat,2020-01-21,33,8,8,9,2.12,162
Light Gd Me,Platinum I,Victory,2020-01-20,32,13,6,12,4.17,194
