Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Lixiu,Victory,2020-10-24,23,13,3,9,7.33,166
Lixiu,Victory,2020-10-24,28,7,4,13,5.0,209
Lixiu,Defeat,2020-10-24,15,1,5,2,0.6,99
Lixiu,Victory,2020-10-24,31,13,4,16,7.25,235
Lixiu,Victory,2020-10-24,16,9,0,2,11.0,146
Lixiu,Victory,2020-10-21,20,5,4,10,3.75,133
Lixiu,Defeat,2020-10-21,25,2,7,3,0.71,153
Lixiu,Victory,2020-10-21,28,9,3,6,5.0,222
Lixiu,Defeat,2020-10-14,22,2,5,0,0.4,155
Lixiu,Victory,2020-10-14,15,8,3,0,2.67,104
Lixiu,Victory,2020-10-14,23,9,3,5,4.67,165
Lixiu,Victory,2020-10-14,24,6,3,7,4.33,178
Lixiu,Victory,2020-10-14,27,10,4,5,3.75,207
Lixiu,Defeat,2020-10-11,31,8,7,1,1.29,254
Lixiu,Victory,2020-10-10,25,11,2,5,8.0,196
Lixiu,Victory,2020-10-10,32,15,3,5,6.67,285
Lixiu,Victory,2020-10-10,36,14,5,13,5.4,281
Lixiu,Victory,2020-10-10,23,21,3,1,7.33,232
Lixiu,Victory,2020-10-09,15,6,0,1,7.0,127
Lixiu,Victory,2020-10-07,29,9,8,9,2.25,183
Lixiu,Victory,2020-10-07,20,2,2,5,3.5,154
Lixiu,Victory,2020-10-07,15,8,0,1,9.0,147
Lixiu,Victory,2020-10-07,35,29,8,13,5.25,262
Lixiu,Victory,2020-10-05,15,7,0,2,9.0,140
Lixiu,Victory,2020-10-05,17,6,2,3,4.5,153
Lixiu,Victory,2020-10-05,34,9,6,6,2.5,294
Lixiu,Defeat,2020-10-04,18,2,6,3,0.83,130
Lixiu,Defeat,2020-09-18,23,4,3,2,2.0,162
Lixiu,Victory,2020-09-06,20,9,2,3,6.0,170
Lixiu,Victory,2020-09-03,24,11,2,4,7.5,198
Lixiu,Victory,2020-09-03,15,10,2,1,5.5,138
Lixiu,Victory,2020-09-03,27,18,6,5,3.83,242
Lixiu,Defeat,2020-09-03,21,2,8,0,0.25,145
Lixiu,Defeat,2020-09-03,45,8,5,28,7.2,280
Lixiu,Defeat,2020-09-03,32,9,6,3,2.0,255
Lixiu,Defeat,2020-08-21,31,6,7,6,1.71,242
Lixiu,Defeat,2020-08-21,31,8,6,6,2.33,220
Lixiu,Defeat,2020-08-13,32,10,8,4,1.75,263
Lixiu,Defeat,2020-08-13,23,7,5,0,1.4,177
Lixiu,Victory,2020-08-13,20,8,4,5,3.25,183
