Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Lixiu,Challenger,Victory,2020-11-09,22,5,2,4,4.5,177
Lixiu,Challenger,Defeat,2020-11-06,23,5,7,4,1.29,163
Lixiu,Challenger,Defeat,2020-11-06,24,2,4,3,1.25,185
Lixiu,Challenger,Victory,2020-11-06,27,7,2,6,6.5,200
Lixiu,Challenger,Defeat,2020-11-05,27,10,3,9,6.33,244
Lixiu,Challenger,Defeat,2020-11-04,28,5,6,4,1.5,180
Lixiu,Challenger,Defeat,2020-11-02,14,1,2,0,0.5,77
Lixiu,Challenger,Victory,2020-11-02,17,7,0,0,7.0,159
Lixiu,Challenger,Victory,2020-10-24,23,3,2,13,8.0,165
Lixiu,Challenger,Victory,2020-10-24,23,2,2,12,7.0,186
Lixiu,Challenger,Defeat,2020-10-24,31,6,1,4,10.0,250
Lixiu,Challenger,Victory,2020-10-24,17,4,3,5,3.0,123
Lixiu,Challenger,Defeat,2020-10-24,34,8,6,9,2.83,244
Lixiu,Challenger,Defeat,2020-10-24,23,3,6,2,0.83,204
Lixiu,Challenger,Defeat,2020-10-24,31,10,6,6,2.67,269
Lixiu,Challenger,Victory,2020-10-23,33,17,2,14,15.5,220
Lixiu,Challenger,Defeat,2020-10-23,25,3,3,3,2.0,186
Lixiu,Challenger,Victory,2020-10-23,23,4,4,3,1.75,147
Lixiu,Challenger,Defeat,2020-10-22,41,4,8,24,3.5,42
Lixiu,Challenger,Victory,2020-10-21,33,8,4,8,4.0,283
Lixiu,Challenger,Victory,2020-10-19,35,9,6,10,3.17,273
Lixiu,Challenger,Defeat,2020-10-19,42,10,6,11,3.5,264
Lixiu,Challenger,Victory,2020-10-17,25,11,2,2,6.5,185
Lixiu,Challenger,Victory,2020-10-17,26,11,1,12,23.0,225
Lixiu,Challenger,Victory,2020-10-09,40,10,7,9,2.71,314
Lixiu,Challenger,Defeat,2020-10-09,29,6,7,3,1.29,204
Lixiu,Challenger,Defeat,2020-10-09,29,10,8,7,2.12,178
Lixiu,Challenger,Victory,2020-10-09,21,9,3,2,3.67,168
Lixiu,Challenger,Victory,2020-10-09,29,9,5,1,2.0,225
Lixiu,Challenger,Defeat,2020-10-04,25,6,7,1,1.0,161
Lixiu,Challenger,Defeat,2020-10-04,23,2,6,5,1.17,150
Lixiu,Challenger,Victory,2020-10-04,23,6,3,3,3.0,201
Lixiu,Challenger,Defeat,2020-09-30,23,4,3,3,2.33,107
Lixiu,Challenger,Defeat,2020-09-30,22,2,6,1,0.5,167
Lixiu,Challenger,Victory,2020-09-30,27,8,3,9,5.67,212
Lixiu,Challenger,Victory,2020-09-30,31,4,4,8,3.0,264
Lixiu,Challenger,Defeat,2020-09-30,20,4,6,3,1.17,123
Lixiu,Challenger,Victory,2020-09-30,22,17,3,6,7.67,139
Lixiu,Challenger,Victory,2020-09-29,19,1,2,1,1.0,160
Lixiu,Challenger,Victory,2020-09-29,30,11,3,8,6.33,231
Lixiu,Challenger,Defeat,2020-09-29,29,5,4,4,2.25,259
Lixiu,Challenger,Victory,2020-09-20,27,9,3,10,6.33,205
Lixiu,Challenger,Victory,2020-09-20,18,9,2,2,5.5,148
Lixiu,Challenger,Defeat,2020-09-20,38,12,7,9,3.0,301
Lixiu,Challenger,Victory,2020-09-20,30,13,2,11,12.0,295
Lixiu,Challenger,Victory,2020-09-19,19,7,1,2,9.0,193
Lixiu,Challenger,Defeat,2020-09-19,31,8,7,3,1.57,227
Lixiu,Challenger,Victory,2020-09-14,26,6,1,9,15.0,223
Lixiu,Challenger,Victory,2020-09-14,21,5,2,1,3.0,181
Lixiu,Challenger,Victory,2020-09-14,32,12,4,7,4.75,265
Lixiu,Challenger,Victory,2020-09-14,18,6,0,3,9.0,171
Lixiu,Challenger,Defeat,2020-09-14,26,4,7,3,1.0,165
Lixiu,Challenger,Victory,2020-09-14,24,20,3,3,7.67,201
Lixiu,Challenger,Defeat,2020-09-14,26,1,8,12,1.62,18
Lixiu,Challenger,Victory,2020-09-14,28,10,4,7,4.25,214
Lixiu,Challenger,Defeat,2020-09-07,32,11,5,5,3.2,297
Lixiu,Challenger,Victory,2020-09-07,16,3,0,6,9.0,125
Lixiu,Challenger,Victory,2020-09-07,30,7,6,9,2.67,248
Lixiu,Challenger,Victory,2020-09-07,30,11,7,6,2.43,230
Lixiu,Challenger,Victory,2020-09-06,34,11,3,12,7.67,292
Lixiu,Challenger,Defeat,2020-09-06,28,3,6,5,1.33,192
Lixiu,Challenger,Defeat,2020-09-06,29,5,4,6,2.75,225
Lixiu,Challenger,Victory,2020-09-06,45,14,7,18,4.57,323
Lixiu,Challenger,Defeat,2020-08-31,30,7,9,4,1.22,215
Lixiu,Challenger,Victory,2020-08-31,31,9,4,3,3.0,241
Lixiu,Challenger,Defeat,2020-08-31,34,10,6,5,2.5,237
Lixiu,Challenger,Victory,2020-08-31,27,14,4,6,5.0,225
Lixiu,Challenger,Victory,2020-08-28,26,5,4,8,3.25,163
Lixiu,Challenger,Defeat,2020-08-28,23,4,4,0,1.0,178
Lixiu,Challenger,Victory,2020-08-27,31,13,8,4,2.12,208
Lixiu,Challenger,Victory,2020-08-27,33,21,3,11,10.67,271
Lixiu,Challenger,Victory,2020-08-27,23,16,2,3,9.5,162
Lixiu,Challenger,Defeat,2020-08-27,28,12,8,3,1.88,188
Lixiu,Challenger,Victory,2020-08-21,28,7,1,9,16.0,246
Lixiu,Challenger,Defeat,2020-08-21,28,5,5,7,2.4,233
Lixiu,Challenger,Victory,2020-08-21,27,9,3,5,4.67,232
Lixiu,Challenger,Defeat,2020-08-21,29,9,6,3,2.0,212
Lixiu,Challenger,Victory,2020-08-20,25,9,1,5,14.0,193
Lixiu,Challenger,Defeat,2020-08-20,23,4,5,6,2.0,147
