Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Lopso,Silver IV,Victory,2020-11-17,33,9,2,9,9.0,239
Lopso,Silver IV,Defeat,2020-11-17,30,7,4,6,3.25,181
Lopso,Silver IV,Defeat,2020-11-13,24,0,6,0,0.0,119
Lopso,Silver IV,Defeat,2020-07-27,37,6,4,16,5.5,155
Lopso,Silver IV,Victory,2020-07-27,19,2,0,3,5.0,115
Lopso,Silver IV,Defeat,2020-07-27,26,3,5,4,1.4,112
Lopso,Silver IV,Defeat,2020-07-26,25,1,8,9,1.25,31
Lopso,Silver IV,Defeat,2020-07-26,24,2,4,4,1.5,99
Lopso,Silver IV,Victory,2020-03-16,33,4,4,23,6.75,30
Lopso,Silver IV,Defeat,2020-01-13,34,10,6,8,3.0,184
Lopso,Silver IV,Victory,2020-01-12,27,10,2,6,8.0,168
Lopso,Silver IV,Defeat,2020-01-11,24,2,7,4,0.86,139
Lopso,Silver IV,Defeat,2020-01-11,44,9,12,8,1.42,173
Lopso,Silver IV,Defeat,2020-01-11,36,4,7,7,1.57,199
Lopso,Silver IV,Victory,2020-01-11,43,14,1,18,32.0,292
Lopso,Silver IV,Defeat,2020-01-11,26,5,5,2,1.4,157
Lopso,Silver IV,Victory,2020-01-10,20,1,3,7,2.67,132
Lopso,Silver IV,Defeat,2020-01-10,29,3,8,5,1.0,149
Lopso,Silver IV,Defeat,2020-01-10,27,0,6,4,0.67,151
Lopso,Silver IV,Defeat,2019-11-16,28,3,5,3,1.2,116
Lopso,Silver IV,Defeat,2019-10-25,18,4,6,1,0.83,75
Lopso,Silver IV,Defeat,2019-07-22,20,0,4,0,0.0,116
Lopso,Silver IV,Victory,2019-07-14,27,7,3,4,3.67,109
Lopso,Silver IV,Victory,2019-07-13,20,9,4,7,4.0,91
Lopso,Silver IV,Defeat,2019-07-13,33,10,11,6,1.45,146
Lopso,Silver IV,Defeat,2019-07-13,22,4,8,9,1.62,27
Lopso,Silver IV,Victory,2019-07-13,20,11,2,6,8.5,119
Lopso,Silver IV,Victory,2019-07-13,26,10,2,6,8.0,119
Lopso,Silver IV,Defeat,2019-07-09,26,7,6,2,1.5,121
Lopso,Silver IV,Victory,2019-07-09,26,8,2,12,10.0,131
Lopso,Silver IV,Victory,2019-07-09,27,5,5,7,2.4,138
Lopso,Silver IV,Victory,2019-06-22,24,11,3,10,7.0,198
Lopso,Silver IV,Victory,2019-06-22,20,10,1,8,18.0,143
Lopso,Silver IV,Victory,2019-06-22,26,8,2,15,11.5,168
Lopso,Silver IV,Defeat,2019-06-22,31,8,8,4,1.5,147
Lopso,Silver IV,Defeat,2019-06-21,38,0,8,13,1.62,238
Lopso,Silver IV,Victory,2019-06-20,29,8,4,12,5.0,152
Lopso,Silver IV,Defeat,2019-06-20,21,7,6,8,2.5,136
Lopso,Silver IV,Victory,2019-06-20,19,6,2,10,8.0,139
Lopso,Silver IV,Victory,2019-06-20,18,6,1,12,18.0,148
Lopso,Silver IV,Defeat,2019-06-20,31,4,8,9,1.62,164
Lopso,Silver IV,Victory,2019-06-20,27,3,4,5,2.0,164
Lopso,Silver IV,Victory,2019-06-20,38,15,8,6,2.62,230
Lopso,Silver IV,Victory,2019-06-19,23,2,2,5,3.5,150
Lopso,Silver IV,Victory,2019-06-19,26,11,7,3,2.0,160
Lopso,Silver IV,Victory,2019-06-19,30,6,2,7,6.5,195
Lopso,Silver IV,Victory,2019-06-19,28,6,8,10,2.0,136
Lopso,Silver IV,Victory,2019-06-19,24,10,3,16,8.67,143
Lopso,Silver IV,Defeat,2019-06-18,28,7,8,3,1.25,145
Lopso,Silver IV,Defeat,2019-06-18,20,0,6,0,0.0,68
Lopso,Silver IV,Victory,2019-06-18,27,19,11,6,2.27,134
Lopso,Silver IV,Victory,2019-06-18,19,11,5,7,3.6,118
Lopso,Silver IV,Victory,2019-06-18,27,16,5,12,5.6,149
Lopso,Silver IV,Victory,2019-06-18,30,11,7,12,3.29,177
Lopso,Silver IV,Victory,2019-02-09,32,10,11,7,1.55,159
