Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
M1staMcFly,Silver I,Defeat,2020-11-21,23,0,5,3,0.6,90
M1staMcFly,Silver I,Victory,2020-11-21,34,2,7,4,0.86,156
M1staMcFly,Silver I,Defeat,2020-10-10,28,2,5,2,0.8,123
M1staMcFly,Silver I,Victory,2020-09-24,30,16,2,3,9.5,251
M1staMcFly,Silver I,Victory,2020-09-24,32,9,5,17,5.2,209
M1staMcFly,Silver I,Victory,2020-09-24,28,9,2,9,9.0,100
M1staMcFly,Silver I,Victory,2020-09-22,36,17,6,5,3.67,212
M1staMcFly,Silver I,Victory,2020-09-22,32,13,3,11,8.0,224
M1staMcFly,Silver I,Victory,2020-09-22,17,9,2,2,5.5,148
M1staMcFly,Silver I,Defeat,2020-09-22,27,5,6,1,1.0,191
M1staMcFly,Silver I,Defeat,2020-09-22,20,5,6,1,1.0,126
M1staMcFly,Silver I,Defeat,2020-09-22,17,2,3,0,0.67,118
M1staMcFly,Silver I,Victory,2020-09-14,30,15,4,9,6.0,217
M1staMcFly,Silver I,Victory,2020-09-14,25,12,3,4,5.33,164
M1staMcFly,Silver I,Victory,2020-09-14,23,5,1,5,10.0,65
M1staMcFly,Silver I,Victory,2020-09-14,34,0,1,0,0.0,41
M1staMcFly,Silver I,Defeat,2020-09-04,31,2,13,5,0.54,135
M1staMcFly,Silver I,Victory,2020-09-04,36,27,2,11,19.0,325
M1staMcFly,Silver I,Victory,2020-08-13,33,29,4,4,8.25,308
M1staMcFly,Silver I,Defeat,2020-08-12,31,1,5,3,0.8,134
M1staMcFly,Silver I,Victory,2020-08-12,37,20,4,2,5.5,286
M1staMcFly,Silver I,Victory,2020-08-12,31,19,6,4,3.83,200
M1staMcFly,Silver I,Victory,2020-08-11,20,12,0,1,13.0,180
M1staMcFly,Silver I,Victory,2020-08-02,28,10,3,16,8.67,162
M1staMcFly,Silver I,Victory,2020-08-02,33,10,4,9,4.75,243
M1staMcFly,Silver I,Defeat,2020-08-02,24,4,6,3,1.17,156
M1staMcFly,Silver I,Victory,2020-08-02,21,8,4,10,4.5,119
M1staMcFly,Silver I,Victory,2020-08-02,23,7,1,3,10.0,202
M1staMcFly,Silver I,Defeat,2020-07-31,35,20,7,7,3.86,227
M1staMcFly,Silver I,Victory,2020-07-31,20,8,4,9,4.25,147
M1staMcFly,Silver I,Victory,2020-07-27,37,9,8,5,1.75,248
M1staMcFly,Silver I,Defeat,2020-07-27,30,10,7,3,1.86,175
M1staMcFly,Silver I,Victory,2020-07-27,33,21,4,5,6.5,260
M1staMcFly,Silver I,Victory,2020-07-27,33,11,4,7,4.5,261
M1staMcFly,Silver I,Defeat,2020-07-27,31,6,7,5,1.57,184
M1staMcFly,Silver I,Victory,2020-07-27,43,21,5,7,5.6,326
M1staMcFly,Silver I,Victory,2020-07-27,15,1,1,0,1.0,124
M1staMcFly,Silver I,Victory,2020-07-27,28,15,5,6,4.2,194
M1staMcFly,Silver I,Victory,2020-07-23,29,12,5,4,3.2,226
M1staMcFly,Silver I,Victory,2020-07-23,31,14,7,3,2.43,188
M1staMcFly,Silver I,Victory,2020-07-23,22,11,4,10,5.25,110
M1staMcFly,Silver I,Defeat,2020-07-23,30,15,8,4,2.38,168
M1staMcFly,Silver I,Victory,2020-07-21,26,24,7,2,3.71,122
M1staMcFly,Silver I,Victory,2020-07-21,25,21,2,4,12.5,166
M1staMcFly,Silver I,Defeat,2020-07-21,33,6,14,9,1.07,117
M1staMcFly,Silver I,Defeat,2020-07-18,35,7,11,1,0.73,113
M1staMcFly,Silver I,Defeat,2020-07-15,25,1,7,2,0.43,57
M1staMcFly,Silver I,Defeat,2020-07-15,24,0,10,3,0.3,102
M1staMcFly,Silver I,Defeat,2020-07-14,36,4,10,1,0.5,163
M1staMcFly,Silver I,Defeat,2020-07-14,31,0,9,0,0.0,120
M1staMcFly,Silver I,Defeat,2020-07-09,26,1,12,3,0.33,21
M1staMcFly,Silver I,Victory,2020-07-09,30,4,4,2,1.5,121
M1staMcFly,Silver I,Defeat,2020-07-09,25,2,12,2,0.33,97
M1staMcFly,Silver I,Defeat,2020-07-09,33,5,14,9,1.0,128
M1staMcFly,Silver I,Defeat,2020-07-09,17,2,3,0,0.67,55
M1staMcFly,Silver I,Defeat,2020-07-09,23,1,2,2,1.5,2
