Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Masamune Hongo,GrandMaster,Defeat,2020-11-03,18,3,1,0,3.0,148
Masamune Hongo,GrandMaster,Victory,2020-11-03,34,6,6,10,2.67,259
Masamune Hongo,GrandMaster,Defeat,2020-11-03,41,6,4,4,2.5,300
Masamune Hongo,GrandMaster,Defeat,2020-11-02,29,6,5,8,2.8,168
Masamune Hongo,GrandMaster,Victory,2020-11-02,35,5,5,20,5.0,227
Masamune Hongo,GrandMaster,Defeat,2020-11-02,17,6,2,2,4.0,124
Masamune Hongo,GrandMaster,Victory,2020-11-02,22,5,4,8,3.25,174
Masamune Hongo,GrandMaster,Victory,2020-10-24,18,1,2,2,1.5,117
Masamune Hongo,GrandMaster,Defeat,2020-10-24,32,3,7,5,1.14,220
Masamune Hongo,GrandMaster,Victory,2020-10-24,27,5,1,8,13.0,249
Masamune Hongo,GrandMaster,Victory,2020-10-23,23,11,2,2,6.5,168
Masamune Hongo,GrandMaster,Victory,2020-10-22,33,6,2,10,8.0,208
Masamune Hongo,GrandMaster,Defeat,2020-10-21,42,6,6,6,2.0,271
Masamune Hongo,GrandMaster,Defeat,2020-10-21,25,5,2,0,2.5,187
Masamune Hongo,GrandMaster,Victory,2020-10-21,27,9,2,6,7.5,192
Masamune Hongo,GrandMaster,Defeat,2020-10-21,34,5,6,9,2.33,205
Masamune Hongo,GrandMaster,Victory,2020-10-21,27,5,1,8,13.0,226
Masamune Hongo,GrandMaster,Victory,2020-10-21,15,1,0,0,1.0,152
Masamune Hongo,GrandMaster,Victory,2020-10-21,31,11,4,12,5.75,222
Masamune Hongo,GrandMaster,Victory,2020-10-20,23,9,1,10,19.0,216
Masamune Hongo,GrandMaster,Victory,2020-10-20,24,6,3,11,5.67,142
Masamune Hongo,GrandMaster,Victory,2020-10-20,20,6,1,4,10.0,174
Masamune Hongo,GrandMaster,Defeat,2020-10-20,19,4,4,4,2.0,128
Masamune Hongo,GrandMaster,Victory,2020-10-20,19,14,0,4,18.0,174
Masamune Hongo,GrandMaster,Victory,2020-10-20,22,8,1,3,11.0,204
Masamune Hongo,GrandMaster,Defeat,2020-10-20,16,0,4,4,1.0,123
Masamune Hongo,GrandMaster,Victory,2020-10-19,15,2,1,2,4.0,140
Masamune Hongo,GrandMaster,Defeat,2020-10-19,23,2,2,3,2.5,149
Masamune Hongo,GrandMaster,Defeat,2020-10-19,30,8,6,12,3.33,218
Masamune Hongo,GrandMaster,Victory,2020-10-19,30,8,3,7,5.0,188
Masamune Hongo,GrandMaster,Defeat,2020-10-19,20,0,2,1,0.5,161
Masamune Hongo,GrandMaster,Victory,2020-10-19,34,2,3,9,3.67,259
Masamune Hongo,GrandMaster,Defeat,2020-10-19,35,2,5,7,1.8,258
Masamune Hongo,GrandMaster,Victory,2020-10-19,22,9,2,12,10.5,147
Masamune Hongo,GrandMaster,Defeat,2020-10-19,35,8,7,9,2.43,230
Masamune Hongo,GrandMaster,Victory,2020-10-19,24,3,2,17,10.0,21
Masamune Hongo,GrandMaster,Victory,2020-10-18,17,4,2,6,5.0,105
Masamune Hongo,GrandMaster,Victory,2020-10-18,33,1,1,11,12.0,24
Masamune Hongo,GrandMaster,Defeat,2020-10-18,32,2,5,7,1.8,36
Masamune Hongo,GrandMaster,Defeat,2020-10-18,40,10,6,9,3.17,280
Masamune Hongo,GrandMaster,Defeat,2020-10-18,35,3,6,10,2.17,285
Masamune Hongo,GrandMaster,Victory,2020-10-18,39,9,4,15,6.0,322
Masamune Hongo,GrandMaster,Victory,2020-10-17,24,1,0,5,6.0,231
Masamune Hongo,GrandMaster,Victory,2020-10-17,22,7,4,7,3.5,180
Masamune Hongo,GrandMaster,Defeat,2020-10-08,16,4,4,0,1.0,105
Masamune Hongo,GrandMaster,Defeat,2020-10-08,14,2,6,2,0.67,19
Masamune Hongo,GrandMaster,Defeat,2020-10-08,39,6,5,8,2.8,333
Masamune Hongo,GrandMaster,Victory,2020-10-07,30,6,3,11,5.67,180
Masamune Hongo,GrandMaster,Victory,2020-10-07,23,0,1,9,9.0,165
Masamune Hongo,GrandMaster,Victory,2020-10-07,21,4,1,8,12.0,189
Masamune Hongo,GrandMaster,Defeat,2020-10-06,33,13,5,5,3.6,208
Masamune Hongo,GrandMaster,Defeat,2020-10-05,27,4,4,6,2.5,140
Masamune Hongo,GrandMaster,Victory,2020-10-05,25,2,3,16,6.0,33
Masamune Hongo,GrandMaster,Victory,2020-10-05,29,7,1,9,16.0,195
Masamune Hongo,GrandMaster,Victory,2020-10-04,28,3,6,12,2.5,30
