Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Medussyn,Platinum I,Defeat,2020-12-05,15,1,8,2,0.38,9
Medussyn,Platinum I,Defeat,2020-11-19,29,4,9,2,0.67,143
Medussyn,Platinum I,Defeat,2020-11-19,40,3,11,14,1.55,216
Medussyn,Platinum I,Defeat,2020-05-04,27,8,11,5,1.18,146
Medussyn,Platinum I,Defeat,2020-05-04,24,3,8,4,0.88,160
Medussyn,Platinum I,Defeat,2020-05-04,27,7,6,2,1.5,180
Medussyn,Platinum I,Victory,2020-05-04,36,13,4,6,4.75,285
Medussyn,Platinum I,Victory,2020-05-04,36,7,6,18,4.17,230
Medussyn,Platinum I,Defeat,2020-05-04,19,7,7,0,1.0,124
Medussyn,Platinum I,Victory,2020-03-27,38,8,10,6,1.4,186
Medussyn,Platinum I,Defeat,2020-03-04,39,16,11,15,2.82,202
Medussyn,Platinum I,Victory,2020-03-04,25,7,4,15,5.5,146
Medussyn,Platinum I,Victory,2020-02-29,33,10,9,9,2.11,164
Medussyn,Platinum I,Victory,2020-02-24,26,11,3,7,6.0,181
Medussyn,Platinum I,Victory,2020-02-24,29,9,2,9,9.0,204
Medussyn,Platinum I,Victory,2020-02-23,29,23,6,9,5.33,189
Medussyn,Platinum I,Defeat,2020-02-23,35,14,10,13,2.7,200
Medussyn,Platinum I,Victory,2020-02-23,28,24,4,7,7.75,170
Medussyn,Platinum I,Victory,2020-02-23,20,5,2,3,4.0,162
Medussyn,Platinum I,Victory,2020-02-23,28,19,1,8,27.0,245
Medussyn,Platinum I,Victory,2020-02-23,15,8,0,2,10.0,131
Medussyn,Platinum I,Victory,2020-02-23,23,8,6,7,2.5,155
Medussyn,Platinum I,Defeat,2020-02-23,24,7,4,4,2.75,165
Medussyn,Platinum I,Victory,2020-02-23,33,15,6,8,3.83,225
Medussyn,Platinum I,Victory,2020-02-23,38,31,9,12,4.78,215
Medussyn,Platinum I,Victory,2020-02-23,34,14,5,7,4.2,312
Medussyn,Platinum I,Victory,2020-02-23,33,19,2,9,14.0,247
Medussyn,Platinum I,Victory,2020-02-23,36,23,6,7,5.0,189
Medussyn,Platinum I,Victory,2020-02-22,28,16,5,8,4.8,234
Medussyn,Platinum I,Victory,2020-02-22,20,13,1,7,20.0,177
Medussyn,Platinum I,Victory,2020-02-22,31,8,6,12,3.33,209
Medussyn,Platinum I,Victory,2020-02-22,36,31,7,8,5.57,250
Medussyn,Platinum I,Defeat,2020-02-22,28,10,13,4,1.08,157
Medussyn,Platinum I,Victory,2020-02-22,23,16,6,6,3.67,162
Medussyn,Platinum I,Victory,2020-02-22,20,14,1,4,18.0,163
Medussyn,Platinum I,Defeat,2020-02-22,31,11,9,7,2.0,231
Medussyn,Platinum I,Victory,2020-02-21,33,20,6,1,3.5,218
Medussyn,Platinum I,Victory,2020-02-21,33,16,8,8,3.0,196
Medussyn,Platinum I,Victory,2020-02-20,24,18,3,0,6.0,201
Medussyn,Platinum I,Victory,2020-02-20,28,21,3,4,8.33,226
Medussyn,Platinum I,Victory,2020-02-20,37,21,8,8,3.62,263
Medussyn,Platinum I,Victory,2020-02-20,28,12,7,3,2.14,186
Medussyn,Platinum I,Victory,2020-02-20,28,15,5,7,4.4,238
Medussyn,Platinum I,Defeat,2020-02-20,29,15,5,2,3.4,226
Medussyn,Platinum I,Victory,2020-02-20,33,17,7,6,3.29,219
Medussyn,Platinum I,Defeat,2020-02-19,30,19,13,4,1.77,153
Medussyn,Platinum I,Victory,2020-02-19,29,27,5,6,6.6,211
Medussyn,Platinum I,Defeat,2020-02-19,42,17,12,9,2.17,257
Medussyn,Platinum I,Defeat,2020-02-19,30,21,6,5,4.33,191
Medussyn,Platinum I,Victory,2020-02-19,26,21,2,9,15.0,245
Medussyn,Platinum I,Defeat,2020-02-19,37,8,8,7,1.88,199
Medussyn,Platinum I,Defeat,2020-02-19,26,0,5,9,1.8,89
Medussyn,Platinum I,Victory,2020-02-19,40,37,9,12,5.44,225
Medussyn,Platinum I,Victory,2020-02-19,25,21,2,3,12.0,176
Medussyn,Platinum I,Victory,2020-02-19,20,12,1,5,17.0,171
Medussyn,Platinum I,Victory,2020-02-18,45,29,8,13,5.25,275
Medussyn,Platinum I,Victory,2020-02-18,25,11,3,5,5.33,184
Medussyn,Platinum I,Victory,2020-02-18,30,24,5,6,6.0,214
Medussyn,Platinum I,Defeat,2020-02-18,48,17,12,17,2.83,254
Medussyn,Platinum I,Victory,2020-02-18,24,13,1,9,22.0,192
Medussyn,Platinum I,Victory,2020-02-18,29,17,2,8,12.5,220
Medussyn,Platinum I,Victory,2020-02-18,33,18,8,14,4.0,187
Medussyn,Platinum I,Victory,2020-02-17,30,18,6,3,3.5,211
Medussyn,Platinum I,Victory,2020-02-17,31,23,8,4,3.38,179
Medussyn,Platinum I,Victory,2020-02-17,20,14,2,2,8.0,161
Medussyn,Platinum I,Defeat,2020-02-17,23,11,5,5,3.2,130
Medussyn,Platinum I,Victory,2020-02-17,31,30,3,11,13.67,222
Medussyn,Platinum I,Defeat,2020-02-17,27,6,6,10,2.67,149
Medussyn,Platinum I,Victory,2020-02-16,17,10,0,2,12.0,135
Medussyn,Platinum I,Victory,2020-02-16,19,10,1,11,21.0,138
Medussyn,Platinum I,Victory,2020-02-16,16,7,2,4,5.5,113
Medussyn,Platinum I,Victory,2020-02-16,22,7,1,9,16.0,151
Medussyn,Platinum I,Defeat,2020-02-16,31,9,8,3,1.5,195
Medussyn,Platinum I,Defeat,2020-02-15,42,8,10,14,2.2,182
Medussyn,Platinum I,Defeat,2020-02-15,28,7,8,1,1.0,188
Medussyn,Platinum I,Victory,2020-02-12,23,3,2,4,3.5,132
Medussyn,Platinum I,Victory,2020-02-12,23,1,2,4,2.5,149
Medussyn,Platinum I,Defeat,2020-02-12,30,4,2,9,6.5,152
Medussyn,Platinum I,Victory,2020-02-09,28,3,3,12,5.0,33
Medussyn,Platinum I,Victory,2020-02-09,31,8,9,4,1.33,138
Medussyn,Platinum I,Defeat,2020-02-09,30,9,8,4,1.62,147
Medussyn,Platinum I,Victory,2020-02-09,24,3,4,8,2.75,17
Medussyn,Platinum I,Victory,2020-02-09,36,11,7,3,2.0,229
Medussyn,Platinum I,Defeat,2019-12-20,36,5,4,8,3.25,205
Medussyn,Platinum I,Defeat,2019-12-20,23,5,8,1,0.75,91
Medussyn,Platinum I,Defeat,2019-12-19,17,0,1,0,0.0,0
Medussyn,Platinum I,Defeat,2019-12-18,32,1,12,6,0.58,117
Medussyn,Platinum I,Defeat,2019-12-15,34,3,9,7,1.11,163
Medussyn,Platinum I,Defeat,2019-12-15,23,3,7,4,1.0,110
Medussyn,Platinum I,Defeat,2019-12-15,21,0,5,3,0.6,108
Medussyn,Platinum I,Victory,2019-12-15,30,5,3,1,2.0,219
Medussyn,Platinum I,Defeat,2019-12-14,22,4,5,0,0.8,133
Medussyn,Platinum I,Victory,2019-11-10,38,12,7,7,2.71,325
Medussyn,Platinum I,Defeat,2019-11-10,19,1,6,2,0.5,98
Medussyn,Platinum I,Victory,2019-11-10,19,7,1,8,15.0,135
Medussyn,Platinum I,Victory,2019-11-10,25,8,3,12,6.67,163
