Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
MrKokoBunji,Gold I,Defeat,2020-09-05,41,8,16,21,1.81,64
MrKokoBunji,Gold I,Defeat,2020-09-05,33,11,9,9,2.22,68
MrKokoBunji,Gold I,Defeat,2020-08-30,34,6,7,5,1.57,224
MrKokoBunji,Gold I,Victory,2020-08-30,19,1,0,1,2.0,130
MrKokoBunji,Gold I,Victory,2020-08-30,26,14,3,7,7.0,188
MrKokoBunji,Gold I,Victory,2020-08-30,37,14,6,14,4.67,200
MrKokoBunji,Gold I,Defeat,2020-08-30,35,4,7,17,3.0,49
MrKokoBunji,Gold I,Defeat,2020-08-26,27,2,6,4,1.0,63
MrKokoBunji,Gold I,Defeat,2020-08-24,40,7,9,12,2.11,197
MrKokoBunji,Gold I,Defeat,2020-08-24,20,4,4,2,1.5,133
MrKokoBunji,Gold I,Defeat,2020-08-24,24,8,8,2,1.25,167
MrKokoBunji,Gold I,Defeat,2020-08-24,20,2,4,0,0.5,137
MrKokoBunji,Gold I,Victory,2020-08-24,33,9,3,8,5.67,64
MrKokoBunji,Gold I,Victory,2020-08-24,36,9,8,10,2.38,73
MrKokoBunji,Gold I,Victory,2020-08-24,34,11,11,13,2.18,84
MrKokoBunji,Gold I,Victory,2020-08-24,27,7,3,8,5.0,61
MrKokoBunji,Gold I,Victory,2020-08-24,25,3,5,9,2.4,46
MrKokoBunji,Gold I,Defeat,2020-08-22,30,7,8,3,1.25,225
MrKokoBunji,Gold I,Victory,2020-08-22,29,5,2,7,6.0,195
MrKokoBunji,Gold I,Defeat,2020-08-22,30,4,12,14,1.5,42
MrKokoBunji,Gold I,Defeat,2020-08-22,20,4,6,1,0.83,40
MrKokoBunji,Gold I,Victory,2020-08-21,43,16,6,12,4.67,245
MrKokoBunji,Gold I,Victory,2020-08-21,29,7,3,11,6.0,59
MrKokoBunji,Gold I,Defeat,2020-08-19,29,4,6,3,1.17,180
MrKokoBunji,Gold I,Victory,2020-08-19,20,9,4,7,4.0,136
MrKokoBunji,Gold I,Victory,2020-08-19,23,5,3,10,5.0,119
MrKokoBunji,Gold I,Victory,2020-08-18,33,7,2,10,8.5,209
MrKokoBunji,Gold I,Defeat,2020-08-17,24,3,5,2,1.0,40
MrKokoBunji,Gold I,Victory,2020-08-16,33,7,4,6,3.25,36
MrKokoBunji,Gold I,Victory,2020-08-16,28,11,6,13,4.0,56
MrKokoBunji,Gold I,Defeat,2020-08-16,32,3,6,11,2.33,182
MrKokoBunji,Gold I,Victory,2020-08-16,44,14,12,19,2.75,260
MrKokoBunji,Gold I,Defeat,2020-08-16,32,0,9,4,0.44,174
MrKokoBunji,Gold I,Victory,2020-08-16,34,6,6,17,3.83,217
MrKokoBunji,Gold I,Victory,2020-08-15,30,10,8,14,3.0,232
MrKokoBunji,Gold I,Victory,2020-08-15,35,6,10,12,1.8,168
MrKokoBunji,Gold I,Victory,2020-08-15,36,12,7,6,2.57,207
MrKokoBunji,Gold I,Defeat,2020-08-15,28,9,6,4,2.17,170
MrKokoBunji,Gold I,Victory,2020-08-14,33,8,5,5,2.6,236
MrKokoBunji,Gold I,Victory,2020-08-14,32,8,3,7,5.0,227
MrKokoBunji,Gold I,Victory,2020-08-14,33,9,3,5,4.67,259
MrKokoBunji,Gold I,Victory,2020-08-14,22,3,2,11,7.0,168
MrKokoBunji,Gold I,Victory,2020-08-14,31,13,1,8,21.0,202
MrKokoBunji,Gold I,Victory,2020-08-14,23,7,2,7,7.0,29
MrKokoBunji,Gold I,Victory,2020-08-14,32,8,4,8,4.0,180
MrKokoBunji,Gold I,Victory,2020-08-13,22,9,2,8,8.5,120
MrKokoBunji,Gold I,Victory,2020-08-13,22,5,0,9,14.0,130
MrKokoBunji,Gold I,Victory,2020-08-13,22,5,1,5,10.0,152
MrKokoBunji,Gold I,Defeat,2020-08-13,26,8,4,7,3.75,118
MrKokoBunji,Gold I,Victory,2020-08-12,35,11,4,17,7.0,225
MrKokoBunji,Gold I,Defeat,2020-08-12,33,5,5,13,3.6,197
MrKokoBunji,Gold I,Victory,2020-08-12,22,3,0,9,12.0,145
MrKokoBunji,Gold I,Victory,2020-08-12,26,8,2,11,9.5,38
MrKokoBunji,Gold I,Defeat,2020-07-20,38,3,7,8,1.57,55
MrKokoBunji,Gold I,Victory,2020-07-20,27,6,2,8,7.0,35
MrKokoBunji,Gold I,Victory,2020-06-20,38,10,9,11,2.33,219
MrKokoBunji,Gold I,Defeat,2020-06-20,39,5,15,7,0.8,207
MrKokoBunji,Gold I,Defeat,2020-06-20,24,6,9,3,1.0,131
MrKokoBunji,Gold I,Defeat,2020-06-19,21,4,4,8,3.0,165
MrKokoBunji,Gold I,Victory,2020-06-19,25,0,7,12,1.71,103
MrKokoBunji,Gold I,Victory,2020-06-19,31,3,11,6,0.82,139
MrKokoBunji,Gold I,Victory,2020-06-16,32,4,9,13,1.89,138
MrKokoBunji,Gold I,Victory,2020-06-16,41,15,10,12,2.7,248
MrKokoBunji,Gold I,Victory,2020-06-16,23,7,1,8,15.0,127
MrKokoBunji,Gold I,Victory,2020-05-27,27,13,5,7,4.0,132
MrKokoBunji,Gold I,Defeat,2020-05-26,25,7,9,1,0.89,144
MrKokoBunji,Gold I,Defeat,2020-05-26,31,7,7,8,2.14,165
MrKokoBunji,Gold I,Defeat,2020-05-26,25,2,7,4,0.86,130
