Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Mr Pan,Master,Victory,2020-11-07,26,7,2,6,6.5,190
Mr Pan,Master,Defeat,2020-11-06,38,5,8,16,2.62,229
Mr Pan,Master,Victory,2020-11-04,27,5,2,13,9.0,135
Mr Pan,Master,Defeat,2020-10-31,24,4,10,2,0.6,113
Mr Pan,Master,Victory,2020-10-31,15,3,0,1,4.0,100
Mr Pan,Master,Victory,2020-10-29,27,5,2,9,7.0,186
Mr Pan,Master,Defeat,2020-10-29,22,0,2,4,2.0,169
Mr Pan,Master,Defeat,2020-10-28,20,2,3,1,1.0,151
Mr Pan,Master,Defeat,2020-10-28,32,2,3,16,6.0,166
Mr Pan,Master,Victory,2020-10-28,29,4,3,9,4.33,198
Mr Pan,Master,Victory,2020-10-25,29,1,6,10,1.83,220
Mr Pan,Master,Defeat,2020-10-24,22,4,3,4,2.67,169
Mr Pan,Master,Defeat,2020-10-23,31,2,6,5,1.17,242
Mr Pan,Master,Defeat,2020-10-23,24,1,3,3,1.33,172
Mr Pan,Master,Victory,2020-10-22,41,5,3,13,6.0,251
Mr Pan,Master,Defeat,2020-10-22,23,3,7,3,0.86,163
Mr Pan,Master,Victory,2020-10-20,25,9,3,2,3.67,159
Mr Pan,Master,Defeat,2020-10-20,21,3,2,2,2.5,153
Mr Pan,Master,Defeat,2020-10-20,33,2,5,6,1.6,191
Mr Pan,Master,Victory,2020-10-20,9,1,1,0,1.0,60
Mr Pan,Master,Defeat,2020-10-20,23,1,5,2,0.6,152
Mr Pan,Master,Victory,2020-10-20,21,6,2,8,7.0,136
Mr Pan,Master,Defeat,2020-10-20,25,7,3,4,3.67,181
Mr Pan,Master,Victory,2020-10-19,35,4,4,8,3.0,284
Mr Pan,Master,Victory,2020-10-19,28,2,1,10,12.0,170
Mr Pan,Master,Defeat,2020-10-19,20,0,3,0,0.0,148
Mr Pan,Master,Victory,2020-10-19,24,5,3,10,5.0,130
Mr Pan,Master,Victory,2020-10-19,21,7,0,7,14.0,157
Mr Pan,Master,Victory,2020-10-19,15,3,0,2,5.0,133
Mr Pan,Master,Victory,2020-10-18,29,4,4,12,4.0,196
