Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
NightmarePhoenix,Silver I,Defeat,2020-12-08,26,2,5,2,0.8,165
NightmarePhoenix,Silver I,Victory,2020-12-07,32,2,4,9,2.75,154
NightmarePhoenix,Silver I,Defeat,2020-12-07,35,3,8,15,2.25,128
NightmarePhoenix,Silver I,Victory,2020-12-04,37,8,4,12,5.0,161
NightmarePhoenix,Silver I,Defeat,2020-12-04,28,0,5,2,0.4,129
NightmarePhoenix,Silver I,Victory,2020-11-13,38,17,7,18,5.0,155
NightmarePhoenix,Silver I,Victory,2020-11-11,42,4,7,24,4.0,177
NightmarePhoenix,Silver I,Defeat,2020-11-11,36,9,3,15,8.0,182
NightmarePhoenix,Silver I,Defeat,2020-11-11,33,8,7,5,1.86,169
NightmarePhoenix,Silver I,Victory,2020-11-11,31,9,2,11,10.0,131
NightmarePhoenix,Silver I,Defeat,2020-11-11,36,0,7,14,2.0,181
NightmarePhoenix,Silver I,Defeat,2020-11-11,34,5,8,9,1.75,158
NightmarePhoenix,Silver I,Victory,2020-11-11,43,2,3,7,3.0,178
NightmarePhoenix,Silver I,Victory,2020-11-11,37,5,5,5,2.0,212
NightmarePhoenix,Silver I,Defeat,2020-11-10,29,0,2,3,1.5,183
NightmarePhoenix,Silver I,Defeat,2020-11-10,15,0,2,0,0.0,56
NightmarePhoenix,Silver I,Victory,2020-11-10,26,7,4,14,5.25,142
NightmarePhoenix,Silver I,Defeat,2020-11-10,36,12,8,11,2.88,161
NightmarePhoenix,Silver I,Victory,2020-11-10,20,2,2,4,3.0,138
NightmarePhoenix,Silver I,Defeat,2020-11-10,28,5,6,7,2.0,102
NightmarePhoenix,Silver I,Defeat,2020-11-10,24,4,6,8,2.0,127
NightmarePhoenix,Silver I,Victory,2020-11-10,17,2,3,1,1.0,77
NightmarePhoenix,Silver I,Victory,2020-11-08,35,4,5,7,2.2,180
NightmarePhoenix,Silver I,Victory,2020-11-08,19,5,4,3,2.0,111
NightmarePhoenix,Silver I,Victory,2020-11-08,24,5,1,3,8.0,155
NightmarePhoenix,Silver I,Victory,2020-11-07,22,0,1,1,1.0,109
NightmarePhoenix,Silver I,Defeat,2020-11-07,26,1,4,2,0.75,116
NightmarePhoenix,Silver I,Victory,2020-11-05,33,15,4,12,6.75,166
NightmarePhoenix,Silver I,Victory,2020-11-05,34,6,1,14,20.0,146
NightmarePhoenix,Silver I,Defeat,2020-11-04,33,12,8,11,2.88,189
NightmarePhoenix,Silver I,Victory,2020-11-04,37,5,0,7,12.0,216
NightmarePhoenix,Silver I,Victory,2020-11-03,37,12,3,9,7.0,182
NightmarePhoenix,Silver I,Defeat,2020-11-03,35,1,5,8,1.8,197
NightmarePhoenix,Silver I,Defeat,2020-11-03,44,9,10,9,1.8,166
NightmarePhoenix,Silver I,Defeat,2020-11-03,25,2,5,1,0.6,128
NightmarePhoenix,Silver I,Victory,2020-11-03,38,7,4,6,3.25,214
NightmarePhoenix,Silver I,Defeat,2020-11-03,23,3,7,5,1.14,87
NightmarePhoenix,Silver I,Victory,2020-11-03,32,0,0,0,0.0,10
NightmarePhoenix,Silver I,Victory,2020-11-03,25,3,3,6,3.0,131
NightmarePhoenix,Silver I,Defeat,2020-11-02,30,1,5,4,1.0,146
NightmarePhoenix,Silver I,Defeat,2020-11-02,32,2,9,5,0.78,163
NightmarePhoenix,Silver I,Defeat,2020-11-02,29,1,9,2,0.33,106
NightmarePhoenix,Silver I,Victory,2020-11-02,18,5,0,2,7.0,115
NightmarePhoenix,Silver I,Victory,2020-10-12,40,7,4,9,4.0,184
NightmarePhoenix,Silver I,Victory,2020-10-12,28,6,3,12,6.0,159
NightmarePhoenix,Silver I,Defeat,2020-10-10,30,8,3,4,4.0,161
NightmarePhoenix,Silver I,Defeat,2020-07-25,35,4,3,1,1.67,209
NightmarePhoenix,Silver I,Defeat,2020-07-22,26,2,4,3,1.25,125
NightmarePhoenix,Silver I,Defeat,2020-07-22,27,3,7,8,1.57,84
NightmarePhoenix,Silver I,Defeat,2020-07-22,29,2,2,3,2.5,132
NightmarePhoenix,Silver I,Defeat,2020-07-20,39,2,6,4,1.0,120
NightmarePhoenix,Silver I,Defeat,2020-07-17,24,1,3,6,2.33,122
NightmarePhoenix,Silver I,Victory,2020-07-17,35,9,2,5,7.0,184
