Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Only Fidd,GrandMaster,Defeat,2020-11-20,27,0,3,9,3.0,15
Only Fidd,GrandMaster,Defeat,2020-11-20,21,2,4,3,1.25,11
Only Fidd,GrandMaster,Defeat,2020-11-20,24,4,2,4,4.0,27
Only Fidd,GrandMaster,Victory,2020-11-20,37,4,7,19,3.29,51
Only Fidd,GrandMaster,Defeat,2020-11-20,15,0,5,4,0.8,24
Only Fidd,GrandMaster,Victory,2020-11-19,28,2,1,19,21.0,43
Only Fidd,GrandMaster,Defeat,2020-11-19,34,0,7,6,0.86,43
Only Fidd,GrandMaster,Defeat,2020-11-19,25,1,2,3,2.0,60
Only Fidd,GrandMaster,Victory,2020-11-19,22,0,7,17,2.43,23
Only Fidd,GrandMaster,Victory,2020-11-19,15,1,1,6,7.0,17
Only Fidd,GrandMaster,Defeat,2020-11-17,40,0,9,24,2.67,44
Only Fidd,GrandMaster,Victory,2020-11-17,33,2,5,25,5.4,13
Only Fidd,GrandMaster,Victory,2020-11-17,25,1,5,9,2.0,0
Only Fidd,GrandMaster,Victory,2020-11-17,26,1,3,22,7.67,15
Only Fidd,GrandMaster,Defeat,2020-11-17,25,1,4,12,3.25,21
Only Fidd,GrandMaster,Defeat,2020-11-17,28,1,6,15,2.67,40
Only Fidd,GrandMaster,Defeat,2020-11-17,25,0,8,11,1.38,18
Only Fidd,GrandMaster,Victory,2020-11-17,31,3,7,24,3.86,33
Only Fidd,GrandMaster,Defeat,2020-11-17,26,2,7,7,1.29,213
Only Fidd,GrandMaster,Defeat,2020-11-17,27,4,7,4,1.14,166
Only Fidd,GrandMaster,Defeat,2020-11-17,28,1,6,3,0.67,30
Only Fidd,GrandMaster,Defeat,2020-11-16,19,0,3,2,0.67,20
Only Fidd,GrandMaster,Defeat,2020-11-16,29,1,7,10,1.57,21
Only Fidd,GrandMaster,Defeat,2020-11-16,38,1,10,21,2.2,26
Only Fidd,GrandMaster,Defeat,2020-11-16,27,3,7,8,1.57,22
Only Fidd,GrandMaster,Victory,2020-11-11,39,3,4,18,5.25,44
Only Fidd,GrandMaster,Victory,2020-11-10,27,8,2,23,15.5,185
Only Fidd,GrandMaster,Victory,2020-11-10,16,3,0,8,11.0,85
Only Fidd,GrandMaster,Defeat,2020-11-09,33,3,8,5,1.0,244
Only Fidd,GrandMaster,Defeat,2020-11-09,34,0,4,17,4.25,43
Only Fidd,GrandMaster,Defeat,2020-11-09,32,7,7,7,2.0,173
Only Fidd,GrandMaster,Defeat,2020-11-09,26,3,7,3,0.86,155
Only Fidd,GrandMaster,Defeat,2020-11-09,24,6,9,4,1.11,144
Only Fidd,GrandMaster,Victory,2020-11-09,23,1,5,6,1.4,156
Only Fidd,GrandMaster,Defeat,2020-11-09,23,2,4,1,0.75,159
Only Fidd,GrandMaster,Victory,2020-11-08,28,6,5,18,4.8,128
Only Fidd,GrandMaster,Victory,2020-11-08,28,7,3,16,7.67,173
Only Fidd,GrandMaster,Defeat,2020-11-08,26,0,7,4,0.57,171
Only Fidd,GrandMaster,Victory,2020-11-08,24,5,3,11,5.33,179
Only Fidd,GrandMaster,Defeat,2020-11-08,32,3,5,7,2.0,194
