Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
PanchitaPalantir,Silver I,Victory,2020-11-17,41,7,8,16,2.88,207
PanchitaPalantir,Silver I,Victory,2020-11-17,23,15,3,4,6.33,171
PanchitaPalantir,Silver I,Defeat,2020-11-03,30,4,8,6,1.25,162
PanchitaPalantir,Silver I,Victory,2020-11-03,28,15,5,8,4.6,169
PanchitaPalantir,Silver I,Defeat,2020-11-03,32,9,8,11,2.5,157
PanchitaPalantir,Silver I,Defeat,2020-11-03,33,12,10,10,2.2,178
PanchitaPalantir,Silver I,Victory,2020-11-03,28,11,0,8,19.0,165
PanchitaPalantir,Silver I,Defeat,2020-11-03,20,3,4,3,1.5,154
PanchitaPalantir,Silver I,Victory,2020-11-03,22,14,0,3,17.0,180
PanchitaPalantir,Silver I,Defeat,2020-10-31,43,17,11,5,2.0,310
PanchitaPalantir,Silver I,Defeat,2020-10-31,28,10,8,6,2.0,157
PanchitaPalantir,Silver I,Defeat,2020-10-31,30,16,6,6,3.67,245
PanchitaPalantir,Silver I,Victory,2020-10-31,34,15,8,7,2.75,199
PanchitaPalantir,Silver I,Victory,2020-10-31,36,14,9,15,3.22,206
PanchitaPalantir,Silver I,Victory,2020-10-31,38,15,4,6,5.25,309
PanchitaPalantir,Silver I,Victory,2020-10-30,33,9,6,4,2.17,277
PanchitaPalantir,Silver I,Defeat,2020-10-29,33,9,9,8,1.89,201
PanchitaPalantir,Silver I,Victory,2020-10-28,36,26,2,9,17.5,315
PanchitaPalantir,Silver I,Victory,2020-10-28,34,17,6,12,4.83,250
PanchitaPalantir,Silver I,Victory,2020-10-27,27,22,3,6,9.33,196
PanchitaPalantir,Silver I,Victory,2020-10-27,29,7,5,16,4.6,138
PanchitaPalantir,Silver I,Victory,2020-10-27,32,17,5,10,5.4,257
PanchitaPalantir,Silver I,Victory,2020-10-27,29,14,7,10,3.43,162
PanchitaPalantir,Silver I,Victory,2020-10-27,25,10,6,10,3.33,117
PanchitaPalantir,Silver I,Victory,2020-10-27,29,14,2,20,17.0,137
PanchitaPalantir,Silver I,Victory,2020-10-27,29,23,3,7,10.0,170
PanchitaPalantir,Silver I,Victory,2020-10-27,23,18,5,12,6.0,148
PanchitaPalantir,Silver I,Victory,2020-10-26,20,13,0,6,19.0,137
PanchitaPalantir,Silver I,Defeat,2020-10-26,32,6,11,19,2.27,151
PanchitaPalantir,Silver I,Victory,2020-10-25,21,14,5,7,4.2,163
PanchitaPalantir,Silver I,Victory,2020-10-25,21,18,5,10,5.6,117
PanchitaPalantir,Silver I,Victory,2020-10-25,32,7,6,9,2.67,150
PanchitaPalantir,Silver I,Victory,2020-10-25,27,5,5,3,1.6,142
PanchitaPalantir,Silver I,Victory,2020-10-25,26,11,4,13,6.0,165
PanchitaPalantir,Silver I,Victory,2020-10-25,21,10,3,2,4.0,130
PanchitaPalantir,Silver I,Victory,2020-10-25,15,12,0,0,12.0,132
PanchitaPalantir,Silver I,Defeat,2020-10-24,27,10,6,5,2.5,223
PanchitaPalantir,Silver I,Victory,2020-10-24,42,33,2,18,25.5,231
PanchitaPalantir,Silver I,Victory,2020-10-24,21,11,1,8,19.0,139
PanchitaPalantir,Silver I,Victory,2020-10-23,23,14,4,9,5.75,183
PanchitaPalantir,Silver I,Victory,2020-10-23,23,8,2,18,13.0,129
PanchitaPalantir,Silver I,Victory,2020-10-22,28,17,5,18,7.0,166
PanchitaPalantir,Silver I,Victory,2020-02-01,31,15,7,5,2.86,176
PanchitaPalantir,Silver I,Victory,2020-01-12,29,2,3,5,2.33,28
PanchitaPalantir,Silver I,Victory,2019-12-24,37,1,10,21,2.2,24
PanchitaPalantir,Silver I,Defeat,2019-11-05,38,3,8,11,1.75,54
PanchitaPalantir,Silver I,Defeat,2019-11-05,19,1,6,3,0.67,14
