Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Pastel de limon,Bronze I,Victory,2020-02-28,36,15,9,9,2.67,152
Pastel de limon,Bronze I,Defeat,2020-02-28,30,6,3,5,3.67,165
Pastel de limon,Bronze I,Defeat,2020-02-28,28,6,9,4,1.11,111
Pastel de limon,Bronze I,Defeat,2020-02-28,27,3,6,10,2.17,124
Pastel de limon,Bronze I,Victory,2020-02-26,29,4,6,9,2.17,180
Pastel de limon,Bronze I,Victory,2020-02-26,35,7,7,22,4.14,144
Pastel de limon,Bronze I,Defeat,2020-02-25,26,9,3,2,3.67,145
Pastel de limon,Bronze I,Defeat,2020-02-25,29,4,4,4,2.0,139
Pastel de limon,Bronze I,Defeat,2020-02-25,33,10,6,5,2.5,178
Pastel de limon,Bronze I,Victory,2020-02-24,29,5,6,8,2.17,181
Pastel de limon,Bronze I,Victory,2020-02-24,21,1,1,3,4.0,140
Pastel de limon,Bronze I,Victory,2020-02-24,26,9,2,0,4.5,158
Pastel de limon,Bronze I,Defeat,2020-02-24,41,9,8,15,3.0,170
Pastel de limon,Bronze I,Defeat,2020-02-24,28,7,5,1,1.6,118
Pastel de limon,Bronze I,Defeat,2020-02-23,32,4,6,1,0.83,125
Pastel de limon,Bronze I,Defeat,2020-02-23,34,7,8,7,1.75,133
Pastel de limon,Bronze I,Victory,2020-02-23,21,2,2,7,4.5,151
Pastel de limon,Bronze I,Victory,2020-02-23,37,11,5,8,3.8,199
Pastel de limon,Bronze I,Victory,2020-02-22,33,4,7,6,1.43,251
Pastel de limon,Bronze I,Victory,2020-02-22,29,3,5,9,2.4,108
Pastel de limon,Bronze I,Victory,2020-02-13,28,7,3,6,4.33,137
Pastel de limon,Bronze I,Victory,2020-02-11,32,11,2,13,12.0,181
Pastel de limon,Bronze I,Defeat,2020-02-11,37,7,7,10,2.43,173
