Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
RS Aldebaran,Gold I,Victory,2020-11-10,20,12,6,4,2.67,151
RS Aldebaran,Gold I,Defeat,2020-11-10,30,6,9,16,2.44,58
RS Aldebaran,Gold I,Defeat,2020-10-28,43,18,14,13,2.21,327
RS Aldebaran,Gold I,Defeat,2020-10-28,27,8,9,3,1.22,201
RS Aldebaran,Gold I,Victory,2020-10-28,29,23,8,14,4.62,200
RS Aldebaran,Gold I,Victory,2020-08-23,30,5,6,18,3.83,121
RS Aldebaran,Gold I,Defeat,2020-08-23,27,8,10,10,1.8,94
RS Aldebaran,Gold I,Defeat,2020-08-23,30,8,8,8,2.0,106
RS Aldebaran,Gold I,Defeat,2020-08-16,35,6,11,8,1.27,166
RS Aldebaran,Gold I,Defeat,2020-08-14,24,3,6,1,0.67,105
RS Aldebaran,Gold I,Victory,2020-08-14,33,8,9,10,2.0,162
RS Aldebaran,Gold I,Victory,2020-08-14,42,14,8,22,4.5,155
RS Aldebaran,Gold I,Victory,2020-08-14,27,5,11,8,1.18,114
RS Aldebaran,Gold I,Victory,2020-08-14,26,17,3,13,10.0,116
RS Aldebaran,Gold I,Defeat,2020-08-14,27,5,8,8,1.62,118
RS Aldebaran,Gold I,Victory,2020-08-14,33,6,9,10,1.78,120
RS Aldebaran,Gold I,Defeat,2020-08-14,25,2,10,10,1.2,98
RS Aldebaran,Gold I,Victory,2020-08-12,24,6,4,15,5.25,149
RS Aldebaran,Gold I,Victory,2020-08-12,25,8,7,7,2.14,145
RS Aldebaran,Gold I,Victory,2020-08-12,26,9,4,8,4.25,124
RS Aldebaran,Gold I,Defeat,2020-08-11,35,16,13,11,2.08,193
RS Aldebaran,Gold I,Victory,2020-08-10,28,15,5,15,6.0,178
RS Aldebaran,Gold I,Victory,2020-08-10,24,7,2,7,7.0,186
RS Aldebaran,Gold I,Victory,2020-08-10,39,7,14,27,2.43,215
RS Aldebaran,Gold I,Victory,2020-08-08,25,6,3,9,5.0,180
RS Aldebaran,Gold I,Victory,2020-08-08,18,5,1,4,9.0,139
RS Aldebaran,Gold I,Victory,2020-08-08,25,5,2,8,6.5,178
RS Aldebaran,Gold I,Victory,2020-08-08,20,9,2,7,8.0,163
RS Aldebaran,Gold I,Victory,2020-07-03,39,10,7,8,2.57,187
RS Aldebaran,Gold I,Defeat,2020-07-03,15,0,4,1,0.25,70
RS Aldebaran,Gold I,Defeat,2020-06-15,35,16,10,7,2.3,170
RS Aldebaran,Gold I,Defeat,2020-06-15,29,6,10,6,1.2,175
RS Aldebaran,Gold I,Defeat,2020-06-15,33,18,10,7,2.5,182
RS Aldebaran,Gold I,Defeat,2020-06-15,36,12,8,14,3.25,248
RS Aldebaran,Gold I,Defeat,2020-06-14,29,3,7,3,0.86,191
RS Aldebaran,Gold I,Defeat,2020-06-14,20,1,7,1,0.29,106
RS Aldebaran,Gold I,Victory,2020-06-14,25,13,3,9,7.33,138
RS Aldebaran,Gold I,Defeat,2020-06-14,26,12,7,5,2.43,176
RS Aldebaran,Gold I,Defeat,2020-06-14,33,11,7,8,2.71,143
RS Aldebaran,Gold I,Victory,2020-06-14,27,3,6,9,2.0,167
RS Aldebaran,Gold I,Victory,2020-06-14,36,14,8,10,3.0,270
RS Aldebaran,Gold I,Defeat,2020-06-14,17,0,8,4,0.5,21
RS Aldebaran,Gold I,Defeat,2020-06-14,29,5,7,5,1.43,186
RS Aldebaran,Gold I,Victory,2020-06-14,22,9,2,7,8.0,130
RS Aldebaran,Gold I,Victory,2020-06-14,26,12,4,16,7.0,157
RS Aldebaran,Gold I,Victory,2020-06-14,23,8,2,8,8.0,132
RS Aldebaran,Gold I,Victory,2020-06-14,27,15,8,16,3.88,142
RS Aldebaran,Gold I,Defeat,2020-06-14,34,3,13,17,1.54,44
RS Aldebaran,Gold I,Victory,2020-06-14,38,10,13,12,1.69,49
RS Aldebaran,Gold I,Defeat,2020-06-13,42,6,17,11,1.0,52
RS Aldebaran,Gold I,Victory,2020-06-13,34,10,9,19,3.22,56
RS Aldebaran,Gold I,Victory,2020-06-12,18,4,0,12,16.0,28
RS Aldebaran,Gold I,Victory,2020-06-12,27,9,6,13,3.67,37
RS Aldebaran,Gold I,Victory,2020-06-12,25,11,6,9,3.33,34
RS Aldebaran,Gold I,Defeat,2020-05-21,31,12,16,5,1.06,109
RS Aldebaran,Gold I,Victory,2020-05-21,35,13,9,7,2.22,199
RS Aldebaran,Gold I,Victory,2020-05-21,35,13,7,12,3.57,153
RS Aldebaran,Gold I,Defeat,2020-05-21,33,8,13,9,1.31,139
RS Aldebaran,Gold I,Victory,2020-05-21,27,11,4,8,4.75,179
RS Aldebaran,Gold I,Victory,2020-05-21,33,23,9,9,3.56,138
RS Aldebaran,Gold I,Defeat,2020-05-20,42,22,14,14,2.57,159
