Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
Rage,Victory,153daysago,15min,100,0,0,100.0,594CS
Rage,Defeat,153daysago,25min,2,3,0,0.67,87CS
Rage,Victory,153daysago,11min,27,0,2,29.0,319CS
Rage,Victory,153daysago,12min,62,0,0,62.0,418CS
Rage,Victory,153daysago,10min,130,0,2,132.0,412CS
Rage,Victory,199daysago,33min,6,5,11,3.4,231CS
Rage,Victory,199daysago,30min,11,5,9,4.0,177CS
Rage,Victory,199daysago,20min,6,2,4,5.0,152CS
Rage,Defeat,199daysago,31min,4,10,8,1.2,156CS
Rage,Defeat,199daysago,30min,3,8,2,0.62,182CS
Rage,Defeat,199daysago,28min,13,10,12,2.5,148CS
Rage,Victory,205daysago,28min,32,6,3,5.83,208CS
Rage,Defeat,205daysago,36min,4,8,9,1.62,243CS
Rage,Defeat,205daysago,34min,3,8,5,1.0,245CS
Rage,Victory,213daysago,19min,3,1,5,8.0,137CS
Rage,Defeat,213daysago,32min,4,5,7,2.2,188CS
Rage,Victory,213daysago,13min,5,0,0,5.0,102CS
Rage,Victory,213daysago,29min,4,1,11,15.0,207CS
Rage,Victory,213daysago,32min,7,5,13,4.0,181CS
Rage,Victory,213daysago,23min,6,4,11,4.25,155CS
Rage,Defeat,213daysago,41min,18,10,6,2.4,220CS
Rage,Defeat,213daysago,34min,1,10,13,1.4,128CS
Rage,Victory,213daysago,34min,13,8,7,2.5,256CS
Rage,Defeat,213daysago,26min,2,5,2,0.8,131CS
Rage,Victory,213daysago,26min,13,4,11,6.0,187CS
Rage,Victory,213daysago,23min,17,4,5,5.5,158CS
Rage,Defeat,215daysago,18min,1,6,2,0.5,85CS
Rage,Victory,215daysago,29min,12,7,12,3.43,178CS
Rage,Victory,215daysago,22min,4,4,9,3.25,141CS
Rage,Victory,215daysago,25min,15,6,3,3.0,182CS
Rage,Victory,215daysago,22min,5,3,6,3.67,196CS
Rage,Defeat,215daysago,24min,1,8,5,0.75,120CS
Rage,Defeat,217daysago,28min,15,7,5,2.86,183CS
Rage,Defeat,217daysago,18min,1,12,2,0.25,44CS
Rage,Victory,217daysago,23min,17,4,6,5.75,129CS
Rage,Victory,217daysago,21min,14,2,3,8.5,172CS
Rage,Victory,217daysago,23min,2,4,6,2.0,155CS
Rage,Victory,217daysago,21min,10,2,4,7.0,156CS
Rage,Defeat,217daysago,38min,19,8,11,3.75,291CS
Rage,Victory,217daysago,35min,15,5,9,4.8,247CS
Rage,Victory,218daysago,19min,2,4,5,1.75,146CS
Rage,Defeat,218daysago,18min,2,4,0,0.5,85CS
Rage,Victory,218daysago,19min,10,0,3,13.0,141CS
Rage,Victory,218daysago,21min,12,4,4,4.0,154CS
Rage,Defeat,218daysago,38min,20,10,9,2.9,199CS
Rage,Victory,218daysago,27min,16,2,5,10.5,207CS
Rage,Victory,218daysago,22min,11,4,7,4.5,146CS
Rage,Victory,219daysago,19min,18,3,6,8.0,128CS
Rage,Victory,219daysago,15min,14,2,1,7.5,135CS
Rage,Victory,219daysago,26min,8,3,8,5.33,188CS
Rage,Victory,219daysago,38min,14,9,13,3.0,231CS
Rage,Victory,219daysago,20min,10,3,2,4.0,141CS
Rage,Victory,219daysago,29min,20,6,8,4.67,192CS
Rage,Victory,219daysago,22min,6,2,5,5.5,163CS
Rage,Victory,219daysago,23min,12,1,8,20.0,154CS
Rage,Defeat,219daysago,34min,10,9,10,2.22,198CS
Rage,Victory,219daysago,19min,15,0,5,20.0,139CS
Rage,Victory,219daysago,22min,22,4,6,7.0,172CS
Rage,Victory,219daysago,23min,11,3,6,5.67,170CS
Rage,Victory,219daysago,18min,21,0,2,23.0,163CS
Rage,Victory,219daysago,24min,7,4,10,4.25,158CS
Rage,Victory,219daysago,20min,9,3,1,3.33,138CS
Rage,Victory,219daysago,16min,7,0,2,9.0,123CS
Rage,Victory,219daysago,24min,17,3,5,7.33,176CS
Rage,Victory,219daysago,21min,18,3,4,7.33,165CS
Rage,Victory,220daysago,19min,17,0,6,23.0,121CS
Rage,Victory,220daysago,20min,18,1,1,19.0,191CS
Rage,Defeat,220daysago,32min,13,9,12,2.78,249CS
Rage,Victory,220daysago,19min,14,1,4,18.0,165CS
Rage,Victory,220daysago,24min,16,1,9,25.0,188CS
Rage,Victory,220daysago,25min,20,4,12,8.0,189CS
Rage,Victory,220daysago,15min,20,1,2,22.0,129CS
Rage,Victory,220daysago,24min,23,1,12,35.0,216CS
Rage,Victory,220daysago,21min,18,2,5,11.5,172CS
Rage,Victory,220daysago,18min,14,0,6,20.0,172CS
Rage,Victory,220daysago,21min,1,1,7,8.0,143CS
Rage,Victory,220daysago,18min,6,2,2,4.0,136CS
Rage,Victory,220daysago,26min,10,5,3,2.6,164CS
Rage,Victory,220daysago,18min,5,1,4,9.0,149CS
Rage,Victory,220daysago,19min,6,3,6,4.0,162CS
Rage,Victory,220daysago,20min,11,2,5,8.0,173CS
Rage,Victory,220daysago,20min,9,2,3,6.0,149CS
Rage,Victory,244daysago,37min,10,2,8,9.0,279CS
Rage,Victory,244daysago,19min,14,5,8,4.4,130CS
Rage,Victory,244daysago,23min,2,5,10,2.4,116CS
Rage,Victory,244daysago,22min,7,2,8,7.5,130CS
