Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Random User 52,Unranked,Victory,2020-05-13,38,10,9,12,2.44,206
Random User 52,Unranked,Defeat,2020-05-07,17,4,6,1,0.83,71
Random User 52,Unranked,Defeat,2020-05-07,37,8,13,11,1.46,131
Random User 52,Unranked,Defeat,2020-05-07,24,3,3,4,2.33,179
Random User 52,Unranked,Defeat,2020-05-07,15,2,5,0,0.4,83
Random User 52,Unranked,Defeat,2020-05-07,29,5,6,6,1.83,169
Random User 52,Unranked,Victory,2020-05-07,28,3,4,5,2.0,259
Random User 52,Unranked,Victory,2020-05-05,25,3,3,2,1.67,186
Random User 52,Unranked,Victory,2020-05-05,20,7,1,5,12.0,166
Random User 52,Unranked,Defeat,2020-05-05,31,5,6,5,1.67,204
Random User 52,Unranked,Victory,2020-05-05,21,4,3,4,2.67,146
Random User 52,Unranked,Victory,2020-05-04,25,13,1,5,18.0,270
Random User 52,Unranked,Victory,2020-05-04,27,4,3,6,3.33,162
Random User 52,Unranked,Defeat,2020-05-04,32,5,11,3,0.73,160
Random User 52,Unranked,Defeat,2020-05-04,22,3,8,4,0.88,147
Random User 52,Unranked,Defeat,2020-05-04,31,2,7,10,1.71,204
Random User 52,Unranked,Victory,2020-05-02,34,11,8,17,3.5,176
Random User 52,Unranked,Victory,2020-05-02,35,8,6,13,3.5,58
Random User 52,Unranked,Victory,2020-05-02,24,4,5,7,2.2,171
Random User 52,Unranked,Victory,2020-05-02,24,8,2,4,6.0,166
Random User 52,Unranked,Victory,2020-05-01,17,7,0,3,10.0,109
Random User 52,Unranked,Victory,2020-05-01,45,5,13,16,1.62,241
Random User 52,Unranked,Defeat,2020-05-01,24,0,9,5,0.56,27
Random User 52,Unranked,Defeat,2020-04-30,38,3,8,8,1.38,275
Random User 52,Unranked,Defeat,2020-04-30,34,6,7,6,1.71,245
Random User 52,Unranked,Defeat,2020-04-30,36,2,6,6,1.33,225
Random User 52,Unranked,Defeat,2020-04-30,28,5,8,3,1.0,169
Random User 52,Unranked,Defeat,2020-04-30,30,6,8,7,1.62,198
Random User 52,Unranked,Defeat,2020-04-30,26,3,6,0,0.5,193
Random User 52,Unranked,Defeat,2020-04-30,26,2,9,4,0.67,174
Random User 52,Unranked,Defeat,2020-04-30,19,2,4,1,0.75,162
Random User 52,Unranked,Victory,2020-04-30,18,4,2,4,4.0,153
Random User 52,Unranked,Victory,2020-04-30,15,9,0,4,13.0,129
Random User 52,Unranked,Victory,2020-04-30,20,2,3,4,2.0,100
Random User 52,Unranked,Victory,2020-04-30,11,4,0,1,5.0,71
Random User 52,Unranked,Defeat,2020-04-30,21,0,4,3,0.75,136
Random User 52,Unranked,Defeat,2020-04-30,28,2,7,3,0.71,180
Random User 52,Unranked,Defeat,2020-04-30,22,3,5,2,1.0,146
Random User 52,Unranked,Victory,2020-04-30,27,14,1,6,20.0,255
Random User 52,Unranked,Defeat,2020-04-30,29,7,8,4,1.38,261
Random User 52,Unranked,Defeat,2020-04-29,19,3,5,1,0.8,122
