Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Ratoncito 777,GrandMaster,Victory,2020-12-08,22,6,5,6,2.4,130
Ratoncito 777,GrandMaster,Victory,2020-11-10,29,1,4,13,3.5,118
Ratoncito 777,GrandMaster,Victory,2020-11-09,37,0,11,14,1.27,48
Ratoncito 777,GrandMaster,Victory,2020-11-09,32,5,7,20,3.57,34
Ratoncito 777,GrandMaster,Defeat,2020-11-09,14,0,1,0,0.0,8
Ratoncito 777,GrandMaster,Defeat,2020-11-08,20,0,7,8,1.14,26
Ratoncito 777,GrandMaster,Defeat,2020-11-08,29,8,8,11,2.38,53
Ratoncito 777,GrandMaster,Victory,2020-11-08,36,8,7,15,3.29,63
Ratoncito 777,GrandMaster,Victory,2020-11-08,30,6,7,11,2.43,49
Ratoncito 777,GrandMaster,Defeat,2020-11-07,23,3,6,4,1.17,24
Ratoncito 777,GrandMaster,Victory,2020-11-07,24,7,9,15,2.44,34
Ratoncito 777,GrandMaster,Defeat,2020-11-07,23,2,10,6,0.8,14
Ratoncito 777,GrandMaster,Victory,2020-11-07,29,3,5,18,4.2,34
Ratoncito 777,GrandMaster,Victory,2020-11-07,31,5,5,18,4.6,35
Ratoncito 777,GrandMaster,Defeat,2020-11-06,21,1,4,2,0.75,149
Ratoncito 777,GrandMaster,Defeat,2020-11-06,30,4,10,5,0.9,35
Ratoncito 777,GrandMaster,Defeat,2020-11-06,23,6,7,7,1.86,48
Ratoncito 777,GrandMaster,Victory,2020-11-04,21,5,5,12,3.4,21
Ratoncito 777,GrandMaster,Victory,2020-11-04,32,3,7,16,2.71,34
Ratoncito 777,GrandMaster,Defeat,2020-11-04,25,6,7,8,2.0,39
Ratoncito 777,GrandMaster,Victory,2020-11-01,30,13,6,19,5.33,50
Ratoncito 777,GrandMaster,Victory,2020-10-31,30,1,5,17,3.6,23
Ratoncito 777,GrandMaster,Victory,2020-10-29,21,1,4,15,4.0,22
Ratoncito 777,GrandMaster,Defeat,2020-10-29,28,0,5,6,1.2,34
Ratoncito 777,GrandMaster,Defeat,2020-10-29,33,2,6,12,2.33,32
Ratoncito 777,GrandMaster,Defeat,2020-10-29,29,3,9,9,1.33,32
Ratoncito 777,GrandMaster,Defeat,2020-10-29,15,1,4,4,1.25,20
Ratoncito 777,GrandMaster,Victory,2020-10-28,23,1,6,16,2.83,13
Ratoncito 777,GrandMaster,Defeat,2020-10-28,23,2,8,3,0.62,28
Ratoncito 777,GrandMaster,Victory,2020-10-27,40,2,11,21,2.09,58
Ratoncito 777,GrandMaster,Victory,2020-10-26,21,2,3,20,7.33,22
Ratoncito 777,GrandMaster,Defeat,2020-10-24,16,0,4,3,0.75,6
Ratoncito 777,GrandMaster,Victory,2020-10-23,16,4,3,11,5.0,6
Ratoncito 777,GrandMaster,Victory,2020-10-20,28,0,7,6,0.86,15
Ratoncito 777,GrandMaster,Defeat,2020-10-20,21,0,10,3,0.3,11
Ratoncito 777,GrandMaster,Victory,2020-10-20,27,2,5,14,3.2,31
Ratoncito 777,GrandMaster,Victory,2020-10-20,16,0,0,14,14.0,2
Ratoncito 777,GrandMaster,Victory,2020-10-19,33,2,3,6,2.67,236
Ratoncito 777,GrandMaster,Defeat,2020-10-19,28,1,5,20,4.2,23
Ratoncito 777,GrandMaster,Victory,2020-10-17,30,1,4,15,4.0,145
Ratoncito 777,GrandMaster,Defeat,2020-10-16,12,0,7,0,0.0,47
Ratoncito 777,GrandMaster,Defeat,2020-10-15,32,1,7,9,1.43,142
Ratoncito 777,GrandMaster,Victory,2020-10-14,20,5,2,10,7.5,124
Ratoncito 777,GrandMaster,Defeat,2020-10-13,26,0,5,4,0.8,153
Ratoncito 777,GrandMaster,Victory,2020-10-05,33,1,7,12,1.86,29
Ratoncito 777,GrandMaster,Defeat,2020-10-05,16,0,4,3,0.75,5
Ratoncito 777,GrandMaster,Victory,2020-10-04,29,2,7,14,2.29,45
Ratoncito 777,GrandMaster,Defeat,2020-10-04,33,0,6,12,2.0,28
Ratoncito 777,GrandMaster,Victory,2020-10-04,23,6,0,14,20.0,25
Ratoncito 777,GrandMaster,Defeat,2020-09-29,27,1,10,3,0.4,104
Ratoncito 777,GrandMaster,Victory,2020-09-29,35,7,5,17,4.8,44
Ratoncito 777,GrandMaster,Defeat,2020-09-29,19,2,3,4,2.0,19
Ratoncito 777,GrandMaster,Victory,2020-09-29,19,1,2,7,4.0,12
Ratoncito 777,GrandMaster,Defeat,2020-09-29,30,1,8,8,1.12,27
Ratoncito 777,GrandMaster,Defeat,2020-09-29,30,1,11,15,1.45,31
Ratoncito 777,GrandMaster,Defeat,2020-09-29,22,1,7,2,0.43,123
Ratoncito 777,GrandMaster,Defeat,2020-09-29,29,0,8,10,1.25,22
Ratoncito 777,GrandMaster,Victory,2020-09-27,24,1,3,12,4.33,26
Ratoncito 777,GrandMaster,Victory,2020-09-27,38,6,12,22,2.33,79
Ratoncito 777,GrandMaster,Defeat,2020-09-27,40,0,12,12,1.0,52
