Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
RazerZero,Platinum I,Defeat,2020-12-08,23,2,8,7,1.12,23
RazerZero,Platinum I,Victory,2020-12-08,27,2,8,13,1.88,39
RazerZero,Platinum I,Victory,2020-11-28,35,18,6,5,3.83,222
RazerZero,Platinum I,Defeat,2020-11-28,24,4,11,2,0.55,91
RazerZero,Platinum I,Victory,2020-11-28,16,6,2,2,4.0,108
RazerZero,Platinum I,Defeat,2020-11-28,27,9,12,8,1.42,115
RazerZero,Platinum I,Victory,2020-11-28,26,14,7,11,3.57,130
RazerZero,Platinum I,Defeat,2020-11-26,33,20,5,9,5.8,193
RazerZero,Platinum I,Defeat,2020-11-07,17,1,3,0,0.33,69
RazerZero,Platinum I,Defeat,2020-11-06,33,8,5,13,4.2,183
RazerZero,Platinum I,Defeat,2020-11-06,34,8,10,10,1.8,169
RazerZero,Platinum I,Victory,2020-11-04,34,5,6,14,3.17,138
RazerZero,Platinum I,Defeat,2020-11-04,28,2,7,9,1.57,119
RazerZero,Platinum I,Defeat,2020-11-04,38,7,8,14,2.62,145
RazerZero,Platinum I,Victory,2020-11-02,37,8,10,16,2.4,161
RazerZero,Platinum I,Victory,2020-11-02,29,17,5,11,5.6,153
RazerZero,Platinum I,Victory,2020-11-02,25,5,1,13,18.0,138
RazerZero,Platinum I,Victory,2020-11-02,30,6,3,12,6.0,141
RazerZero,Platinum I,Defeat,2020-10-31,15,4,1,1,5.0,77
RazerZero,Platinum I,Victory,2020-10-31,30,8,8,5,1.62,127
RazerZero,Platinum I,Defeat,2020-10-31,28,1,7,13,2.0,148
RazerZero,Platinum I,Defeat,2020-10-31,20,1,6,3,0.67,108
RazerZero,Platinum I,Defeat,2020-10-31,31,5,6,9,2.33,154
RazerZero,Platinum I,Victory,2020-10-27,22,3,2,9,6.0,126
RazerZero,Platinum I,Defeat,2020-10-26,31,0,8,4,0.5,176
RazerZero,Platinum I,Victory,2020-10-26,28,3,5,15,3.6,123
RazerZero,Platinum I,Defeat,2020-10-26,25,3,8,4,0.88,138
RazerZero,Platinum I,Victory,2020-10-25,30,7,2,12,9.5,168
RazerZero,Platinum I,Victory,2020-10-24,27,4,1,5,9.0,189
RazerZero,Platinum I,Victory,2020-10-24,35,7,4,21,7.0,138
RazerZero,Platinum I,Defeat,2020-10-24,32,12,4,14,6.5,184
RazerZero,Platinum I,Victory,2020-10-24,38,2,10,23,2.5,37
RazerZero,Platinum I,Defeat,2020-10-24,22,3,3,3,2.0,133
RazerZero,Platinum I,Defeat,2020-10-23,37,14,4,2,4.0,227
