Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Rekkles Support,Silver I,Victory,2020-12-10,32,14,3,10,8.0,175
Rekkles Support,Silver I,Victory,2020-12-10,29,13,5,18,6.2,125
Rekkles Support,Silver I,Defeat,2020-11-24,31,5,10,6,1.1,60
Rekkles Support,Silver I,Defeat,2020-11-24,39,3,5,10,2.6,61
Rekkles Support,Silver I,Defeat,2020-11-10,36,3,5,15,3.6,101
Rekkles Support,Silver I,Defeat,2020-11-09,33,1,5,13,2.8,8
Rekkles Support,Silver I,Defeat,2020-11-08,34,3,9,5,0.89,60
Rekkles Support,Silver I,Victory,2020-11-08,31,8,7,12,2.86,39
Rekkles Support,Silver I,Victory,2020-11-08,23,9,3,9,6.0,31
Rekkles Support,Silver I,Victory,2020-11-08,31,6,7,14,2.86,57
Rekkles Support,Silver I,Defeat,2020-11-01,31,1,5,9,2.0,9
Rekkles Support,Silver I,Defeat,2020-11-01,24,0,5,4,0.8,28
Rekkles Support,Silver I,Defeat,2020-10-29,15,0,4,1,0.25,9
Rekkles Support,Silver I,Defeat,2020-10-29,35,3,12,22,2.08,88
Rekkles Support,Silver I,Victory,2020-10-29,26,9,2,12,10.5,16
Rekkles Support,Silver I,Defeat,2020-10-29,21,5,2,3,4.0,24
Rekkles Support,Silver I,Victory,2020-10-28,24,5,1,19,24.0,7
Rekkles Support,Silver I,Defeat,2020-10-28,15,0,2,1,0.5,15
Rekkles Support,Silver I,Victory,2020-10-28,34,12,6,13,4.17,47
Rekkles Support,Silver I,Defeat,2020-10-24,27,2,7,2,0.57,45
Rekkles Support,Silver I,Defeat,2020-10-24,16,1,6,4,0.83,24
Rekkles Support,Silver I,Defeat,2020-10-24,16,1,8,3,0.5,19
Rekkles Support,Silver I,Defeat,2020-10-24,30,1,5,6,1.4,35
Rekkles Support,Silver I,Victory,2020-10-23,26,6,2,12,9.0,28
Rekkles Support,Silver I,Victory,2020-10-23,27,3,4,8,2.75,50
Rekkles Support,Silver I,Victory,2020-10-23,34,7,10,10,1.7,42
Rekkles Support,Silver I,Victory,2020-10-23,31,4,3,11,5.0,23
Rekkles Support,Silver I,Victory,2020-10-21,27,2,4,8,2.5,36
Rekkles Support,Silver I,Victory,2020-10-21,20,15,2,9,12.0,29
Rekkles Support,Silver I,Defeat,2020-10-21,32,3,6,6,1.5,34
Rekkles Support,Silver I,Defeat,2020-10-21,27,5,3,10,5.0,46
Rekkles Support,Silver I,Defeat,2020-10-21,24,7,9,8,1.67,42
Rekkles Support,Silver I,Victory,2020-10-21,27,8,4,12,5.0,17
Rekkles Support,Silver I,Victory,2020-10-21,26,5,2,4,4.5,148
Rekkles Support,Silver I,Victory,2020-10-21,35,10,3,17,9.0,67
Rekkles Support,Silver I,Defeat,2020-10-02,30,4,4,13,4.25,15
Rekkles Support,Silver I,Defeat,2020-10-01,25,2,11,5,0.64,29
Rekkles Support,Silver I,Victory,2020-10-01,34,8,4,11,4.75,50
Rekkles Support,Silver I,Victory,2020-10-01,21,7,0,6,13.0,16
Rekkles Support,Silver I,Victory,2020-09-23,29,0,5,14,2.8,6
Rekkles Support,Silver I,Victory,2020-09-23,24,1,4,12,3.25,6
Rekkles Support,Silver I,Victory,2020-09-22,27,0,5,7,1.4,2
Rekkles Support,Silver I,Victory,2020-09-20,40,6,3,23,9.67,22
Rekkles Support,Silver I,Defeat,2020-09-11,28,2,7,5,1.0,33
Rekkles Support,Silver I,Defeat,2020-09-11,25,1,9,3,0.44,31
Rekkles Support,Silver I,Defeat,2020-09-10,35,11,4,11,5.5,59
Rekkles Support,Silver I,Defeat,2020-09-10,36,1,12,18,1.58,65
Rekkles Support,Silver I,Defeat,2020-09-10,27,6,4,4,2.5,98
Rekkles Support,Silver I,Defeat,2020-09-10,28,2,8,4,0.75,99
Rekkles Support,Silver I,Victory,2020-09-10,25,5,2,4,4.5,182
Rekkles Support,Silver I,Victory,2020-09-10,24,6,5,8,2.8,144
Rekkles Support,Silver I,Victory,2020-09-10,23,2,4,6,2.0,144
Rekkles Support,Silver I,Defeat,2020-09-10,31,2,6,19,3.5,4
