Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Reíya Edvil,GrandMaster,Victory,2020-12-12,23,5,2,2,3.5,172
Reíya Edvil,GrandMaster,Victory,2020-12-12,29,15,1,10,25.0,237
Reíya Edvil,GrandMaster,Victory,2020-12-12,28,6,4,4,2.5,228
Reíya Edvil,GrandMaster,Victory,2020-12-12,25,10,5,12,4.4,203
Reíya Edvil,GrandMaster,Defeat,2020-12-12,19,1,5,2,0.6,104
Reíya Edvil,GrandMaster,Victory,2020-12-12,26,6,3,10,5.33,169
Reíya Edvil,GrandMaster,Defeat,2020-12-03,31,5,7,4,1.29,165
Reíya Edvil,GrandMaster,Victory,2020-12-02,23,10,3,8,6.0,140
Reíya Edvil,GrandMaster,Defeat,2020-12-02,30,7,5,11,3.6,172
Reíya Edvil,GrandMaster,Defeat,2020-11-27,23,4,7,3,1.0,112
Reíya Edvil,GrandMaster,Victory,2020-11-27,29,5,3,8,4.33,235
Reíya Edvil,GrandMaster,Victory,2020-11-24,29,10,4,10,5.0,226
Reíya Edvil,GrandMaster,Victory,2020-11-24,28,10,5,8,3.6,201
Reíya Edvil,GrandMaster,Defeat,2020-11-24,19,0,3,3,1.0,68
Reíya Edvil,GrandMaster,Defeat,2020-11-24,28,3,13,9,0.92,177
Reíya Edvil,GrandMaster,Victory,2020-11-24,39,7,9,15,2.44,317
Reíya Edvil,GrandMaster,Defeat,2020-11-24,30,15,5,5,4.0,166
Reíya Edvil,GrandMaster,Victory,2020-11-24,25,10,4,8,4.5,164
Reíya Edvil,GrandMaster,Defeat,2020-11-24,32,11,7,3,2.0,225
Reíya Edvil,GrandMaster,Victory,2020-11-22,22,3,2,6,4.5,193
Reíya Edvil,GrandMaster,Victory,2020-11-13,21,4,1,12,16.0,167
Reíya Edvil,GrandMaster,Victory,2020-11-13,19,6,0,4,10.0,138
Reíya Edvil,GrandMaster,Victory,2020-11-13,29,14,4,8,5.5,214
Reíya Edvil,GrandMaster,Victory,2020-11-09,19,5,2,10,7.5,144
Reíya Edvil,GrandMaster,Victory,2020-11-09,22,4,4,9,3.25,192
Reíya Edvil,GrandMaster,Victory,2020-11-08,31,0,6,8,1.33,218
Reíya Edvil,GrandMaster,Defeat,2020-11-08,15,3,8,1,0.5,97
Reíya Edvil,GrandMaster,Victory,2020-11-08,26,3,6,9,2.0,157
Reíya Edvil,GrandMaster,Victory,2020-11-08,29,6,3,10,5.33,210
Reíya Edvil,GrandMaster,Defeat,2020-11-08,21,0,9,1,0.11,16
Reíya Edvil,GrandMaster,Victory,2020-11-08,23,3,5,6,1.8,150
Reíya Edvil,GrandMaster,Defeat,2020-11-08,26,5,5,6,2.2,222
Reíya Edvil,GrandMaster,Victory,2020-11-08,20,4,4,2,1.5,164
Reíya Edvil,GrandMaster,Victory,2020-11-08,22,3,2,6,4.5,133
Reíya Edvil,GrandMaster,Defeat,2020-11-08,27,4,8,6,1.25,124
Reíya Edvil,GrandMaster,Defeat,2020-11-08,18,1,7,2,0.43,110
Reíya Edvil,GrandMaster,Defeat,2020-11-07,21,8,8,4,1.5,147
Reíya Edvil,GrandMaster,Defeat,2020-11-07,27,8,3,3,3.67,172
Reíya Edvil,GrandMaster,Defeat,2020-11-07,24,1,13,10,0.85,47
