Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Rheagars,Iron I,Defeat,2020-05-16,41,5,13,13,1.38,58
Rheagars,Iron I,Victory,2020-05-15,21,11,1,3,14.0,142
Rheagars,Iron I,Victory,2020-05-15,35,15,4,11,6.5,192
Rheagars,Iron I,Victory,2020-05-15,21,5,1,1,6.0,109
Rheagars,Iron I,Victory,2020-05-15,45,9,13,9,1.38,191
Rheagars,Iron I,Victory,2020-05-15,29,10,4,9,4.75,128
Rheagars,Iron I,Defeat,2020-05-15,30,6,9,2,0.89,130
Rheagars,Iron I,Defeat,2020-05-15,36,3,10,10,1.3,43
Rheagars,Iron I,Victory,2020-05-15,34,4,5,9,2.6,130
Rheagars,Iron I,Defeat,2020-01-22,22,1,10,4,0.5,40
Rheagars,Iron I,Victory,2020-01-22,42,1,9,7,0.89,132
Rheagars,Iron I,Defeat,2020-01-22,48,9,9,8,1.89,230
Rheagars,Iron I,Victory,2020-01-22,25,11,9,6,1.89,130
Rheagars,Iron I,Defeat,2020-01-22,26,5,8,0,0.62,95
Rheagars,Iron I,Victory,2020-01-22,35,7,10,4,1.1,149
Rheagars,Iron I,Victory,2020-01-22,33,9,6,8,2.83,156
Rheagars,Iron I,Defeat,2020-01-22,21,1,8,2,0.38,77
Rheagars,Iron I,Victory,2020-01-22,29,7,2,4,5.5,166
Rheagars,Iron I,Defeat,2020-01-21,25,6,7,5,1.57,37
Rheagars,Iron I,Victory,2020-01-21,37,8,8,4,1.5,188
Rheagars,Iron I,Victory,2020-01-17,29,0,5,0,0.0,106
Rheagars,Iron I,Defeat,2020-01-17,23,1,5,0,0.2,115
Rheagars,Iron I,Defeat,2020-01-16,42,17,15,4,1.4,212
Rheagars,Iron I,Defeat,2019-12-31,29,2,10,3,0.5,43
Rheagars,Iron I,Defeat,2019-12-31,33,3,13,4,0.54,71
Rheagars,Iron I,Defeat,2019-12-31,33,4,8,13,2.12,84
Rheagars,Iron I,Defeat,2019-12-28,24,2,7,5,1.0,46
Rheagars,Iron I,Defeat,2019-12-28,24,1,6,0,0.17,74
Rheagars,Iron I,Defeat,2019-12-27,23,0,7,3,0.43,69
Rheagars,Iron I,Defeat,2019-12-27,24,0,4,4,1.0,35
Rheagars,Iron I,Victory,2019-12-27,32,4,5,10,2.8,93
Rheagars,Iron I,Defeat,2019-12-27,26,4,8,6,1.25,54
Rheagars,Iron I,Defeat,2019-12-27,38,6,7,13,2.71,53
Rheagars,Iron I,Victory,2019-12-26,26,1,10,6,0.7,97
Rheagars,Iron I,Victory,2019-12-26,27,1,5,5,1.2,76
Rheagars,Iron I,Victory,2019-12-26,37,2,7,9,1.57,151
Rheagars,Iron I,Victory,2019-12-26,36,4,9,8,1.33,115
Rheagars,Iron I,Defeat,2019-12-17,37,2,6,7,1.5,74
Rheagars,Iron I,Defeat,2019-12-17,31,3,10,6,0.9,35
Rheagars,Iron I,Victory,2019-12-17,18,2,2,3,2.5,14
Rheagars,Iron I,Defeat,2019-12-16,21,3,7,6,1.29,24
Rheagars,Iron I,Defeat,2019-12-16,26,2,8,6,1.0,24
Rheagars,Iron I,Defeat,2019-12-12,46,6,17,14,1.18,190
Rheagars,Iron I,Defeat,2019-12-07,27,10,7,6,2.29,47
Rheagars,Iron I,Defeat,2019-12-06,21,0,5,2,0.4,79
Rheagars,Iron I,Victory,2019-12-06,39,4,5,17,4.2,91
Rheagars,Iron I,Victory,2019-12-02,40,6,4,12,4.5,159
Rheagars,Iron I,Defeat,2019-12-02,29,4,6,5,1.5,130
Rheagars,Iron I,Victory,2019-12-02,38,3,13,9,0.92,96
Rheagars,Iron I,Defeat,2019-12-02,21,3,6,2,0.83,85
Rheagars,Iron I,Defeat,2019-11-29,34,4,10,7,1.1,86
Rheagars,Iron I,Defeat,2019-11-26,32,4,7,3,1.0,36
Rheagars,Iron I,Defeat,2019-11-26,16,1,5,0,0.2,43
Rheagars,Iron I,Defeat,2019-11-26,28,2,7,1,0.43,112
Rheagars,Iron I,Victory,2019-11-25,32,7,8,17,3.0,115
Rheagars,Iron I,Victory,2019-11-25,31,3,2,10,6.5,32
Rheagars,Iron I,Victory,2019-11-25,26,2,3,5,2.33,152
Rheagars,Iron I,Defeat,2019-11-25,16,0,4,0,0.0,32
Rheagars,Iron I,Victory,2019-11-25,35,14,5,8,4.4,210
Rheagars,Iron I,Defeat,2019-11-22,29,8,9,5,1.44,144
Rheagars,Iron I,Victory,2019-11-22,34,7,9,6,1.44,214
Rheagars,Iron I,Defeat,2019-11-22,25,1,4,3,1.0,18
Rheagars,Iron I,Defeat,2019-11-22,23,1,8,2,0.38,115
Rheagars,Iron I,Victory,2019-11-22,33,8,4,16,6.0,98
Rheagars,Iron I,Defeat,2019-11-22,33,2,7,2,0.57,149
Rheagars,Iron I,Defeat,2019-11-22,32,6,8,1,0.88,141
Rheagars,Iron I,Defeat,2019-11-20,25,0,6,1,0.17,38
Rheagars,Iron I,Defeat,2019-11-20,34,9,9,1,1.11,203
Rheagars,Iron I,Defeat,2019-11-20,45,8,14,4,0.86,177
Rheagars,Iron I,Victory,2019-11-20,29,6,5,3,1.8,157
Rheagars,Iron I,Defeat,2019-11-20,25,3,3,5,2.67,127
Rheagars,Iron I,Defeat,2019-11-19,31,0,3,3,1.0,17
Rheagars,Iron I,Defeat,2019-11-19,36,1,9,10,1.22,61
Rheagars,Iron I,Defeat,2019-11-19,25,0,9,5,0.56,32
Rheagars,Iron I,Defeat,2019-11-19,37,4,11,10,1.27,123
