Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Robertelproxd,Iron I,Defeat,2020-12-02,29,5,8,3,1.0,105
Robertelproxd,Iron I,Victory,2020-12-02,49,12,6,11,3.83,200
Robertelproxd,Iron I,Defeat,2020-11-21,15,0,4,1,0.25,51
Robertelproxd,Iron I,Defeat,2020-11-21,36,4,10,10,1.4,123
Robertelproxd,Iron I,Victory,2020-11-21,30,8,5,7,3.0,129
Robertelproxd,Iron I,Defeat,2020-11-19,24,3,8,4,0.88,60
Robertelproxd,Iron I,Victory,2020-08-11,36,0,8,14,1.75,30
Robertelproxd,Iron I,Defeat,2020-08-11,26,3,4,2,1.25,65
Robertelproxd,Iron I,Defeat,2020-08-11,33,0,6,2,0.33,121
Robertelproxd,Iron I,Victory,2020-08-07,32,1,5,6,1.4,27
Robertelproxd,Iron I,Defeat,2020-08-07,38,0,10,8,0.8,143
Robertelproxd,Iron I,Defeat,2020-08-03,24,0,5,0,0.0,98
Robertelproxd,Iron I,Victory,2020-08-03,26,0,3,11,3.67,27
Robertelproxd,Iron I,Victory,2020-08-03,34,6,2,6,6.0,144
Robertelproxd,Iron I,Defeat,2020-07-26,32,1,9,3,0.44,96
Robertelproxd,Iron I,Victory,2020-07-26,27,5,1,4,9.0,114
Robertelproxd,Iron I,Victory,2020-07-03,34,1,10,18,1.9,29
Robertelproxd,Iron I,Victory,2020-07-03,34,3,7,4,1.0,132
Robertelproxd,Iron I,Defeat,2019-02-12,26,2,7,1,0.43,35
Robertelproxd,Iron I,Victory,2019-02-12,36,2,5,13,3.0,50
Robertelproxd,Iron I,Defeat,2019-02-12,38,7,7,11,2.57,101
Robertelproxd,Iron I,Victory,2019-02-11,33,1,6,9,1.67,105
Robertelproxd,Iron I,Victory,2019-02-11,45,6,8,11,2.12,137
Robertelproxd,Iron I,Defeat,2019-02-11,26,2,8,6,1.0,13
