Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Rogers Sama,GrandMaster,Victory,2020-12-12,21,10,6,7,2.83,122
Rogers Sama,GrandMaster,Victory,2020-12-04,25,10,4,8,4.5,176
Rogers Sama,GrandMaster,Victory,2020-12-04,21,2,0,4,6.0,156
Rogers Sama,GrandMaster,Victory,2020-12-04,28,12,7,7,2.71,205
Rogers Sama,GrandMaster,Defeat,2020-11-30,20,2,6,1,0.5,104
Rogers Sama,GrandMaster,Defeat,2020-11-30,35,14,6,2,2.67,289
Rogers Sama,GrandMaster,Victory,2020-11-30,37,5,3,11,5.33,259
Rogers Sama,GrandMaster,Victory,2020-11-30,24,7,3,8,5.0,141
Rogers Sama,GrandMaster,Victory,2020-11-30,27,12,3,7,6.33,219
Rogers Sama,GrandMaster,Victory,2020-11-29,21,5,4,9,3.5,191
Rogers Sama,GrandMaster,Victory,2020-11-27,25,8,3,6,4.67,200
Rogers Sama,GrandMaster,Defeat,2020-11-24,32,4,11,8,1.09,163
Rogers Sama,GrandMaster,Victory,2020-11-24,21,6,1,9,15.0,165
Rogers Sama,GrandMaster,Defeat,2020-11-24,31,2,6,6,1.33,190
Rogers Sama,GrandMaster,Victory,2020-11-24,30,3,5,6,1.8,132
Rogers Sama,GrandMaster,Defeat,2020-11-23,27,4,9,3,0.78,154
Rogers Sama,GrandMaster,Defeat,2020-11-23,31,7,6,6,2.17,191
Rogers Sama,GrandMaster,Defeat,2020-11-23,32,4,9,11,1.67,180
Rogers Sama,GrandMaster,Victory,2020-11-23,29,6,8,7,1.62,150
Rogers Sama,GrandMaster,Victory,2020-11-23,25,12,2,9,10.5,213
Rogers Sama,GrandMaster,Victory,2020-11-23,18,4,3,5,3.0,135
Rogers Sama,GrandMaster,Victory,2020-11-23,22,12,7,5,2.43,121
Rogers Sama,GrandMaster,Defeat,2020-11-23,26,7,5,9,3.2,29
Rogers Sama,GrandMaster,Defeat,2020-11-22,29,5,7,8,1.86,107
Rogers Sama,GrandMaster,Defeat,2020-11-22,26,4,9,5,1.0,161
Rogers Sama,GrandMaster,Defeat,2020-11-22,26,12,9,3,1.67,158
Rogers Sama,GrandMaster,Victory,2020-11-22,28,1,5,11,2.4,163
Rogers Sama,GrandMaster,Defeat,2020-11-22,32,9,7,9,2.57,212
Rogers Sama,GrandMaster,Defeat,2020-11-22,22,2,5,7,1.8,125
Rogers Sama,GrandMaster,Victory,2020-11-22,15,1,1,3,4.0,128
Rogers Sama,GrandMaster,Victory,2020-11-22,35,7,7,14,3.0,239
Rogers Sama,GrandMaster,Defeat,2020-11-21,23,3,6,3,1.0,109
Rogers Sama,GrandMaster,Defeat,2020-11-21,32,12,6,8,3.33,230
Rogers Sama,GrandMaster,Victory,2020-11-21,23,1,3,16,5.67,97
Rogers Sama,GrandMaster,Victory,2020-11-21,28,7,3,11,6.0,161
Rogers Sama,GrandMaster,Victory,2020-11-21,27,10,4,6,4.0,191
Rogers Sama,GrandMaster,Victory,2020-11-21,31,10,2,5,7.5,246
Rogers Sama,GrandMaster,Victory,2020-11-19,24,2,3,15,5.67,96
