Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
Rudon,Defeat,2020-09-03,35,2,9,10,1.33,164
Rudon,Defeat,2020-09-01,30,7,7,11,2.57,159
Rudon,Defeat,2020-08-06,27,5,9,1,0.67,170
Rudon,Defeat,2020-08-06,31,6,9,9,1.67,151
Rudon,Defeat,2020-07-29,34,7,9,11,2.0,156
Rudon,Victory,2020-07-29,22,8,3,10,6.0,128
Rudon,Defeat,2020-07-29,25,1,10,6,0.7,149
Rudon,Victory,2020-05-02,36,8,8,13,2.62,244
Rudon,Defeat,2020-05-01,29,0,8,0,0.0,164
Rudon,Victory,2020-04-25,20,7,1,2,9.0,157
Rudon,Victory,2020-04-25,29,12,3,7,6.33,223
Rudon,Defeat,2020-04-22,16,3,6,3,1.0,99
Rudon,Defeat,2020-04-22,19,3,4,6,2.25,140
Rudon,Defeat,2020-04-22,18,6,6,2,1.33,124
Rudon,Victory,2020-04-19,30,5,6,7,2.0,215
Rudon,Defeat,2020-04-19,22,2,7,3,0.71,55
Rudon,Defeat,2020-04-18,14,0,7,1,0.14,9
Rudon,Victory,2020-04-18,34,1,7,24,3.57,40
Rudon,Defeat,2020-04-01,32,4,8,6,1.25,222
Rudon,Victory,2020-03-18,36,15,6,18,5.5,172
Rudon,Defeat,2020-03-17,15,0,9,0,0.0,53
Rudon,Defeat,2020-03-15,32,0,12,7,0.58,40
Rudon,Victory,2020-02-13,28,3,7,10,1.86,164
Rudon,Victory,2020-02-11,27,2,4,9,2.75,154
Rudon,Defeat,2020-01-14,25,2,9,4,0.67,34
Rudon,Defeat,2020-01-14,20,4,8,1,0.62,31
Rudon,Victory,2020-01-12,38,9,4,12,5.25,38
Rudon,Defeat,2020-01-11,35,2,6,11,2.17,200
Rudon,Defeat,2020-01-11,34,3,13,6,0.69,164
Rudon,Victory,2020-01-11,28,10,4,3,3.25,182
Rudon,Victory,2020-01-11,22,0,3,7,2.33,129
Rudon,Victory,2020-01-11,37,1,4,23,6.0,172
Rudon,Defeat,2020-01-10,37,11,13,15,2.0,178
Rudon,Defeat,2020-01-09,33,1,10,8,0.9,43
Rudon,Defeat,2020-01-09,15,1,5,2,0.6,18
Rudon,Victory,2020-01-09,37,5,8,15,2.5,36
Rudon,Defeat,2020-01-07,20,2,8,4,0.75,24
Rudon,Defeat,2020-01-04,29,4,12,1,0.42,110
Rudon,Defeat,2020-01-04,23,5,9,5,1.11,112
Rudon,Defeat,2019-12-07,24,3,2,4,3.5,148
Rudon,Defeat,2019-12-07,30,12,13,11,1.77,127
Rudon,Defeat,2019-12-07,28,10,10,13,2.3,88
Rudon,Victory,2019-12-03,23,17,2,6,11.5,110
Rudon,Defeat,2019-11-23,27,0,5,7,1.4,131
Rudon,Defeat,2019-10-23,15,0,3,0,0.0,70
