,W/L/R,Date,Duration,KDA,CS
0,Victory,6 days ago,21min,5  /  3  /  9,45 CS
1,Victory,14 days ago,25min,6  /  7  /  9,115 CS
2,Victory,14 days ago,32min,4  /  4  /  10,249 CS
3,Defeat,15 days ago,37min,9  /  9  /  9,244 CS
4,Defeat,19 days ago,27min,2  /  10  /  12,108 CS
5,Victory,25 days ago,45min,15  /  6  /  11,295 CS
6,Defeat,34 days ago,35min,6  /  7  /  3,247 CS
7,Defeat,36 days ago,30min,4  /  6  /  7,172 CS
8,Defeat,37 days ago,24min,2  /  7  /  2,160 CS
9,Defeat,38 days ago,23min,0  /  6  /  6,23 CS
10,Victory,40 days ago,30min,6  /  2  /  3,248 CS
11,Defeat,46 days ago,30min,5  /  14  /  5,86 CS
12,Defeat,47 days ago,30min,2  /  7  /  5,204 CS
13,Victory,47 days ago,21min,3  /  2  /  8,137 CS
14,Victory,48 days ago,27min,5  /  7  /  9,134 CS
15,Defeat,48 days ago,29min,4  /  11  /  6,113 CS
16,Defeat,49 days ago,15min,1  /  5  /  3,65 CS
17,Defeat,50 days ago,20min,1  /  6  /  1,145 CS
18,Victory,50 days ago,26min,4  /  5  /  9,109 CS
19,Defeat,71 days ago,25min,4  /  6  /  4,123 CS
20,Defeat,71 days ago,27min,4  /  7  /  3,162 CS
21,Victory,75 days ago,32min,6  /  6  /  10,179 CS
22,Victory,104 days ago,28min,3  /  1  /  8,184 CS
23,Defeat,112 days ago,24min,6  /  7  /  4,170 CS
24,Defeat,112 days ago,20min,1  /  6  /  0,89 CS
25,Victory,113 days ago,35min,5  /  7  /  18,163 CS
26,Defeat,116 days ago,28min,4  /  5  /  5,211 CS
27,Defeat,117 days ago,34min,6  /  9  /  9,162 CS
28,Victory,159 days ago,22min,13  /  5  /  3,162 CS
29,Defeat,165 days ago,28min,8  /  10  /  11,136 CS
30,Victory,166 days ago,34min,2  /  2  /  16,175 CS
31,Victory,179 days ago,31min,4  /  9  /  11,206 CS
32,Defeat,179 days ago,30min,1  /  8  /  3,151 CS
33,Defeat,186 days ago,25min,2  /  6  /  2,151 CS
34,Victory,187 days ago,30min,5  /  3  /  11,230 CS
35,Defeat,189 days ago,37min,4  /  8  /  7,208 CS
36,Victory,189 days ago,32min,10  /  5  /  14,193 CS
37,Defeat,189 days ago,25min,0  /  4  /  2,154 CS
38,Defeat,189 days ago,34min,5  /  6  /  4,215 CS
39,Victory,189 days ago,21min,7  /  1  /  6,154 CS
40,Defeat,191 days ago,25min,10  /  9  /  9,157 CS
41,Defeat,192 days ago,31min,3  /  8  /  21,35 CS
42,Defeat,192 days ago,24min,4  /  7  /  2,119 CS
43,Victory,192 days ago,26min,5  /  5  /  10,181 CS
44,Defeat,193 days ago,24min,2  /  6  /  4,109 CS
45,Victory,194 days ago,24min,20  /  2  /  7,185 CS
46,Victory,194 days ago,29min,4  /  2  /  7,190 CS
47,Defeat,196 days ago,29min,7  /  6  /  1,210 CS
48,Victory,197 days ago,34min,1  /  7  /  12,190 CS
49,Defeat,197 days ago,34min,6  /  3  /  5,253 CS
