Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
Rudon,Victory,3daysago,21min,5,3,9,4.67,45CS
Rudon,Victory,9daysago,25min,6,7,9,2.14,115CS
Rudon,Victory,17daysago,32min,4,4,10,3.5,249CS
Rudon,Defeat,17daysago,37min,9,9,9,2.0,244CS
Rudon,Defeat,18daysago,27min,2,10,12,1.4,108CS
Rudon,Victory,22daysago,45min,15,6,11,4.33,295CS
Rudon,Defeat,28daysago,35min,6,7,3,1.29,247CS
Rudon,Defeat,37daysago,30min,4,6,7,1.83,172CS
Rudon,Defeat,39daysago,24min,2,7,2,0.57,160CS
Rudon,Defeat,40daysago,23min,0,6,6,1.0,23CS
Rudon,Victory,41daysago,30min,6,2,3,4.5,248CS
Rudon,Defeat,43daysago,30min,5,14,5,0.71,86CS
Rudon,Defeat,49daysago,30min,2,7,5,1.0,204CS
Rudon,Victory,50daysago,21min,3,2,8,5.5,137CS
Rudon,Victory,50daysago,27min,5,7,9,2.0,134CS
Rudon,Defeat,51daysago,29min,4,11,6,0.91,113CS
Rudon,Defeat,51daysago,15min,1,5,3,0.8,65CS
Rudon,Defeat,52daysago,20min,1,6,1,0.33,145CS
Rudon,Victory,53daysago,26min,4,5,9,2.6,109CS
Rudon,Defeat,53daysago,25min,4,6,4,1.33,123CS
Rudon,Defeat,74daysago,27min,4,7,3,1.0,162CS
Rudon,Victory,74daysago,32min,6,6,10,2.67,179CS
Rudon,Victory,78daysago,28min,3,1,8,11.0,184CS
Rudon,Defeat,107daysago,24min,6,7,4,1.43,170CS
Rudon,Defeat,115daysago,20min,1,6,0,0.17,89CS
Rudon,Victory,115daysago,35min,5,7,18,3.29,163CS
Rudon,Defeat,116daysago,28min,4,5,5,1.8,211CS
Rudon,Defeat,119daysago,34min,6,9,9,1.67,162CS
Rudon,Victory,120daysago,22min,13,5,3,3.2,162CS
Rudon,Defeat,162daysago,28min,8,10,11,1.9,136CS
Rudon,Victory,168daysago,34min,2,2,16,9.0,175CS
Rudon,Victory,169daysago,31min,4,9,11,1.67,206CS
Rudon,Defeat,182daysago,30min,1,8,3,0.5,151CS
Rudon,Defeat,182daysago,25min,2,6,2,0.67,151CS
Rudon,Victory,190daysago,30min,5,3,11,5.33,230CS
Rudon,Defeat,190daysago,37min,4,8,7,1.38,208CS
Rudon,Victory,192daysago,32min,10,5,14,4.8,193CS
Rudon,Defeat,192daysago,25min,0,4,2,0.5,154CS
Rudon,Defeat,192daysago,34min,5,6,4,1.5,215CS
Rudon,Victory,192daysago,21min,7,1,6,13.0,154CS
Rudon,Defeat,193daysago,25min,10,9,9,2.11,157CS
Rudon,Defeat,194daysago,31min,3,8,21,3.0,35CS
Rudon,Defeat,195daysago,24min,4,7,2,0.86,119CS
Rudon,Victory,195daysago,26min,5,5,10,3.0,181CS
Rudon,Defeat,196daysago,24min,2,6,4,1.0,109CS
Rudon,Victory,196daysago,24min,20,2,7,13.5,185CS
Rudon,Victory,197daysago,29min,4,2,7,5.5,190CS
Rudon,Defeat,197daysago,29min,7,6,1,1.33,210CS
Rudon,Victory,199daysago,34min,1,7,12,1.86,190CS
Rudon,Defeat,200daysago,34min,6,3,5,3.67,253CS
Rudon,Defeat,201daysago,32min,2,8,3,0.62,219CS
Rudon,Victory,201daysago,23min,4,4,5,2.25,156CS
Rudon,Defeat,201daysago,20min,0,4,1,0.25,142CS
Rudon,Victory,201daysago,15min,4,2,9,6.5,101CS
Rudon,Victory,201daysago,37min,6,8,14,2.5,243CS
Rudon,Defeat,202daysago,24min,2,9,7,1.0,134CS
Rudon,Defeat,202daysago,28min,6,6,7,2.17,215CS
Rudon,Victory,202daysago,35min,9,4,4,3.25,239CS
Rudon,Victory,203daysago,25min,6,4,5,2.75,182CS
Rudon,Defeat,203daysago,43min,10,7,6,2.29,335CS
Rudon,Victory,203daysago,28min,6,4,12,4.5,165CS
Rudon,Defeat,203daysago,25min,0,4,3,0.75,24CS
Rudon,Defeat,203daysago,27min,2,9,3,0.56,127CS
Rudon,Victory,204daysago,31min,10,9,15,2.78,141CS
Rudon,Defeat,204daysago,26min,4,7,3,1.0,150CS
Rudon,Defeat,204daysago,32min,12,9,5,1.89,201CS
Rudon,Defeat,206daysago,24min,3,10,6,0.9,113CS
Rudon,Victory,206daysago,19min,8,1,6,14.0,108CS
Rudon,Victory,206daysago,31min,8,4,10,4.5,167CS
Rudon,Defeat,206daysago,23min,7,6,4,1.83,128CS
Rudon,Defeat,206daysago,21min,4,6,7,1.83,133CS
Rudon,Defeat,206daysago,34min,9,6,15,4.0,207CS
Rudon,Victory,206daysago,35min,7,2,9,8.0,182CS
Rudon,Victory,206daysago,28min,8,6,8,2.67,182CS
Rudon,Victory,207daysago,16min,4,2,0,2.0,88CS
Rudon,Victory,207daysago,33min,7,8,17,3.0,173CS
Rudon,Defeat,207daysago,21min,2,4,2,1.0,128CS
Rudon,Victory,207daysago,39min,5,2,11,8.0,229CS
Rudon,Defeat,207daysago,22min,1,7,2,0.43,119CS
Rudon,Defeat,208daysago,24min,1,6,5,1.0,4CS
Rudon,Defeat,208daysago,28min,6,5,4,2.0,201CS
Rudon,Defeat,209daysago,40min,13,8,9,2.75,269CS
Rudon,Defeat,209daysago,26min,10,9,6,1.78,127CS
Rudon,Defeat,211daysago,34min,2,5,10,2.4,26CS
Rudon,Defeat,212daysago,30min,4,4,3,1.75,166CS
Rudon,Defeat,212daysago,28min,0,9,6,0.67,124CS
Rudon,Victory,212daysago,38min,4,6,17,3.5,233CS
Rudon,Defeat,212daysago,28min,6,5,8,2.8,126CS
Rudon,Defeat,213daysago,30min,6,11,6,1.09,143CS
Rudon,Victory,214daysago,31min,6,4,15,5.25,200CS
Rudon,Defeat,214daysago,33min,3,14,7,0.71,125CS
Rudon,Defeat,214daysago,32min,0,8,8,1.0,178CS
Rudon,Victory,214daysago,27min,7,0,5,12.0,170CS
Rudon,Defeat,215daysago,30min,3,5,4,1.4,177CS
