Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
SPX Cesaroxx,GrandMaster,Defeat,2020-11-10,29,0,7,2,0.29,153
SPX Cesaroxx,GrandMaster,Victory,2020-11-09,27,1,1,9,10.0,161
SPX Cesaroxx,GrandMaster,Defeat,2020-11-09,32,9,8,6,1.88,208
SPX Cesaroxx,GrandMaster,Victory,2020-11-08,21,5,2,5,5.0,154
SPX Cesaroxx,GrandMaster,Defeat,2020-11-08,31,7,5,3,2.0,210
SPX Cesaroxx,GrandMaster,Defeat,2020-11-08,23,5,5,1,1.2,92
SPX Cesaroxx,GrandMaster,Defeat,2020-11-06,32,2,5,13,3.0,195
SPX Cesaroxx,GrandMaster,Defeat,2020-11-06,30,4,7,7,1.57,162
SPX Cesaroxx,GrandMaster,Defeat,2020-11-05,22,3,5,3,1.2,134
SPX Cesaroxx,GrandMaster,Defeat,2020-11-04,29,2,6,12,2.33,140
SPX Cesaroxx,GrandMaster,Defeat,2020-11-03,29,11,6,6,2.83,185
SPX Cesaroxx,GrandMaster,Defeat,2020-11-01,20,2,5,1,0.6,124
SPX Cesaroxx,GrandMaster,Defeat,2020-11-01,18,3,3,0,1.0,141
SPX Cesaroxx,GrandMaster,Victory,2020-10-31,20,2,3,7,3.0,101
SPX Cesaroxx,GrandMaster,Victory,2020-10-30,31,2,6,5,1.17,200
SPX Cesaroxx,GrandMaster,Defeat,2020-10-29,34,4,7,9,1.86,208
SPX Cesaroxx,GrandMaster,Victory,2020-10-28,19,2,2,5,3.5,145
SPX Cesaroxx,GrandMaster,Defeat,2020-10-27,33,3,6,12,2.5,206
SPX Cesaroxx,GrandMaster,Defeat,2020-10-26,28,6,6,6,2.0,180
SPX Cesaroxx,GrandMaster,Victory,2020-10-25,21,4,3,0,1.33,157
SPX Cesaroxx,GrandMaster,Victory,2020-10-24,33,8,3,10,6.0,232
SPX Cesaroxx,GrandMaster,Defeat,2020-10-23,23,4,4,7,2.75,152
SPX Cesaroxx,GrandMaster,Defeat,2020-10-22,28,2,6,8,1.67,193
SPX Cesaroxx,GrandMaster,Defeat,2020-10-21,22,4,6,1,0.83,138
SPX Cesaroxx,GrandMaster,Victory,2020-10-20,27,2,5,10,2.4,162
SPX Cesaroxx,GrandMaster,Victory,2020-10-19,29,9,3,7,5.33,198
SPX Cesaroxx,GrandMaster,Victory,2020-10-18,16,0,1,2,2.0,119
SPX Cesaroxx,GrandMaster,Defeat,2020-10-17,27,1,2,5,3.0,186
SPX Cesaroxx,GrandMaster,Victory,2020-10-16,31,7,5,4,2.2,223
SPX Cesaroxx,GrandMaster,Defeat,2020-10-14,28,5,8,1,0.75,186
SPX Cesaroxx,GrandMaster,Defeat,2020-10-14,15,1,2,1,1.0,112
SPX Cesaroxx,GrandMaster,Defeat,2020-10-13,28,6,5,5,2.2,151
SPX Cesaroxx,GrandMaster,Victory,2020-10-12,30,4,4,12,4.0,167
SPX Cesaroxx,GrandMaster,Defeat,2020-10-11,29,7,5,3,2.0,217
SPX Cesaroxx,GrandMaster,Victory,2020-10-10,15,1,1,6,7.0,97
SPX Cesaroxx,GrandMaster,Victory,2020-10-09,23,6,1,4,10.0,172
SPX Cesaroxx,GrandMaster,Defeat,2020-10-08,29,6,8,9,1.88,63
SPX Cesaroxx,GrandMaster,Victory,2020-10-07,41,5,6,8,2.17,322
SPX Cesaroxx,GrandMaster,Victory,2020-10-06,38,4,10,9,1.3,195
SPX Cesaroxx,GrandMaster,Victory,2020-10-05,36,10,3,7,5.67,200
SPX Cesaroxx,GrandMaster,Defeat,2020-10-04,30,4,4,6,2.5,200
SPX Cesaroxx,GrandMaster,Victory,2020-10-03,28,18,1,12,30.0,144
SPX Cesaroxx,GrandMaster,Defeat,2020-10-02,23,7,2,0,3.5,176
SPX Cesaroxx,GrandMaster,Defeat,2020-10-01,27,7,4,7,3.5,177
SPX Cesaroxx,GrandMaster,Victory,2020-09-30,32,9,5,14,4.6,199
SPX Cesaroxx,GrandMaster,Defeat,2020-09-29,20,2,2,2,2.0,158
SPX Cesaroxx,GrandMaster,Victory,2020-09-28,36,3,5,14,3.4,201
SPX Cesaroxx,GrandMaster,Defeat,2020-09-27,18,5,3,0,1.67,150
SPX Cesaroxx,GrandMaster,Victory,2020-09-26,36,10,8,9,2.38,250
SPX Cesaroxx,GrandMaster,Defeat,2020-09-25,24,1,4,5,1.5,176
SPX Cesaroxx,GrandMaster,Victory,2020-09-24,20,7,1,6,13.0,141
SPX Cesaroxx,GrandMaster,Victory,2020-09-23,33,2,4,15,4.25,221
SPX Cesaroxx,GrandMaster,Defeat,2020-09-22,31,1,7,5,0.86,183
SPX Cesaroxx,GrandMaster,Defeat,2020-09-21,28,3,3,1,1.33,205
SPX Cesaroxx,GrandMaster,Defeat,2020-09-20,14,1,5,0,0.2,7
SPX Cesaroxx,GrandMaster,Victory,2020-09-19,26,6,1,11,17.0,176
SPX Cesaroxx,GrandMaster,Victory,2020-09-18,31,4,5,8,2.4,50
SPX Cesaroxx,GrandMaster,Defeat,2020-09-17,23,3,8,1,0.5,174
SPX Cesaroxx,GrandMaster,Defeat,2020-09-16,30,10,6,12,3.67,190
SPX Cesaroxx,GrandMaster,Defeat,2020-09-15,20,1,1,0,1.0,139
SPX Cesaroxx,GrandMaster,Victory,2020-09-14,28,5,0,6,11.0,207
SPX Cesaroxx,GrandMaster,Victory,2020-09-13,35,8,3,10,6.0,244
