Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Saeekz,Gold I,Defeat,2020-12-12,33,3,6,16,3.17,170
Saeekz,Gold I,Victory,2020-12-12,30,5,3,6,3.67,171
Saeekz,Gold I,Victory,2020-12-12,14,1,0,1,2.0,93
Saeekz,Gold I,Victory,2020-12-12,34,8,5,6,2.8,200
Saeekz,Gold I,Victory,2020-12-09,23,5,2,6,5.5,140
Saeekz,Gold I,Victory,2020-12-09,28,4,5,8,2.4,131
Saeekz,Gold I,Victory,2020-12-09,15,2,2,3,2.5,93
Saeekz,Gold I,Victory,2020-12-09,43,11,6,16,4.5,205
Saeekz,Gold I,Defeat,2020-12-08,15,2,4,0,0.5,75
Saeekz,Gold I,Defeat,2020-12-08,29,5,6,6,1.83,124
Saeekz,Gold I,Defeat,2020-12-08,31,6,5,10,3.2,167
Saeekz,Gold I,Defeat,2020-12-08,24,5,5,4,1.8,151
Saeekz,Gold I,Defeat,2020-12-08,31,3,7,3,0.86,140
Saeekz,Gold I,Defeat,2020-12-08,34,8,8,6,1.75,140
Saeekz,Gold I,Victory,2020-12-08,34,8,4,11,4.75,172
Saeekz,Gold I,Victory,2020-12-08,20,6,4,5,2.75,90
Saeekz,Gold I,Defeat,2020-12-08,20,3,7,6,1.29,92
Saeekz,Gold I,Victory,2020-12-07,32,2,6,17,3.17,144
Saeekz,Gold I,Victory,2020-12-07,22,5,5,8,2.6,128
Saeekz,Gold I,Defeat,2020-12-07,28,2,5,3,1.0,129
Saeekz,Gold I,Victory,2020-12-07,36,10,4,14,6.0,133
Saeekz,Gold I,Victory,2020-12-07,22,6,1,1,7.0,110
Saeekz,Gold I,Victory,2020-12-05,40,9,8,13,2.75,173
Saeekz,Gold I,Victory,2020-12-05,23,2,2,1,1.5,122
Saeekz,Gold I,Defeat,2020-12-05,38,6,8,19,3.12,165
Saeekz,Gold I,Victory,2020-12-04,27,7,4,11,4.5,173
Saeekz,Gold I,Defeat,2020-12-04,31,4,10,7,1.1,139
Saeekz,Gold I,Victory,2020-12-04,21,5,5,12,3.4,107
Saeekz,Gold I,Victory,2020-12-04,37,5,9,19,2.67,58
Saeekz,Gold I,Defeat,2020-12-03,34,3,8,5,1.0,145
Saeekz,Gold I,Victory,2020-12-03,18,5,1,4,9.0,110
Saeekz,Gold I,Victory,2020-12-03,24,7,1,4,11.0,141
Saeekz,Gold I,Defeat,2020-12-02,23,4,9,1,0.56,117
Saeekz,Gold I,Defeat,2020-12-02,39,4,13,10,1.08,156
Saeekz,Gold I,Victory,2020-12-02,34,8,6,9,2.83,138
Saeekz,Gold I,Victory,2020-12-01,28,8,5,14,4.4,109
Saeekz,Gold I,Defeat,2020-12-01,25,4,8,1,0.62,141
Saeekz,Gold I,Victory,2020-12-01,36,1,4,8,2.25,173
Saeekz,Gold I,Victory,2020-12-01,28,2,6,10,2.0,47
Saeekz,Gold I,Victory,2020-12-01,28,10,5,8,3.6,107
Saeekz,Gold I,Defeat,2020-12-01,22,1,6,3,0.67,126
Saeekz,Gold I,Defeat,2020-11-30,36,5,7,4,1.29,216
Saeekz,Gold I,Defeat,2020-11-30,33,0,8,8,1.0,37
Saeekz,Gold I,Victory,2020-11-29,27,3,6,11,2.33,197
Saeekz,Gold I,Victory,2020-11-29,32,7,6,6,2.17,146
Saeekz,Gold I,Victory,2020-11-29,27,1,5,14,3.0,146
Saeekz,Gold I,Defeat,2020-11-29,35,4,8,2,0.75,167
Saeekz,Gold I,Defeat,2020-11-29,25,2,7,8,1.43,124
Saeekz,Gold I,Defeat,2020-11-28,29,9,6,5,2.33,118
Saeekz,Gold I,Victory,2020-11-28,25,4,6,8,2.0,90
Saeekz,Gold I,Victory,2020-11-28,22,11,3,5,5.33,153
Saeekz,Gold I,Defeat,2020-11-28,32,8,11,13,1.91,157
Saeekz,Gold I,Defeat,2020-11-27,34,1,6,4,0.83,201
Saeekz,Gold I,Victory,2020-11-27,32,5,2,18,11.5,222
Saeekz,Gold I,Victory,2020-11-27,25,8,4,5,3.25,116
Saeekz,Gold I,Defeat,2020-11-25,26,5,9,10,1.67,134
Saeekz,Gold I,Victory,2020-11-10,35,9,12,14,1.92,207
Saeekz,Gold I,Defeat,2020-11-10,45,11,8,9,2.5,359
Saeekz,Gold I,Victory,2020-11-10,20,0,2,7,3.5,140
Saeekz,Gold I,Victory,2020-11-10,17,4,1,2,6.0,133
Saeekz,Gold I,Victory,2020-11-10,35,3,4,13,4.0,219
Saeekz,Gold I,Victory,2020-11-09,33,6,9,22,3.11,117
Saeekz,Gold I,Defeat,2020-11-09,39,5,7,8,1.86,269
Saeekz,Gold I,Victory,2020-11-05,36,9,7,12,3.0,203
Saeekz,Gold I,Defeat,2020-11-05,38,5,10,21,2.6,250
Saeekz,Gold I,Victory,2020-11-04,35,9,6,20,4.83,229
Saeekz,Gold I,Defeat,2020-11-04,33,1,5,10,2.2,193
Saeekz,Gold I,Victory,2020-11-04,33,4,7,16,2.86,119
Saeekz,Gold I,Victory,2020-11-03,27,1,3,9,3.33,178
Saeekz,Gold I,Defeat,2020-11-03,27,5,8,9,1.75,158
Saeekz,Gold I,Defeat,2020-11-03,34,8,8,15,2.88,229
Saeekz,Gold I,Victory,2020-11-02,20,2,2,10,6.0,137
Saeekz,Gold I,Defeat,2020-11-02,31,1,8,7,1.0,172
Saeekz,Gold I,Defeat,2020-11-02,30,3,6,12,2.5,170
Saeekz,Gold I,Defeat,2020-10-30,19,4,5,4,1.6,108
Saeekz,Gold I,Defeat,2020-10-30,44,13,9,10,2.56,336
Saeekz,Gold I,Defeat,2020-10-07,23,1,7,2,0.43,154
Saeekz,Gold I,Defeat,2020-10-07,16,0,4,1,0.25,109
Saeekz,Gold I,Victory,2020-10-03,40,6,5,13,3.8,252
Saeekz,Gold I,Victory,2020-10-03,27,5,2,6,5.5,191
Saeekz,Gold I,Defeat,2020-10-01,24,1,5,3,0.8,166
Saeekz,Gold I,Victory,2020-09-29,36,20,4,12,8.0,261
Saeekz,Gold I,Victory,2020-09-29,20,3,0,10,13.0,123
Saeekz,Gold I,Victory,2020-09-29,23,5,4,5,2.5,155
Saeekz,Gold I,Defeat,2020-09-28,38,6,9,7,1.44,217
Saeekz,Gold I,Defeat,2020-09-28,31,6,6,11,2.83,208
Saeekz,Gold I,Defeat,2020-09-28,24,1,3,0,0.33,160
Saeekz,Gold I,Defeat,2020-09-28,32,8,10,10,1.8,178
Saeekz,Gold I,Victory,2020-09-27,26,9,3,11,6.67,162
Saeekz,Gold I,Defeat,2020-09-27,33,1,14,9,0.71,41
Saeekz,Gold I,Defeat,2020-09-24,21,4,3,2,2.0,141
Saeekz,Gold I,Victory,2020-09-18,32,12,7,9,3.0,248
Saeekz,Gold I,Defeat,2020-09-18,30,1,6,11,2.0,195
Saeekz,Gold I,Defeat,2020-09-18,29,3,10,3,0.6,176
Saeekz,Gold I,Defeat,2020-09-17,32,6,8,7,1.62,232
Saeekz,Gold I,Victory,2020-09-17,24,3,5,7,2.0,171
Saeekz,Gold I,Victory,2020-09-17,30,12,7,14,3.71,227
Saeekz,Gold I,Victory,2020-09-17,26,18,6,8,4.33,189
Saeekz,Gold I,Victory,2020-09-16,39,11,5,10,4.2,226
Saeekz,Gold I,Victory,2020-09-16,27,3,9,12,1.67,145
Saeekz,Gold I,Victory,2020-09-05,30,8,4,15,5.75,190
