Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Sariel548,Master,Victory,2020-12-12,23,5,2,9,7.0,177
Sariel548,Master,Victory,2020-12-12,31,8,5,6,2.8,196
Sariel548,Master,Victory,2020-12-12,21,1,3,8,3.0,120
Sariel548,Master,Defeat,2020-12-12,23,9,7,2,1.57,97
Sariel548,Master,Victory,2020-12-10,18,5,1,5,10.0,156
Sariel548,Master,Victory,2020-12-10,32,23,7,2,3.57,226
Sariel548,Master,Defeat,2020-12-10,22,4,9,0,0.44,111
Sariel548,Master,Victory,2020-12-10,29,10,8,10,2.5,159
Sariel548,Master,Defeat,2020-12-10,24,4,5,3,1.4,143
Sariel548,Master,Victory,2020-12-10,41,11,11,14,2.27,253
Sariel548,Master,Defeat,2020-12-10,33,2,8,9,1.38,174
Sariel548,Master,Victory,2020-12-10,33,8,10,16,2.4,124
Sariel548,Master,Defeat,2020-12-10,22,4,7,4,1.14,112
Sariel548,Master,Defeat,2020-12-09,36,18,9,6,2.67,261
Sariel548,Master,Defeat,2020-12-09,31,14,10,12,2.6,130
Sariel548,Master,Defeat,2020-12-09,27,7,6,10,2.83,144
Sariel548,Master,Victory,2020-12-09,29,21,4,13,8.5,208
Sariel548,Master,Victory,2020-12-09,19,0,1,3,3.0,135
Sariel548,Master,Victory,2020-12-08,28,17,5,9,5.2,163
Sariel548,Master,Victory,2020-12-08,31,5,7,12,2.43,165
Sariel548,Master,Victory,2020-12-08,27,4,4,15,4.75,157
Sariel548,Master,Defeat,2020-12-08,31,12,5,9,4.2,181
Sariel548,Master,Defeat,2020-12-07,23,2,6,7,1.5,135
Sariel548,Master,Defeat,2020-12-07,26,4,8,3,0.88,133
Sariel548,Master,Defeat,2020-12-07,38,19,9,4,2.56,247
Sariel548,Master,Defeat,2020-12-07,38,9,9,10,2.11,209
Sariel548,Master,Victory,2020-12-07,29,4,6,11,2.5,133
Sariel548,Master,Victory,2020-12-07,31,9,6,2,1.83,215
Sariel548,Master,Victory,2020-12-06,23,6,4,7,3.25,128
Sariel548,Master,Defeat,2020-12-05,32,5,8,8,1.62,166
Sariel548,Master,Defeat,2020-12-05,28,7,8,5,1.5,145
Sariel548,Master,Victory,2020-12-05,27,25,2,6,15.5,214
Sariel548,Master,Defeat,2020-12-05,28,1,6,6,1.17,181
