Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
SexyMuffin,Defeat,2020-11-22,31,1,11,13,1.27,17
SexyMuffin,Victory,2020-11-20,24,0,4,13,3.25,13
SexyMuffin,Defeat,2020-11-19,34,1,7,16,2.43,11
SexyMuffin,Victory,2020-11-19,25,0,5,19,3.8,11
SexyMuffin,Victory,2020-11-19,31,4,2,16,10.0,18
SexyMuffin,Defeat,2020-11-11,46,4,7,26,4.29,23
SexyMuffin,Defeat,2020-11-11,31,0,5,9,1.8,15
SexyMuffin,Defeat,2020-11-10,24,1,2,3,2.0,18
SexyMuffin,Defeat,2020-11-10,25,1,6,10,1.83,17
SexyMuffin,Defeat,2020-11-10,32,3,8,16,2.38,28
SexyMuffin,Victory,2020-11-10,34,5,6,27,5.33,15
SexyMuffin,Defeat,2020-11-10,35,1,8,19,2.5,27
SexyMuffin,Defeat,2020-11-10,30,2,7,7,1.29,14
SexyMuffin,Victory,2020-11-10,29,1,5,22,4.6,26
SexyMuffin,Victory,2020-11-10,21,1,0,14,15.0,12
SexyMuffin,Defeat,2020-11-10,28,0,6,9,1.5,7
SexyMuffin,Defeat,2020-11-10,31,1,7,17,2.57,16
SexyMuffin,Victory,2020-11-10,24,0,2,11,5.5,13
SexyMuffin,Victory,2020-11-10,23,0,1,16,16.0,10
SexyMuffin,Victory,2020-11-10,24,1,2,14,7.5,7
SexyMuffin,Victory,2020-11-10,46,0,7,21,3.0,17
SexyMuffin,Victory,2020-11-09,31,0,3,21,7.0,13
SexyMuffin,Victory,2020-11-09,23,1,3,13,4.67,9
SexyMuffin,Defeat,2020-11-08,36,0,6,2,0.33,36
SexyMuffin,Defeat,2020-11-04,36,3,5,17,4.0,30
SexyMuffin,Victory,2020-11-04,29,1,3,12,4.33,20
SexyMuffin,Defeat,2020-11-03,34,2,4,12,3.5,34
SexyMuffin,Victory,2020-11-03,15,0,1,4,4.0,5
SexyMuffin,Victory,2020-11-03,31,0,7,14,2.0,11
SexyMuffin,Defeat,2020-11-03,26,3,8,10,1.62,11
SexyMuffin,Defeat,2020-11-03,38,1,12,14,1.25,20
SexyMuffin,Defeat,2020-10-30,16,1,4,0,0.25,5
SexyMuffin,Defeat,2020-10-30,32,4,3,20,8.0,29
SexyMuffin,Victory,2020-10-30,46,4,12,22,2.17,61
SexyMuffin,Defeat,2020-10-30,27,1,8,4,0.62,13
SexyMuffin,Defeat,2020-10-30,32,0,6,5,0.83,22
SexyMuffin,Victory,2020-10-29,33,2,3,30,10.67,11
SexyMuffin,Defeat,2020-10-29,35,2,9,21,2.56,20
SexyMuffin,Defeat,2020-10-29,35,0,6,17,2.83,27
SexyMuffin,Victory,2020-10-29,34,2,10,21,2.3,22
SexyMuffin,Defeat,2020-10-29,23,2,10,2,0.4,8
SexyMuffin,Defeat,2020-10-25,20,0,3,4,1.33,9
SexyMuffin,Defeat,2020-10-25,21,0,3,9,3.0,8
SexyMuffin,Victory,2020-10-25,26,1,3,13,4.67,10
SexyMuffin,Defeat,2020-10-25,34,1,6,19,3.33,42
SexyMuffin,Victory,2020-10-24,31,3,8,13,2.0,20
SexyMuffin,Defeat,2020-10-24,29,3,8,12,1.88,33
SexyMuffin,Defeat,2020-10-24,44,4,4,14,4.5,37
SexyMuffin,Defeat,2020-10-24,19,0,8,3,0.38,9
SexyMuffin,Defeat,2020-10-23,22,1,3,1,0.67,4
SexyMuffin,Defeat,2020-10-23,25,2,5,15,3.4,12
SexyMuffin,Defeat,2020-10-23,24,1,5,4,1.0,22
SexyMuffin,Victory,2020-10-23,24,2,1,23,25.0,15
SexyMuffin,Victory,2020-10-22,22,1,2,16,8.5,11
SexyMuffin,Defeat,2020-10-22,33,1,8,11,1.5,31
SexyMuffin,Victory,2020-10-22,30,2,7,18,2.86,23
SexyMuffin,Defeat,2020-10-21,28,2,3,6,2.67,10
SexyMuffin,Victory,2020-10-21,21,2,0,10,12.0,15
SexyMuffin,Defeat,2020-10-21,16,0,3,2,0.67,6
SexyMuffin,Victory,2020-10-21,28,4,0,13,17.0,16
SexyMuffin,Victory,2020-10-21,16,0,0,7,7.0,11
SexyMuffin,Victory,2020-10-21,35,0,8,22,2.75,21
SexyMuffin,Defeat,2020-10-20,31,2,6,9,1.83,18
SexyMuffin,Victory,2020-10-20,33,1,6,13,2.33,15
SexyMuffin,Victory,2020-10-20,36,1,3,12,4.33,48
SexyMuffin,Victory,2020-10-20,42,4,4,22,6.5,15
SexyMuffin,Victory,2020-10-20,34,2,7,20,3.14,25
SexyMuffin,Defeat,2020-10-20,26,0,2,8,4.0,20
SexyMuffin,Defeat,2020-10-18,24,0,2,5,2.5,14
SexyMuffin,Defeat,2020-10-16,27,0,5,7,1.4,18
SexyMuffin,Defeat,2020-10-13,25,1,2,2,1.5,4
SexyMuffin,Victory,2020-10-13,29,1,2,11,6.0,22
SexyMuffin,Victory,2020-10-13,38,1,5,18,3.8,35
SexyMuffin,Victory,2020-10-10,36,2,2,17,9.5,25
SexyMuffin,Defeat,2020-10-06,31,2,4,8,2.5,21
SexyMuffin,Victory,2020-10-06,25,2,0,15,17.0,16
SexyMuffin,Victory,2020-10-06,23,0,1,14,14.0,14
SexyMuffin,Defeat,2020-10-06,24,1,5,9,2.0,12
SexyMuffin,Defeat,2020-10-06,30,1,6,15,2.67,11
SexyMuffin,Defeat,2020-10-05,37,2,5,14,3.2,16
SexyMuffin,Victory,2020-10-04,21,5,2,12,8.5,11
SexyMuffin,Defeat,2020-09-30,25,2,5,2,0.8,9
SexyMuffin,Defeat,2020-09-24,29,2,8,13,1.88,26
SexyMuffin,Defeat,2020-09-23,27,2,6,2,0.67,11
SexyMuffin,Victory,2020-09-22,28,1,3,13,4.67,16
SexyMuffin,Defeat,2020-09-21,32,10,11,17,2.45,56
SexyMuffin,Defeat,2020-09-20,24,0,1,0,0.0,11
SexyMuffin,Victory,2020-09-20,29,1,1,13,14.0,7
SexyMuffin,Defeat,2020-09-19,28,0,6,10,1.67,6
SexyMuffin,Victory,2020-09-19,38,1,4,15,4.0,26
SexyMuffin,Defeat,2020-09-19,31,0,6,2,0.33,40
SexyMuffin,Defeat,2020-09-19,29,4,7,7,1.57,26
SexyMuffin,Victory,2020-09-18,29,9,2,14,11.5,56
SexyMuffin,Defeat,2020-09-18,26,1,7,3,0.57,14
SexyMuffin,Victory,2020-09-18,20,0,3,6,2.0,11
SexyMuffin,Victory,2020-09-17,36,1,6,23,4.0,19
SexyMuffin,Victory,2020-09-17,32,3,4,23,6.5,13
