Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
Sexy Muffin,Defeat,7daysago,30min,2,6,16,3.0,23CS
Sexy Muffin,Defeat,7daysago,39min,2,8,24,3.25,3CS
Sexy Muffin,Victory,11daysago,33min,7,5,25,6.4,25CS
Sexy Muffin,Victory,11daysago,30min,6,8,23,3.62,11CS
Sexy Muffin,Victory,11daysago,28min,1,1,17,18.0,17CS
Sexy Muffin,Defeat,13daysago,28min,3,8,11,1.75,18CS
Sexy Muffin,Victory,13daysago,34min,4,8,22,3.25,10CS
Sexy Muffin,Defeat,14daysago,33min,2,5,8,2.0,24CS
Sexy Muffin,Victory,14daysago,25min,2,4,8,2.5,10CS
Sexy Muffin,Defeat,16daysago,26min,1,4,3,1.0,14CS
Sexy Muffin,Victory,18daysago,29min,2,4,22,6.0,29CS
Sexy Muffin,Defeat,18daysago,26min,3,7,8,1.57,17CS
Sexy Muffin,Defeat,19daysago,36min,4,7,18,3.14,24CS
Sexy Muffin,Victory,19daysago,24min,1,0,10,11.0,9CS
Sexy Muffin,Victory,19daysago,40min,1,6,22,3.83,32CS
Sexy Muffin,Victory,19daysago,19min,1,1,7,8.0,11CS
Sexy Muffin,Defeat,21daysago,26min,0,7,18,2.57,8CS
Sexy Muffin,Defeat,21daysago,30min,1,5,11,2.4,11CS
Sexy Muffin,Victory,21daysago,24min,3,1,8,11.0,17CS
Sexy Muffin,Defeat,22daysago,37min,1,5,18,3.8,9CS
Sexy Muffin,Defeat,22daysago,34min,4,7,19,3.29,35CS
Sexy Muffin,Victory,24daysago,18min,2,1,10,12.0,5CS
Sexy Muffin,Defeat,24daysago,34min,0,3,17,5.67,19CS
Sexy Muffin,Defeat,24daysago,22min,0,9,2,0.22,4CS
Sexy Muffin,Victory,25daysago,32min,3,3,19,7.33,21CS
Sexy Muffin,Defeat,31daysago,35min,2,10,11,1.3,23CS
Sexy Muffin,Defeat,31daysago,35min,1,4,10,2.75,26CS
Sexy Muffin,Victory,31daysago,30min,0,5,16,3.2,32CS
Sexy Muffin,Defeat,31daysago,31min,1,7,12,1.86,9CS
Sexy Muffin,Victory,31daysago,33min,2,4,30,8.0,27CS
Sexy Muffin,Defeat,31daysago,29min,0,6,11,1.83,19CS
Sexy Muffin,Victory,31daysago,24min,2,2,13,7.5,13CS
Sexy Muffin,Victory,32daysago,34min,4,12,29,2.75,27CS
Sexy Muffin,Victory,32daysago,28min,1,4,20,5.25,18CS
Sexy Muffin,Defeat,33daysago,23min,0,3,9,3.0,49CS
