Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
SkullToxic,Gold I,Defeat,2020-11-17,25,12,5,4,3.2,118
SkullToxic,Gold I,Victory,2020-11-17,25,1,4,14,3.75,88
SkullToxic,Gold I,Victory,2020-11-17,33,2,11,33,3.18,21
SkullToxic,Gold I,Defeat,2020-11-17,21,3,7,3,0.86,26
SkullToxic,Gold I,Defeat,2020-10-19,43,2,10,18,2.0,29
SkullToxic,Gold I,Defeat,2020-10-19,26,5,1,3,8.0,165
SkullToxic,Gold I,Defeat,2020-09-23,19,1,4,1,0.5,63
SkullToxic,Gold I,Defeat,2020-09-23,35,3,7,8,1.57,129
SkullToxic,Gold I,Defeat,2020-09-23,24,6,3,4,3.33,45
SkullToxic,Gold I,Victory,2020-09-22,34,8,4,12,5.0,141
SkullToxic,Gold I,Victory,2020-09-21,20,2,2,8,5.0,93
SkullToxic,Gold I,Victory,2020-09-21,25,2,4,19,5.25,29
SkullToxic,Gold I,Victory,2020-09-21,20,11,1,10,21.0,89
SkullToxic,Gold I,Defeat,2020-09-21,38,4,7,8,1.71,41
SkullToxic,Gold I,Victory,2020-09-20,23,9,3,4,4.33,36
SkullToxic,Gold I,Victory,2020-09-20,37,10,5,8,3.6,226
SkullToxic,Gold I,Defeat,2020-09-19,18,0,1,1,1.0,35
SkullToxic,Gold I,Defeat,2020-09-19,20,1,1,1,2.0,95
SkullToxic,Gold I,Defeat,2020-09-19,22,4,3,5,3.0,82
SkullToxic,Gold I,Victory,2020-09-18,26,9,2,5,7.0,142
SkullToxic,Gold I,Victory,2020-09-18,23,6,3,8,4.67,86
SkullToxic,Gold I,Victory,2020-09-18,23,11,3,9,6.67,133
SkullToxic,Gold I,Defeat,2020-09-18,26,8,5,2,2.0,117
SkullToxic,Gold I,Victory,2020-09-18,33,3,4,24,6.75,129
SkullToxic,Gold I,Victory,2020-09-18,20,5,2,12,8.5,29
SkullToxic,Gold I,Victory,2020-09-17,24,3,1,13,16.0,111
SkullToxic,Gold I,Victory,2020-09-17,34,7,9,13,2.22,111
SkullToxic,Gold I,Defeat,2020-09-16,23,0,2,8,4.0,20
SkullToxic,Gold I,Victory,2020-09-15,23,1,1,5,6.0,28
SkullToxic,Gold I,Defeat,2020-09-15,29,4,7,9,1.86,25
SkullToxic,Gold I,Defeat,2020-09-14,20,1,8,5,0.75,31
SkullToxic,Gold I,Victory,2020-09-14,29,1,5,25,5.2,37
SkullToxic,Gold I,Victory,2020-09-14,24,6,3,20,8.67,25
SkullToxic,Gold I,Defeat,2020-08-15,17,0,3,0,0.0,45
SkullToxic,Gold I,Defeat,2020-08-15,28,1,6,4,0.83,118
SkullToxic,Gold I,Victory,2020-08-15,35,4,10,31,3.5,33
SkullToxic,Gold I,Defeat,2020-08-15,19,1,6,2,0.5,79
SkullToxic,Gold I,Victory,2020-08-15,32,7,5,31,7.6,53
SkullToxic,Gold I,Defeat,2020-08-13,32,2,3,3,1.67,127
SkullToxic,Gold I,Defeat,2020-08-12,23,1,5,6,1.4,107
SkullToxic,Gold I,Victory,2020-08-12,28,13,3,13,8.67,114
SkullToxic,Gold I,Defeat,2020-08-12,24,6,3,4,3.33,120
SkullToxic,Gold I,Defeat,2020-08-11,21,5,2,3,4.0,90
SkullToxic,Gold I,Victory,2020-08-11,36,17,5,17,6.8,173
SkullToxic,Gold I,Defeat,2020-08-11,30,9,4,11,5.0,114
SkullToxic,Gold I,Victory,2020-08-11,27,6,3,11,5.67,131
SkullToxic,Gold I,Defeat,2020-08-11,20,1,2,3,2.0,22
SkullToxic,Gold I,Victory,2020-08-11,27,5,3,10,5.0,118
SkullToxic,Gold I,Defeat,2020-08-10,26,5,8,0,0.62,123
SkullToxic,Gold I,Victory,2020-08-10,39,10,6,12,3.67,133
SkullToxic,Gold I,Victory,2020-08-09,30,10,2,14,12.0,151
SkullToxic,Gold I,Defeat,2020-08-09,31,2,8,21,2.88,35
SkullToxic,Gold I,Defeat,2020-08-09,33,3,3,14,5.67,30
SkullToxic,Gold I,Victory,2020-08-09,25,1,3,6,2.33,30
SkullToxic,Gold I,Defeat,2020-08-09,36,3,7,24,3.86,51
SkullToxic,Gold I,Defeat,2020-08-08,28,0,8,11,1.38,36
SkullToxic,Gold I,Victory,2020-08-08,21,4,1,14,18.0,27
SkullToxic,Gold I,Victory,2020-08-08,20,4,1,10,14.0,37
SkullToxic,Gold I,Victory,2020-08-08,33,2,5,21,4.6,35
SkullToxic,Gold I,Victory,2020-08-08,29,7,0,10,17.0,49
SkullToxic,Gold I,Defeat,2020-08-02,35,4,5,3,1.4,130
SkullToxic,Gold I,Defeat,2020-07-21,35,3,3,15,6.0,29
SkullToxic,Gold I,Defeat,2020-07-21,26,3,4,7,2.5,133
SkullToxic,Gold I,Defeat,2020-07-21,34,6,6,7,2.17,151
SkullToxic,Gold I,Defeat,2020-07-21,24,4,4,6,2.5,31
SkullToxic,Gold I,Victory,2020-07-20,37,4,3,19,7.67,27
SkullToxic,Gold I,Victory,2020-07-20,20,3,1,5,8.0,122
SkullToxic,Gold I,Defeat,2020-07-20,23,1,3,1,0.67,23
SkullToxic,Gold I,Defeat,2020-07-20,26,2,3,3,1.67,149
SkullToxic,Gold I,Defeat,2020-07-19,30,2,3,2,1.33,33
SkullToxic,Gold I,Victory,2020-07-19,31,5,4,15,5.0,38
SkullToxic,Gold I,Defeat,2020-07-19,16,3,1,2,5.0,87
SkullToxic,Gold I,Defeat,2020-07-18,30,4,5,2,1.2,168
SkullToxic,Gold I,Defeat,2020-07-18,41,6,10,17,2.3,56
SkullToxic,Gold I,Victory,2020-07-18,22,2,1,8,10.0,101
SkullToxic,Gold I,Victory,2020-07-17,43,4,2,14,9.0,207
SkullToxic,Gold I,Victory,2020-07-17,29,3,5,11,2.8,32
SkullToxic,Gold I,Defeat,2020-07-17,30,1,7,11,1.71,40
SkullToxic,Gold I,Victory,2020-07-14,42,2,7,24,3.71,52
SkullToxic,Gold I,Victory,2020-07-14,34,0,6,13,2.17,32
SkullToxic,Gold I,Victory,2020-07-14,15,1,0,9,10.0,17
SkullToxic,Gold I,Defeat,2020-07-13,40,14,11,9,2.09,154
SkullToxic,Gold I,Defeat,2020-07-13,29,3,6,6,1.5,53
SkullToxic,Gold I,Victory,2020-07-13,32,8,1,6,14.0,179
SkullToxic,Gold I,Victory,2020-07-13,29,2,5,15,3.4,53
SkullToxic,Gold I,Defeat,2020-07-13,23,2,2,4,3.0,38
SkullToxic,Gold I,Victory,2020-07-13,21,0,1,13,13.0,36
SkullToxic,Gold I,Victory,2020-07-13,36,1,8,26,3.38,28
SkullToxic,Gold I,Victory,2020-07-13,30,3,4,17,5.0,34
SkullToxic,Gold I,Defeat,2020-07-13,26,7,4,6,3.25,81
SkullToxic,Gold I,Defeat,2020-07-13,29,7,9,6,1.44,106
SkullToxic,Gold I,Victory,2020-07-12,35,11,5,12,4.6,161
SkullToxic,Gold I,Defeat,2020-07-12,30,8,6,2,1.67,133
SkullToxic,Gold I,Defeat,2020-07-12,26,2,8,12,1.75,26
SkullToxic,Gold I,Victory,2020-07-12,30,2,3,20,7.33,31
SkullToxic,Gold I,Victory,2020-07-12,22,2,4,19,5.25,33
SkullToxic,Gold I,Victory,2020-07-12,26,3,2,11,7.0,29
