Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Soy Benet,Challenger,Victory,2020-11-10,26,6,0,8,14.0,247
Soy Benet,Challenger,Victory,2020-11-10,31,5,1,10,15.0,257
Soy Benet,Challenger,Defeat,2020-11-10,16,1,2,1,1.0,109
Soy Benet,Challenger,Victory,2020-11-09,29,6,2,6,6.0,248
Soy Benet,Challenger,Victory,2020-11-09,15,3,1,8,11.0,138
Soy Benet,Challenger,Defeat,2020-11-09,34,7,6,10,2.83,237
Soy Benet,Challenger,Victory,2020-11-09,29,15,3,8,7.67,269
Soy Benet,Challenger,Victory,2020-11-09,16,7,0,0,7.0,150
Soy Benet,Challenger,Defeat,2020-11-09,30,6,5,15,4.2,205
Soy Benet,Challenger,Victory,2020-11-09,34,12,4,22,8.5,188
Soy Benet,Challenger,Victory,2020-11-09,30,13,0,11,24.0,251
Soy Benet,Challenger,Victory,2020-11-09,32,14,3,19,11.0,293
Soy Benet,Challenger,Victory,2020-11-09,16,6,1,5,11.0,149
Soy Benet,Challenger,Defeat,2020-11-09,36,11,5,5,3.2,343
Soy Benet,Challenger,Defeat,2020-11-08,28,8,8,8,2.0,169
Soy Benet,Challenger,Victory,2020-11-08,29,10,3,11,7.0,228
Soy Benet,Challenger,Defeat,2020-11-08,26,6,4,15,5.25,171
Soy Benet,Challenger,Victory,2020-11-08,20,10,3,5,5.0,173
Soy Benet,Challenger,Victory,2020-11-08,25,0,1,6,6.0,217
Soy Benet,Challenger,Defeat,2020-11-08,23,3,4,4,1.75,182
Soy Benet,Challenger,Victory,2020-11-08,20,5,1,5,10.0,167
Soy Benet,Challenger,Victory,2020-11-08,31,14,4,7,5.25,240
Soy Benet,Challenger,Defeat,2020-11-08,33,5,8,12,2.12,213
Soy Benet,Challenger,Defeat,2020-11-08,29,11,5,2,2.6,232
Soy Benet,Challenger,Victory,2020-11-08,40,16,5,9,5.0,319
Soy Benet,Challenger,Victory,2020-11-07,32,16,2,10,13.0,259
Soy Benet,Challenger,Victory,2020-11-07,15,1,0,5,6.0,157
Soy Benet,Challenger,Victory,2020-11-07,15,6,2,3,4.5,116
Soy Benet,Challenger,Victory,2020-11-07,33,7,1,10,17.0,298
Soy Benet,Challenger,Victory,2020-11-07,37,17,5,11,5.6,294
Soy Benet,Challenger,Victory,2020-11-07,22,5,1,9,14.0,222
Soy Benet,Challenger,Victory,2020-11-07,39,15,7,8,3.29,255
Soy Benet,Challenger,Defeat,2020-11-07,35,11,3,5,5.33,252
Soy Benet,Challenger,Defeat,2020-11-06,16,0,1,0,0.0,142
Soy Benet,Challenger,Defeat,2020-11-06,21,0,1,1,1.0,179
Soy Benet,Challenger,Defeat,2020-11-06,29,5,3,8,4.33,230
Soy Benet,Challenger,Defeat,2020-11-06,36,15,2,3,9.0,286
Soy Benet,Challenger,Victory,2020-11-05,33,13,1,11,24.0,316
Soy Benet,Challenger,Victory,2020-11-05,34,21,5,15,7.2,269
Soy Benet,Challenger,Victory,2020-11-04,29,6,2,12,9.0,225
Soy Benet,Challenger,Defeat,2020-11-04,33,13,6,4,2.83,266
Soy Benet,Challenger,Defeat,2020-11-04,22,1,5,0,0.2,161
