Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Spykies,GrandMaster,Victory,2020-11-08,48,10,5,11,4.2,388
Spykies,GrandMaster,Victory,2020-11-08,32,11,5,4,3.0,237
Spykies,GrandMaster,Victory,2020-11-08,15,2,1,1,3.0,114
Spykies,GrandMaster,Victory,2020-11-01,20,10,1,3,13.0,143
Spykies,GrandMaster,Victory,2020-11-01,15,4,3,2,2.0,131
Spykies,GrandMaster,Victory,2020-10-31,36,14,4,15,7.25,287
Spykies,GrandMaster,Victory,2020-10-31,27,14,4,1,3.75,212
Spykies,GrandMaster,Victory,2020-10-31,23,8,5,7,3.0,135
Spykies,GrandMaster,Victory,2020-10-31,29,12,2,8,10.0,203
Spykies,GrandMaster,Victory,2020-10-31,25,8,7,9,2.43,170
Spykies,GrandMaster,Victory,2020-10-31,34,10,8,10,2.5,205
Spykies,GrandMaster,Defeat,2020-10-31,27,5,10,4,0.9,150
Spykies,GrandMaster,Victory,2020-10-31,35,5,5,18,4.6,222
Spykies,GrandMaster,Defeat,2020-10-25,36,5,11,11,1.45,213
Spykies,GrandMaster,Defeat,2020-10-25,34,8,9,5,1.44,182
Spykies,GrandMaster,Defeat,2020-10-25,24,1,10,3,0.4,131
Spykies,GrandMaster,Victory,2020-10-25,35,15,9,11,2.89,193
Spykies,GrandMaster,Defeat,2020-10-25,25,3,8,3,0.75,139
Spykies,GrandMaster,Victory,2020-10-24,16,3,3,3,2.0,135
Spykies,GrandMaster,Victory,2020-10-24,33,18,4,12,7.5,239
Spykies,GrandMaster,Victory,2020-10-24,21,5,3,13,6.0,98
Spykies,GrandMaster,Victory,2020-10-23,40,8,12,10,1.5,189
Spykies,GrandMaster,Victory,2020-10-17,29,15,5,10,5.0,189
Spykies,GrandMaster,Defeat,2020-10-17,37,10,8,14,3.0,224
Spykies,GrandMaster,Victory,2020-10-11,25,1,3,9,3.33,145
Spykies,GrandMaster,Victory,2020-10-11,19,2,1,13,15.0,150
Spykies,GrandMaster,Defeat,2020-10-11,38,5,4,15,5.0,276
Spykies,GrandMaster,Victory,2020-10-10,15,3,1,3,6.0,119
Spykies,GrandMaster,Victory,2020-10-10,14,4,2,3,3.5,98
Spykies,GrandMaster,Victory,2020-10-10,27,3,7,15,2.57,128
Spykies,GrandMaster,Defeat,2020-10-10,32,13,7,13,3.71,212
Spykies,GrandMaster,Defeat,2020-10-10,30,2,9,9,1.22,162
Spykies,GrandMaster,Victory,2020-10-04,21,9,2,3,6.0,140
Spykies,GrandMaster,Defeat,2020-10-04,32,6,7,9,2.14,212
Spykies,GrandMaster,Defeat,2020-10-04,26,3,10,2,0.5,150
Spykies,GrandMaster,Defeat,2020-10-04,30,5,10,10,1.5,159
Spykies,GrandMaster,Defeat,2020-10-04,36,6,6,22,4.67,214
Spykies,GrandMaster,Victory,2020-10-04,21,3,4,11,3.5,117
Spykies,GrandMaster,Victory,2020-10-04,40,3,8,7,1.25,210
Spykies,GrandMaster,Victory,2020-10-04,21,4,3,7,3.67,147
Spykies,GrandMaster,Defeat,2020-10-04,28,1,7,8,1.29,34
Spykies,GrandMaster,Victory,2020-10-04,29,4,3,14,6.0,192
Spykies,GrandMaster,Victory,2020-10-03,30,5,9,15,2.22,128
Spykies,GrandMaster,Defeat,2020-10-03,26,5,9,4,1.0,132
Spykies,GrandMaster,Victory,2020-10-03,21,6,4,4,2.5,128
Spykies,GrandMaster,Defeat,2020-10-03,20,2,7,8,1.43,104
Spykies,GrandMaster,Defeat,2020-10-03,31,7,11,4,1.0,151
Spykies,GrandMaster,Defeat,2020-10-03,45,21,17,17,2.24,159
Spykies,GrandMaster,Defeat,2020-10-03,24,5,6,5,1.67,170
Spykies,GrandMaster,Victory,2020-10-03,40,21,7,9,4.29,243
Spykies,GrandMaster,Defeat,2020-10-03,28,4,9,8,1.33,181
Spykies,GrandMaster,Defeat,2020-10-03,33,6,10,7,1.3,172
Spykies,GrandMaster,Victory,2020-10-03,28,8,5,14,4.4,161
Spykies,GrandMaster,Defeat,2020-10-03,25,3,7,2,0.71,167
Spykies,GrandMaster,Victory,2020-10-03,38,7,6,17,4.0,184
Spykies,GrandMaster,Defeat,2020-10-03,23,8,7,2,1.43,157
Spykies,GrandMaster,Defeat,2020-10-03,31,5,5,18,4.6,220
Spykies,GrandMaster,Victory,2020-09-27,33,5,12,16,1.75,159
Spykies,GrandMaster,Defeat,2020-09-27,30,8,8,11,2.38,194
Spykies,GrandMaster,Victory,2020-09-27,17,2,1,4,6.0,120
Spykies,GrandMaster,Defeat,2020-09-27,28,7,11,5,1.09,132
Spykies,GrandMaster,Defeat,2020-09-27,32,5,8,12,2.12,149
Spykies,GrandMaster,Defeat,2020-09-27,36,4,9,7,1.22,244
Spykies,GrandMaster,Victory,2020-09-27,17,9,2,6,7.5,136
Spykies,GrandMaster,Defeat,2020-09-27,33,8,9,11,2.11,205
Spykies,GrandMaster,Defeat,2020-09-27,28,5,4,3,2.0,207
Spykies,GrandMaster,Defeat,2020-09-26,17,3,6,1,0.67,117
Spykies,GrandMaster,Defeat,2020-09-26,37,13,9,4,1.89,201
Spykies,GrandMaster,Victory,2020-09-26,24,9,4,13,5.5,148
Spykies,GrandMaster,Defeat,2020-09-26,30,7,6,2,1.5,195
Spykies,GrandMaster,Defeat,2020-09-21,31,2,11,12,1.27,174
Spykies,GrandMaster,Defeat,2020-09-20,29,4,9,4,0.89,181
Spykies,GrandMaster,Victory,2020-09-20,28,9,7,7,2.29,193
Spykies,GrandMaster,Defeat,2020-09-20,39,12,10,9,2.1,224
Spykies,GrandMaster,Victory,2020-09-19,30,10,7,8,2.57,183
Spykies,GrandMaster,Defeat,2020-09-19,32,6,10,10,1.6,191
Spykies,GrandMaster,Victory,2020-09-17,24,3,3,11,4.67,154
Spykies,GrandMaster,Defeat,2020-09-16,30,7,9,10,1.89,154
Spykies,GrandMaster,Defeat,2020-09-16,28,6,8,6,1.5,185
Spykies,GrandMaster,Victory,2020-09-16,15,3,0,4,7.0,102
Spykies,GrandMaster,Victory,2020-09-16,16,2,3,1,1.0,134
Spykies,GrandMaster,Victory,2020-09-16,21,17,1,4,21.0,160
Spykies,GrandMaster,Victory,2020-09-16,35,14,8,18,4.0,241
Spykies,GrandMaster,Defeat,2020-09-15,27,5,10,7,1.2,161
Spykies,GrandMaster,Defeat,2020-09-15,15,2,5,3,1.0,66
Spykies,GrandMaster,Victory,2020-09-07,21,7,3,2,3.0,129
