Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
SweetBlood,Gold I,Defeat,2020-11-22,29,3,10,6,0.9,47
SweetBlood,Gold I,Defeat,2020-11-18,20,6,6,3,1.5,128
SweetBlood,Gold I,Victory,2020-11-18,27,6,3,5,3.67,206
SweetBlood,Gold I,Victory,2020-11-17,26,4,2,5,4.5,201
SweetBlood,Gold I,Victory,2020-09-25,34,9,4,11,5.0,272
SweetBlood,Gold I,Defeat,2020-09-16,15,1,5,3,0.8,89
SweetBlood,Gold I,Victory,2020-09-16,28,7,3,13,6.67,205
SweetBlood,Gold I,Defeat,2020-09-11,26,3,6,0,0.5,171
SweetBlood,Gold I,Defeat,2020-09-06,25,3,6,2,0.83,118
SweetBlood,Gold I,Defeat,2020-09-05,36,4,12,17,1.75,44
SweetBlood,Gold I,Victory,2020-09-05,20,4,0,1,5.0,154
SweetBlood,Gold I,Victory,2020-09-04,34,5,11,25,2.73,29
SweetBlood,Gold I,Victory,2020-09-04,18,1,1,10,11.0,24
SweetBlood,Gold I,Victory,2020-09-04,22,1,0,7,8.0,152
SweetBlood,Gold I,Victory,2020-09-04,32,6,8,10,2.0,193
SweetBlood,Gold I,Defeat,2020-09-04,32,5,5,2,1.4,218
SweetBlood,Gold I,Defeat,2020-09-04,38,8,4,9,4.25,306
SweetBlood,Gold I,Defeat,2020-09-04,27,1,12,14,1.25,38
SweetBlood,Gold I,Victory,2020-09-04,25,3,6,4,1.17,141
SweetBlood,Gold I,Victory,2020-09-04,27,9,4,5,3.5,186
SweetBlood,Gold I,Victory,2020-09-04,29,3,2,8,5.5,208
SweetBlood,Gold I,Defeat,2020-09-03,26,0,8,2,0.25,114
SweetBlood,Gold I,Defeat,2020-09-03,28,8,10,4,1.2,188
SweetBlood,Gold I,Defeat,2020-09-03,35,8,8,9,2.12,265
SweetBlood,Gold I,Defeat,2020-09-03,15,0,3,0,0.0,36
SweetBlood,Gold I,Victory,2020-09-02,27,2,8,10,1.5,32
SweetBlood,Gold I,Victory,2020-09-02,21,1,2,1,1.0,138
SweetBlood,Gold I,Defeat,2020-09-02,29,8,10,5,1.3,155
SweetBlood,Gold I,Victory,2020-09-02,21,9,2,2,5.5,140
SweetBlood,Gold I,Victory,2020-09-02,26,9,6,9,3.0,173
SweetBlood,Gold I,Defeat,2020-09-01,17,1,4,2,0.75,124
SweetBlood,Gold I,Defeat,2020-09-01,27,6,7,7,1.86,126
SweetBlood,Gold I,Victory,2020-09-01,23,2,2,12,7.0,28
SweetBlood,Gold I,Victory,2020-08-31,39,7,6,9,2.67,289
SweetBlood,Gold I,Defeat,2020-08-31,27,3,7,8,1.57,24
SweetBlood,Gold I,Defeat,2020-08-31,34,4,9,5,1.0,214
SweetBlood,Gold I,Victory,2020-08-31,40,7,7,17,3.43,245
SweetBlood,Gold I,Defeat,2020-08-30,33,2,7,6,1.14,32
SweetBlood,Gold I,Victory,2020-08-30,24,8,4,11,4.75,175
SweetBlood,Gold I,Victory,2020-08-30,45,18,9,11,3.22,307
SweetBlood,Gold I,Victory,2020-08-30,28,2,6,17,3.17,41
SweetBlood,Gold I,Victory,2020-08-30,22,7,1,9,16.0,153
SweetBlood,Gold I,Defeat,2020-08-30,31,2,10,5,0.7,151
SweetBlood,Gold I,Defeat,2020-08-29,28,7,8,6,1.62,191
SweetBlood,Gold I,Victory,2020-08-29,27,5,1,10,15.0,183
SweetBlood,Gold I,Victory,2020-08-28,26,1,3,11,4.0,47
SweetBlood,Gold I,Defeat,2020-08-26,19,0,6,1,0.17,130
SweetBlood,Gold I,Victory,2020-08-26,40,7,11,9,1.45,253
SweetBlood,Gold I,Defeat,2020-08-26,15,1,3,3,1.33,97
SweetBlood,Gold I,Victory,2020-08-23,28,14,4,15,7.25,186
SweetBlood,Gold I,Victory,2020-08-23,41,6,8,11,2.12,248
SweetBlood,Gold I,Victory,2020-08-22,44,1,12,18,1.58,69
SweetBlood,Gold I,Victory,2020-08-21,23,2,3,5,2.33,135
SweetBlood,Gold I,Defeat,2020-08-19,26,3,8,7,1.25,139
SweetBlood,Gold I,Defeat,2020-08-17,25,3,3,2,1.67,97
SweetBlood,Gold I,Victory,2020-08-17,29,9,6,10,3.17,213
SweetBlood,Gold I,Defeat,2020-08-14,37,5,10,9,1.4,214
