Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
TAB Promesse,Master,Victory,2020-12-12,27,20,1,11,31.0,239
TAB Promesse,Master,Defeat,2020-12-01,24,2,8,7,1.12,169
TAB Promesse,Master,Victory,2020-11-09,15,4,0,3,7.0,100
TAB Promesse,Master,Victory,2020-11-09,9,2,0,1,3.0,42
TAB Promesse,Master,Defeat,2020-11-09,13,1,2,0,0.5,81
TAB Promesse,Master,Victory,2020-11-09,22,2,0,3,5.0,210
TAB Promesse,Master,Victory,2020-11-09,22,5,3,8,4.33,175
TAB Promesse,Master,Defeat,2020-11-08,30,6,3,3,3.0,215
TAB Promesse,Master,Defeat,2020-11-08,31,7,7,4,1.57,176
TAB Promesse,Master,Victory,2020-11-08,33,6,3,6,4.0,237
TAB Promesse,Master,Victory,2020-11-08,34,4,2,5,4.5,228
TAB Promesse,Master,Victory,2020-11-08,19,6,1,1,7.0,166
TAB Promesse,Master,Defeat,2020-11-07,32,5,10,6,1.1,175
TAB Promesse,Master,Defeat,2020-11-07,26,2,5,1,0.6,165
TAB Promesse,Master,Victory,2020-11-07,26,3,5,4,1.4,164
TAB Promesse,Master,Victory,2020-11-07,39,11,3,4,5.0,281
TAB Promesse,Master,Victory,2020-11-07,11,2,0,2,4.0,56
TAB Promesse,Master,Victory,2020-11-07,31,3,7,6,1.29,204
TAB Promesse,Master,Defeat,2020-11-06,37,9,12,13,1.83,50
TAB Promesse,Master,Victory,2020-11-06,24,12,4,5,4.25,208
TAB Promesse,Master,Defeat,2020-11-06,27,8,6,2,1.67,181
TAB Promesse,Master,Defeat,2020-11-06,33,1,3,6,2.33,276
TAB Promesse,Master,Victory,2020-11-06,27,19,5,4,4.6,211
TAB Promesse,Master,Victory,2020-11-06,26,7,4,8,3.75,178
TAB Promesse,Master,Victory,2020-11-06,32,2,6,10,2.0,39
TAB Promesse,Master,Victory,2020-11-06,15,4,2,2,3.0,113
TAB Promesse,Master,Defeat,2020-11-06,24,3,8,2,0.62,109
TAB Promesse,Master,Victory,2020-11-05,23,10,1,5,15.0,187
TAB Promesse,Master,Defeat,2020-11-05,19,4,10,3,0.7,115
TAB Promesse,Master,Defeat,2020-11-05,26,4,3,2,2.0,193
TAB Promesse,Master,Defeat,2020-11-05,25,6,4,0,1.5,168
TAB Promesse,Master,Defeat,2020-11-05,21,8,5,3,2.2,189
TAB Promesse,Master,Defeat,2020-11-05,22,3,8,7,1.25,130
TAB Promesse,Master,Victory,2020-11-05,19,13,1,0,13.0,208
TAB Promesse,Master,Defeat,2020-11-05,37,11,7,6,2.43,294
TAB Promesse,Master,Defeat,2020-11-04,22,8,6,3,1.83,182
TAB Promesse,Master,Victory,2020-11-04,32,12,6,12,4.0,223
TAB Promesse,Master,Defeat,2020-11-04,37,8,9,8,1.78,260
TAB Promesse,Master,Victory,2020-11-04,31,6,4,7,3.25,200
TAB Promesse,Master,Defeat,2020-11-04,29,5,2,2,3.5,188
TAB Promesse,Master,Defeat,2020-11-04,24,4,5,4,1.6,144
TAB Promesse,Master,Defeat,2020-11-04,24,3,6,6,1.5,151
TAB Promesse,Master,Victory,2020-11-04,26,8,4,4,3.0,176
TAB Promesse,Master,Defeat,2020-11-03,27,2,3,1,1.0,216
TAB Promesse,Master,Defeat,2020-11-03,31,5,6,5,1.67,207
TAB Promesse,Master,Victory,2020-11-03,23,11,1,6,17.0,221
TAB Promesse,Master,Victory,2020-11-03,28,11,1,3,14.0,226
TAB Promesse,Master,Defeat,2020-11-03,18,1,6,0,0.17,118
TAB Promesse,Master,Defeat,2020-11-03,23,1,6,6,1.17,29
TAB Promesse,Master,Defeat,2020-11-03,20,2,3,0,0.67,127
TAB Promesse,Master,Victory,2020-11-03,21,6,1,2,8.0,180
TAB Promesse,Master,Victory,2020-11-02,36,11,3,12,7.67,233
TAB Promesse,Master,Victory,2020-11-02,16,5,0,6,11.0,120
TAB Promesse,Master,Victory,2020-11-02,22,3,2,5,4.0,150
TAB Promesse,Master,Victory,2020-11-02,37,11,9,4,1.67,171
TAB Promesse,Master,Victory,2020-11-01,35,7,5,6,2.6,288
TAB Promesse,Master,Defeat,2020-11-01,23,6,9,6,1.33,134
TAB Promesse,Master,Defeat,2020-11-01,23,1,7,2,0.43,145
TAB Promesse,Master,Victory,2020-11-01,25,1,1,4,5.0,197
TAB Promesse,Master,Defeat,2020-11-01,29,3,5,5,1.6,235
TAB Promesse,Master,Defeat,2020-10-31,31,7,8,6,1.62,208
TAB Promesse,Master,Defeat,2020-10-31,24,8,6,4,2.0,145
TAB Promesse,Master,Victory,2020-10-31,30,11,1,3,14.0,245
TAB Promesse,Master,Victory,2020-10-31,28,4,4,7,2.75,208
TAB Promesse,Master,Victory,2020-10-31,31,14,6,6,3.33,202
TAB Promesse,Master,Defeat,2020-10-31,24,3,8,8,1.38,152
TAB Promesse,Master,Defeat,2020-10-31,28,10,6,1,1.83,212
TAB Promesse,Master,Victory,2020-10-31,23,3,4,9,3.0,46
TAB Promesse,Master,Defeat,2020-10-31,24,2,6,3,0.83,170
TAB Promesse,Master,Victory,2020-10-31,30,17,8,1,2.25,196
TAB Promesse,Master,Victory,2020-10-31,24,6,3,10,5.33,180
TAB Promesse,Master,Defeat,2020-10-30,23,3,8,2,0.62,144
TAB Promesse,Master,Victory,2020-10-30,31,7,3,2,3.0,286
TAB Promesse,Master,Defeat,2020-10-30,30,3,5,7,2.0,165
TAB Promesse,Master,Victory,2020-10-30,32,11,6,10,3.5,216
TAB Promesse,Master,Defeat,2020-10-30,20,1,2,1,1.0,125
TAB Promesse,Master,Defeat,2020-10-30,26,2,2,3,2.5,207
TAB Promesse,Master,Defeat,2020-10-30,35,10,8,4,1.75,248
TAB Promesse,Master,Defeat,2020-10-29,35,1,5,4,1.0,253
TAB Promesse,Master,Defeat,2020-10-29,37,5,10,6,1.1,300
TAB Promesse,Master,Defeat,2020-10-29,26,5,5,7,2.4,187
TAB Promesse,Master,Victory,2020-10-29,28,7,3,8,5.0,183
TAB Promesse,Master,Victory,2020-10-28,19,7,0,1,8.0,147
TAB Promesse,Master,Victory,2020-10-28,20,4,4,3,1.75,134
TAB Promesse,Master,Victory,2020-10-28,23,5,2,5,5.0,181
TAB Promesse,Master,Defeat,2020-10-27,20,2,5,2,0.8,122
TAB Promesse,Master,Defeat,2020-10-27,34,6,8,10,2.0,286
TAB Promesse,Master,Victory,2020-10-27,37,6,7,9,2.14,305
TAB Promesse,Master,Victory,2020-10-27,38,7,7,6,1.86,302
TAB Promesse,Master,Defeat,2020-10-27,26,2,3,3,1.67,206
TAB Promesse,Master,Defeat,2020-10-27,33,7,7,5,1.71,243
TAB Promesse,Master,Defeat,2020-10-26,19,3,6,0,0.5,118
TAB Promesse,Master,Defeat,2020-10-26,30,5,4,8,3.25,203
TAB Promesse,Master,Victory,2020-10-26,38,6,5,10,3.2,263
TAB Promesse,Master,Defeat,2020-10-26,28,3,4,6,2.25,201
TAB Promesse,Master,Defeat,2020-10-26,23,2,11,1,0.27,136
TAB Promesse,Master,Defeat,2020-10-26,29,5,7,3,1.14,167
TAB Promesse,Master,Defeat,2020-10-26,19,0,5,0,0.0,152
TAB Promesse,Master,Defeat,2020-10-25,25,2,6,1,0.5,148
TAB Promesse,Master,Defeat,2020-10-25,15,1,4,0,0.25,101
TAB Promesse,Master,Defeat,2020-10-25,26,5,10,9,1.4,145
TAB Promesse,Master,Victory,2020-10-25,26,3,5,5,1.6,169
TAB Promesse,Master,Victory,2020-10-25,29,15,4,7,5.5,210
TAB Promesse,Master,Victory,2020-10-24,30,5,1,4,9.0,221
TAB Promesse,Master,Defeat,2020-10-24,20,0,4,0,0.0,147
TAB Promesse,Master,Victory,2020-10-24,20,3,3,3,2.0,169
TAB Promesse,Master,Defeat,2020-10-24,26,3,5,1,0.8,189
TAB Promesse,Master,Victory,2020-10-24,33,8,5,10,3.6,250
TAB Promesse,Master,Victory,2020-10-24,21,1,2,3,2.0,170
TAB Promesse,Master,Defeat,2020-10-24,19,3,2,1,2.0,139
TAB Promesse,Master,Defeat,2020-10-24,24,4,8,13,2.12,101
TAB Promesse,Master,Victory,2020-10-23,30,10,7,2,1.71,249
TAB Promesse,Master,Victory,2020-10-23,23,7,4,6,3.25,223
TAB Promesse,Master,Defeat,2020-10-23,28,4,10,2,0.6,155
TAB Promesse,Master,Victory,2020-10-23,30,11,7,10,3.0,185
TAB Promesse,Master,Victory,2020-10-23,31,6,9,13,2.11,221
TAB Promesse,Master,Victory,2020-10-23,37,12,6,7,3.17,233
TAB Promesse,Master,Defeat,2020-10-22,35,8,7,7,2.14,292
TAB Promesse,Master,Victory,2020-10-22,26,5,4,6,2.75,156
TAB Promesse,Master,Defeat,2020-10-22,25,6,6,2,1.33,222
TAB Promesse,Master,Victory,2020-10-22,31,7,3,7,4.67,226
TAB Promesse,Master,Defeat,2020-10-22,26,4,6,3,1.17,144
TAB Promesse,Master,Defeat,2020-10-22,31,11,8,9,2.5,174
TAB Promesse,Master,Victory,2020-10-22,25,1,2,4,2.5,205
TAB Promesse,Master,Defeat,2020-10-22,15,1,4,0,0.25,92
TAB Promesse,Master,Defeat,2020-10-22,33,1,5,8,1.8,48
TAB Promesse,Master,Defeat,2020-10-22,33,3,5,15,3.6,268
TAB Promesse,Master,Defeat,2020-10-22,35,3,1,2,5.0,275
TAB Promesse,Master,Victory,2020-10-21,21,4,3,4,2.67,154
TAB Promesse,Master,Victory,2020-10-21,22,10,1,2,12.0,248
TAB Promesse,Master,Defeat,2020-10-21,22,1,3,2,1.0,175
TAB Promesse,Master,Victory,2020-10-21,31,5,4,10,3.75,204
TAB Promesse,Master,Victory,2020-10-21,20,1,2,4,2.5,157
TAB Promesse,Master,Victory,2020-10-21,30,10,2,7,8.5,221
TAB Promesse,Master,Defeat,2020-10-20,26,10,7,3,1.86,171
TAB Promesse,Master,Defeat,2020-10-20,29,3,4,0,0.75,192
TAB Promesse,Master,Victory,2020-10-20,24,5,2,6,5.5,176
TAB Promesse,Master,Defeat,2020-10-20,21,1,3,4,1.67,182
TAB Promesse,Master,Victory,2020-10-20,33,8,5,8,3.2,217
TAB Promesse,Master,Defeat,2020-10-20,32,14,5,4,3.6,240
TAB Promesse,Master,Defeat,2020-10-20,32,5,7,15,2.86,199
TAB Promesse,Master,Victory,2020-10-20,33,4,3,7,3.67,227
TAB Promesse,Master,Defeat,2020-10-20,22,1,3,1,0.67,183
TAB Promesse,Master,Defeat,2020-10-20,23,2,2,4,3.0,164
TAB Promesse,Master,Victory,2020-10-20,30,5,5,9,2.8,49
TAB Promesse,Master,Defeat,2020-10-19,24,3,4,3,1.5,148
TAB Promesse,Master,Defeat,2020-10-19,23,5,2,8,6.5,151
TAB Promesse,Master,Defeat,2020-10-19,23,3,3,3,2.0,193
TAB Promesse,Master,Defeat,2020-10-19,35,18,5,8,5.2,250
TAB Promesse,Master,Victory,2020-10-17,36,7,4,14,5.25,256
TAB Promesse,Master,Victory,2020-10-17,30,7,5,8,3.0,205
TAB Promesse,Master,Victory,2020-10-17,25,2,3,6,2.67,203
TAB Promesse,Master,Victory,2020-10-17,29,6,4,12,4.5,203
TAB Promesse,Master,Victory,2020-10-16,24,6,2,13,9.5,170
TAB Promesse,Master,Victory,2020-10-16,27,9,3,10,6.33,204
TAB Promesse,Master,Victory,2020-10-16,22,7,3,3,3.33,160
TAB Promesse,Master,Victory,2020-10-16,27,8,2,12,10.0,220
TAB Promesse,Master,Defeat,2020-10-15,22,1,6,0,0.17,148
TAB Promesse,Master,Defeat,2020-10-15,20,3,4,3,1.5,174
TAB Promesse,Master,Victory,2020-10-15,27,5,6,4,1.5,218
TAB Promesse,Master,Defeat,2020-10-15,29,6,8,9,1.88,187
TAB Promesse,Master,Victory,2020-10-15,31,9,8,6,1.88,213
TAB Promesse,Master,Defeat,2020-10-15,31,13,6,8,3.5,185
TAB Promesse,Master,Defeat,2020-10-15,31,13,3,8,7.0,60
TAB Promesse,Master,Defeat,2020-10-15,22,0,6,3,0.5,115
TAB Promesse,Master,Victory,2020-10-14,26,5,4,5,2.5,168
TAB Promesse,Master,Victory,2020-10-14,21,4,2,2,3.0,165
TAB Promesse,Master,Victory,2020-10-14,29,6,6,5,1.83,234
TAB Promesse,Master,Victory,2020-10-14,27,9,1,7,16.0,207
TAB Promesse,Master,Defeat,2020-10-13,27,5,3,2,2.33,166
TAB Promesse,Master,Victory,2020-10-13,21,2,1,7,9.0,186
TAB Promesse,Master,Defeat,2020-10-13,16,2,0,0,2.0,135
TAB Promesse,Master,Defeat,2020-10-13,26,4,6,4,1.33,171
