Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
TITO MATX,Iron I,Victory,2020-08-24,36,8,6,13,3.5,161
TITO MATX,Iron I,Victory,2020-08-24,24,5,2,3,4.0,111
TITO MATX,Iron I,Defeat,2020-08-24,24,1,8,2,0.38,95
TITO MATX,Iron I,Victory,2020-08-24,34,6,6,7,2.17,186
TITO MATX,Iron I,Defeat,2020-08-24,42,4,13,7,0.85,166
TITO MATX,Iron I,Victory,2020-08-08,31,8,1,9,17.0,140
TITO MATX,Iron I,Victory,2020-07-08,32,6,4,6,3.0,176
TITO MATX,Iron I,Defeat,2020-07-08,33,1,8,14,1.88,23
TITO MATX,Iron I,Victory,2020-03-07,41,16,6,6,3.67,196
TITO MATX,Iron I,Defeat,2020-02-26,30,2,7,4,0.86,156
TITO MATX,Iron I,Victory,2020-02-26,23,2,1,3,5.0,128
TITO MATX,Iron I,Defeat,2019-11-30,25,2,7,1,0.43,115
TITO MATX,Iron I,Victory,2019-11-21,33,2,8,6,1.0,158
TITO MATX,Iron I,Defeat,2019-11-21,29,2,12,8,0.83,34
TITO MATX,Iron I,Defeat,2019-08-07,24,1,7,3,0.57,13
TITO MATX,Iron I,Defeat,2019-08-07,32,4,3,8,4.0,11
TITO MATX,Iron I,Defeat,2019-08-01,31,2,4,11,3.25,5
TITO MATX,Iron I,Victory,2019-07-25,21,2,0,12,14.0,9
TITO MATX,Iron I,Victory,2019-07-24,33,3,7,12,2.14,143
TITO MATX,Iron I,Defeat,2019-07-17,26,2,7,6,1.14,83
TITO MATX,Iron I,Defeat,2019-07-17,18,1,7,4,0.71,46
TITO MATX,Iron I,Defeat,2019-06-27,35,1,3,27,9.33,15
TITO MATX,Iron I,Defeat,2019-03-09,27,1,9,4,0.56,10
TITO MATX,Iron I,Defeat,2019-03-09,30,5,7,4,1.29,129
TITO MATX,Iron I,Defeat,2019-03-09,28,4,7,9,1.86,92
