Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
T O X I C B O Y,Defeat,2020-10-05,26,0,2,2,1.0,31
T O X I C B O Y,Defeat,2020-10-05,34,2,8,13,1.88,38
T O X I C B O Y,Victory,2020-10-05,26,2,8,17,2.38,40
T O X I C B O Y,Defeat,2020-10-05,34,3,4,6,2.25,48
T O X I C B O Y,Defeat,2020-10-05,24,2,3,4,2.0,140
T O X I C B O Y,Victory,2020-10-01,31,3,6,13,2.67,44
T O X I C B O Y,Defeat,2020-08-16,43,9,13,8,1.31,255
T O X I C B O Y,Defeat,2020-08-16,21,1,4,1,0.5,52
T O X I C B O Y,Defeat,2020-08-16,37,3,9,11,1.56,58
T O X I C B O Y,Victory,2020-08-08,26,3,5,15,3.6,28
T O X I C B O Y,Victory,2020-08-06,30,3,3,5,2.67,224
T O X I C B O Y,Victory,2020-08-06,38,6,6,14,3.33,253
T O X I C B O Y,Victory,2020-08-06,27,3,3,11,4.67,185
T O X I C B O Y,Victory,2020-08-06,17,1,0,2,3.0,116
T O X I C B O Y,Defeat,2020-08-06,24,0,8,11,1.38,32
T O X I C B O Y,Victory,2020-08-02,27,5,2,3,4.0,214
T O X I C B O Y,Defeat,2020-07-26,40,13,7,11,3.43,174
T O X I C B O Y,Defeat,2020-07-26,21,1,5,6,1.4,20
T O X I C B O Y,Defeat,2020-07-26,22,3,3,1,1.33,170
T O X I C B O Y,Victory,2020-07-17,24,3,2,2,2.5,138
T O X I C B O Y,Victory,2020-07-17,29,3,5,3,1.2,168
T O X I C B O Y,Defeat,2020-04-19,29,3,7,9,1.71,134
T O X I C B O Y,Defeat,2020-04-19,31,5,7,5,1.43,113
T O X I C B O Y,Victory,2020-03-14,34,5,3,14,6.33,183
T O X I C B O Y,Defeat,2020-02-14,39,5,8,0,0.62,209
T O X I C B O Y,Victory,2020-02-13,28,0,9,3,0.33,87
T O X I C B O Y,Victory,2020-02-13,26,2,6,7,1.5,89
T O X I C B O Y,Victory,2020-02-13,24,4,0,2,6.0,155
T O X I C B O Y,Victory,2020-02-13,29,5,2,7,6.0,153
T O X I C B O Y,Victory,2020-02-13,23,1,3,1,0.67,116
T O X I C B O Y,Defeat,2020-02-13,20,0,2,7,3.5,72
T O X I C B O Y,Defeat,2020-02-09,23,0,5,2,0.4,111
T O X I C B O Y,Victory,2020-02-09,38,12,4,9,5.25,250
