Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
T O X I C B O Y,Gold IV,Defeat,2020-10-25,39,2,5,13,3.0,67
T O X I C B O Y,Gold IV,Defeat,2020-10-25,30,4,12,14,1.5,45
T O X I C B O Y,Gold IV,Victory,2020-10-25,31,2,9,14,1.78,34
T O X I C B O Y,Gold IV,Victory,2020-08-10,31,0,9,16,1.78,41
T O X I C B O Y,Gold IV,Victory,2020-08-10,23,2,1,12,14.0,38
T O X I C B O Y,Gold IV,Victory,2020-08-09,32,3,8,10,1.62,39
T O X I C B O Y,Gold IV,Victory,2020-08-07,50,2,12,35,3.08,59
T O X I C B O Y,Gold IV,Victory,2020-08-05,26,3,3,8,3.67,37
T O X I C B O Y,Gold IV,Victory,2020-08-03,23,7,1,11,18.0,46
T O X I C B O Y,Gold IV,Victory,2020-08-03,36,5,5,15,4.0,53
T O X I C B O Y,Gold IV,Defeat,2020-07-27,20,0,4,0,0.0,70
T O X I C B O Y,Gold IV,Victory,2020-07-27,31,4,3,8,4.0,37
T O X I C B O Y,Gold IV,Defeat,2020-07-23,22,2,1,3,5.0,122
T O X I C B O Y,Gold IV,Defeat,2020-07-23,36,2,3,1,1.0,289
T O X I C B O Y,Gold IV,Defeat,2020-05-29,28,4,9,4,0.89,51
T O X I C B O Y,Gold IV,Victory,2020-05-29,35,4,8,14,2.25,199
T O X I C B O Y,Gold IV,Defeat,2020-05-29,29,7,7,4,1.57,197
T O X I C B O Y,Gold IV,Defeat,2020-05-29,28,2,7,3,0.71,153
T O X I C B O Y,Gold IV,Defeat,2020-05-29,29,3,5,5,1.6,123
T O X I C B O Y,Gold IV,Victory,2020-05-17,40,3,9,30,3.67,37
T O X I C B O Y,Gold IV,Victory,2020-05-12,24,9,0,1,10.0,126
T O X I C B O Y,Gold IV,Victory,2020-05-04,50,14,4,17,7.75,271
T O X I C B O Y,Gold IV,Victory,2020-04-10,24,2,2,0,1.0,205
T O X I C B O Y,Gold IV,Defeat,2020-04-05,30,4,5,6,2.0,132
T O X I C B O Y,Gold IV,Victory,2020-03-30,26,1,2,3,2.0,167
T O X I C B O Y,Gold IV,Defeat,2020-03-30,35,1,7,1,0.29,252
T O X I C B O Y,Gold IV,Victory,2020-03-30,32,1,3,5,2.0,92
T O X I C B O Y,Gold IV,Victory,2020-03-29,32,3,3,8,3.67,167
T O X I C B O Y,Gold IV,Defeat,2020-03-28,34,2,9,10,1.33,136
T O X I C B O Y,Gold IV,Defeat,2020-03-28,22,0,4,5,1.25,39
T O X I C B O Y,Gold IV,Victory,2020-03-15,27,6,3,17,7.67,133
T O X I C B O Y,Gold IV,Defeat,2020-03-14,21,1,2,4,2.5,124
T O X I C B O Y,Gold IV,Victory,2020-03-13,35,3,4,15,4.5,152
T O X I C B O Y,Gold IV,Victory,2020-03-13,27,3,1,11,14.0,126
T O X I C B O Y,Gold IV,Defeat,2020-03-12,20,1,3,2,1.0,98
T O X I C B O Y,Gold IV,Victory,2020-03-12,25,4,4,4,2.0,156
T O X I C B O Y,Gold IV,Victory,2020-03-12,37,4,7,15,2.71,156
T O X I C B O Y,Gold IV,Victory,2020-03-09,28,2,2,0,1.0,174
T O X I C B O Y,Gold IV,Victory,2020-03-02,25,4,0,7,11.0,135
T O X I C B O Y,Gold IV,Defeat,2020-03-02,33,6,11,5,1.0,140
T O X I C B O Y,Gold IV,Victory,2020-03-02,34,9,5,8,3.4,195
T O X I C B O Y,Gold IV,Defeat,2020-03-02,20,2,5,2,0.8,96
T O X I C B O Y,Gold IV,Victory,2020-02-29,31,14,7,5,2.71,189
T O X I C B O Y,Gold IV,Defeat,2020-02-29,23,1,3,1,0.67,151
T O X I C B O Y,Gold IV,Victory,2020-02-23,30,13,4,7,5.0,190
T O X I C B O Y,Gold IV,Victory,2020-02-21,28,3,6,11,2.33,140
T O X I C B O Y,Gold IV,Victory,2020-02-20,34,6,1,9,15.0,221
T O X I C B O Y,Gold IV,Defeat,2020-02-11,37,4,5,8,2.4,222
T O X I C B O Y,Gold IV,Defeat,2020-02-11,29,2,7,4,0.86,133
T O X I C B O Y,Gold IV,Victory,2020-02-10,26,4,0,6,10.0,218
T O X I C B O Y,Gold IV,Defeat,2020-02-10,16,1,3,2,1.0,92
T O X I C B O Y,Gold IV,Victory,2020-02-10,25,6,3,9,5.0,186
T O X I C B O Y,Gold IV,Defeat,2020-02-10,31,5,8,7,1.5,177
T O X I C B O Y,Gold IV,Defeat,2020-02-10,25,1,2,1,1.0,165
T O X I C B O Y,Gold IV,Defeat,2020-02-10,34,6,10,6,1.2,154
T O X I C B O Y,Gold IV,Defeat,2020-02-10,27,3,5,7,2.0,21
T O X I C B O Y,Gold IV,Victory,2020-02-09,25,3,2,5,4.0,178
T O X I C B O Y,Gold IV,Victory,2020-02-09,35,4,4,8,3.0,180
T O X I C B O Y,Gold IV,Victory,2020-02-08,32,5,4,6,2.75,165
T O X I C B O Y,Gold IV,Defeat,2020-02-07,32,0,6,10,1.67,40
T O X I C B O Y,Gold IV,Defeat,2020-02-03,35,5,4,11,4.0,227
T O X I C B O Y,Gold IV,Victory,2020-01-29,28,10,2,5,7.5,196
T O X I C B O Y,Gold IV,Victory,2020-01-29,34,10,5,7,3.4,227
T O X I C B O Y,Gold IV,Defeat,2020-01-29,25,7,4,2,2.25,114
T O X I C B O Y,Gold IV,Victory,2020-01-27,35,9,8,8,2.12,159
T O X I C B O Y,Gold IV,Victory,2020-01-23,34,9,1,18,27.0,163
T O X I C B O Y,Gold IV,Victory,2020-01-22,16,3,0,4,7.0,79
T O X I C B O Y,Gold IV,Victory,2020-01-22,37,3,9,15,2.0,164
T O X I C B O Y,Gold IV,Defeat,2020-01-22,33,0,8,13,1.62,25
T O X I C B O Y,Gold IV,Victory,2020-01-16,34,6,8,8,1.75,162
T O X I C B O Y,Gold IV,Defeat,2020-01-16,45,4,6,10,2.33,246
T O X I C B O Y,Gold IV,Victory,2020-01-14,27,4,2,6,5.0,120
T O X I C B O Y,Gold IV,Victory,2020-01-13,31,7,1,13,20.0,138
T O X I C B O Y,Gold IV,Defeat,2020-01-13,28,3,3,7,3.33,155
T O X I C B O Y,Gold IV,Defeat,2020-01-10,28,2,7,7,1.29,32
T O X I C B O Y,Gold IV,Defeat,2020-01-09,23,1,4,4,1.25,26
T O X I C B O Y,Gold IV,Victory,2020-01-09,22,1,2,21,11.0,8
T O X I C B O Y,Gold IV,Defeat,2020-01-09,26,1,5,11,2.4,34
T O X I C B O Y,Gold IV,Victory,2020-01-09,31,2,7,15,2.43,41
T O X I C B O Y,Gold IV,Defeat,2019-10-25,21,0,3,0,0.0,82
T O X I C B O Y,Gold IV,Victory,2019-10-25,24,5,1,1,6.0,173
T O X I C B O Y,Gold IV,Victory,2019-10-17,25,8,1,2,10.0,161
T O X I C B O Y,Gold IV,Victory,2019-10-17,26,1,4,6,1.75,156
T O X I C B O Y,Gold IV,Victory,2019-09-23,27,10,1,12,22.0,106
T O X I C B O Y,Gold IV,Victory,2019-08-06,28,2,2,4,3.0,175
T O X I C B O Y,Gold IV,Defeat,2019-08-03,23,1,4,1,0.5,94
T O X I C B O Y,Gold IV,Defeat,2019-08-03,37,7,10,6,1.3,209
T O X I C B O Y,Gold IV,Victory,2019-08-01,27,3,0,4,7.0,209
T O X I C B O Y,Gold IV,Victory,2019-08-01,27,0,2,3,1.5,233
T O X I C B O Y,Gold IV,Victory,2019-08-01,27,5,3,8,4.33,189
T O X I C B O Y,Gold IV,Victory,2019-08-01,25,2,6,8,1.67,83
T O X I C B O Y,Gold IV,Defeat,2019-07-25,20,7,7,1,1.14,76
T O X I C B O Y,Gold IV,Victory,2019-07-25,24,17,5,7,4.8,174
