Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Taco de Azúcar,Diamond I,Defeat,2020-10-27,35,11,8,13,3.0,190
Taco de Azúcar,Diamond I,Defeat,2020-10-27,30,2,4,0,0.5,246
Taco de Azúcar,Diamond I,Victory,2020-10-27,16,5,0,2,7.0,158
Taco de Azúcar,Diamond I,Defeat,2020-10-27,31,9,5,7,3.2,191
Taco de Azúcar,Diamond I,Defeat,2020-10-24,39,6,6,10,2.67,244
Taco de Azúcar,Diamond I,Defeat,2020-10-24,28,5,6,5,1.67,176
Taco de Azúcar,Diamond I,Victory,2020-10-23,23,8,1,6,14.0,129
Taco de Azúcar,Diamond I,Defeat,2020-10-20,18,1,2,0,0.5,162
Taco de Azúcar,Diamond I,Defeat,2020-10-20,26,1,7,1,0.29,174
Taco de Azúcar,Diamond I,Victory,2020-10-20,20,4,1,10,14.0,144
Taco de Azúcar,Diamond I,Victory,2020-10-09,29,4,4,10,3.5,253
Taco de Azúcar,Diamond I,Defeat,2020-10-09,42,4,9,21,2.78,225
Taco de Azúcar,Diamond I,Victory,2020-10-09,32,3,5,11,2.8,241
Taco de Azúcar,Diamond I,Defeat,2020-10-09,31,2,4,8,2.5,228
Taco de Azúcar,Diamond I,Defeat,2020-10-09,29,1,7,1,0.29,202
Taco de Azúcar,Diamond I,Defeat,2020-10-06,28,8,7,2,1.43,161
Taco de Azúcar,Diamond I,Defeat,2020-10-06,23,3,6,4,1.17,146
Taco de Azúcar,Diamond I,Defeat,2020-10-06,29,0,7,3,0.43,192
Taco de Azúcar,Diamond I,Victory,2020-10-06,31,6,7,10,2.29,213
Taco de Azúcar,Diamond I,Defeat,2020-10-05,31,3,3,9,4.0,310
Taco de Azúcar,Diamond I,Victory,2020-10-05,38,10,5,5,3.0,302
Taco de Azúcar,Diamond I,Victory,2020-10-05,26,4,2,14,9.0,181
Taco de Azúcar,Diamond I,Defeat,2020-10-05,21,2,4,3,1.25,153
Taco de Azúcar,Diamond I,Defeat,2020-10-05,29,3,6,3,1.0,232
Taco de Azúcar,Diamond I,Defeat,2020-10-05,26,0,6,1,0.17,176
Taco de Azúcar,Diamond I,Victory,2020-09-29,27,4,5,11,3.0,152
Taco de Azúcar,Diamond I,Defeat,2020-09-29,35,6,5,8,2.8,291
Taco de Azúcar,Diamond I,Victory,2020-09-23,21,5,3,6,3.67,186
Taco de Azúcar,Diamond I,Victory,2020-09-23,30,3,6,8,1.83,207
Taco de Azúcar,Diamond I,Victory,2020-09-22,33,5,3,18,7.67,243
Taco de Azúcar,Diamond I,Defeat,2020-09-22,17,0,5,0,0.0,78
Taco de Azúcar,Diamond I,Victory,2020-09-22,35,9,5,14,4.6,224
Taco de Azúcar,Diamond I,Victory,2020-09-22,31,6,7,10,2.29,219
Taco de Azúcar,Diamond I,Victory,2020-09-21,15,5,4,2,1.75,136
Taco de Azúcar,Diamond I,Victory,2020-09-21,25,3,2,8,5.5,180
Taco de Azúcar,Diamond I,Victory,2020-09-21,34,7,11,11,1.64,183
Taco de Azúcar,Diamond I,Defeat,2020-09-21,32,8,8,4,1.5,208
Taco de Azúcar,Diamond I,Victory,2020-09-21,30,17,7,9,3.71,209
Taco de Azúcar,Diamond I,Victory,2020-09-21,31,3,3,6,3.0,249
Taco de Azúcar,Diamond I,Defeat,2020-09-21,21,0,4,3,0.75,178
Taco de Azúcar,Diamond I,Victory,2020-09-18,24,5,2,12,8.5,198
Taco de Azúcar,Diamond I,Defeat,2020-09-18,33,9,7,5,2.0,230
Taco de Azúcar,Diamond I,Victory,2020-09-18,23,6,3,5,3.67,156
Taco de Azúcar,Diamond I,Victory,2020-09-18,42,11,8,12,2.88,295
Taco de Azúcar,Diamond I,Victory,2020-09-17,32,3,5,10,2.6,172
Taco de Azúcar,Diamond I,Defeat,2020-09-17,21,9,2,1,5.0,188
Taco de Azúcar,Diamond I,Victory,2020-09-17,30,9,6,6,2.5,218
Taco de Azúcar,Diamond I,Victory,2020-09-17,24,8,2,12,10.0,197
Taco de Azúcar,Diamond I,Defeat,2020-09-17,33,3,6,4,1.17,197
Taco de Azúcar,Diamond I,Defeat,2020-09-17,34,7,8,11,2.25,231
Taco de Azúcar,Diamond I,Victory,2020-09-17,15,4,0,2,6.0,103
Taco de Azúcar,Diamond I,Defeat,2020-09-16,28,10,4,6,4.0,233
Taco de Azúcar,Diamond I,Victory,2020-09-16,20,4,4,15,4.75,138
Taco de Azúcar,Diamond I,Victory,2020-09-15,31,6,1,15,21.0,261
Taco de Azúcar,Diamond I,Victory,2020-09-12,29,11,2,5,8.0,217
Taco de Azúcar,Diamond I,Victory,2020-09-12,23,7,8,10,2.12,158
Taco de Azúcar,Diamond I,Defeat,2020-09-12,32,6,8,8,1.75,206
Taco de Azúcar,Diamond I,Victory,2020-09-12,40,21,7,11,4.57,284
Taco de Azúcar,Diamond I,Victory,2020-09-12,30,5,3,13,6.0,224
Taco de Azúcar,Diamond I,Defeat,2020-09-12,28,3,8,7,1.25,194
Taco de Azúcar,Diamond I,Victory,2020-09-12,20,6,3,5,3.67,134
Taco de Azúcar,Diamond I,Defeat,2020-09-05,35,9,10,1,1.0,252
Taco de Azúcar,Diamond I,Defeat,2020-09-05,30,9,7,9,2.57,243
Taco de Azúcar,Diamond I,Victory,2020-09-05,21,7,1,5,12.0,172
Taco de Azúcar,Diamond I,Defeat,2020-08-21,31,5,6,5,1.67,301
Taco de Azúcar,Diamond I,Defeat,2020-08-20,22,3,7,4,1.0,121
Taco de Azúcar,Diamond I,Victory,2020-08-20,27,1,6,7,1.33,237
Taco de Azúcar,Diamond I,Victory,2020-08-19,19,2,1,6,8.0,165
Taco de Azúcar,Diamond I,Victory,2020-08-19,18,6,0,5,11.0,134
Taco de Azúcar,Diamond I,Victory,2020-08-18,32,3,6,6,1.5,258
Taco de Azúcar,Diamond I,Victory,2020-08-18,33,10,4,9,4.75,267
Taco de Azúcar,Diamond I,Defeat,2020-08-18,38,9,8,12,2.62,239
Taco de Azúcar,Diamond I,Victory,2020-08-18,34,10,6,6,2.67,269
Taco de Azúcar,Diamond I,Defeat,2020-08-18,19,3,7,1,0.57,152
Taco de Azúcar,Diamond I,Victory,2020-08-18,27,8,3,5,4.33,168
Taco de Azúcar,Diamond I,Victory,2020-08-16,50,13,11,23,3.27,336
Taco de Azúcar,Diamond I,Victory,2020-08-16,27,7,6,7,2.33,152
Taco de Azúcar,Diamond I,Victory,2020-08-16,28,8,3,8,5.33,252
Taco de Azúcar,Diamond I,Victory,2020-08-15,32,10,5,11,4.2,256
Taco de Azúcar,Diamond I,Victory,2020-08-15,28,10,6,8,3.0,203
Taco de Azúcar,Diamond I,Defeat,2020-08-15,29,8,5,3,2.2,189
Taco de Azúcar,Diamond I,Defeat,2020-08-15,30,9,5,4,2.6,261
Taco de Azúcar,Diamond I,Victory,2020-08-15,38,8,5,11,3.8,289
Taco de Azúcar,Diamond I,Defeat,2020-06-08,20,0,5,2,0.4,152
Taco de Azúcar,Diamond I,Defeat,2020-04-29,30,6,7,7,1.86,245
Taco de Azúcar,Diamond I,Defeat,2020-04-29,28,5,7,10,2.14,173
Taco de Azúcar,Diamond I,Victory,2020-04-29,20,3,2,9,6.0,151
Taco de Azúcar,Diamond I,Defeat,2020-04-28,23,3,2,2,2.5,188
Taco de Azúcar,Diamond I,Victory,2020-04-28,33,12,3,13,8.33,246
Taco de Azúcar,Diamond I,Victory,2020-04-28,31,5,6,7,2.0,178
Taco de Azúcar,Diamond I,Defeat,2020-04-27,37,9,5,13,4.4,271
Taco de Azúcar,Diamond I,Victory,2020-04-27,34,4,8,8,1.5,217
Taco de Azúcar,Diamond I,Victory,2020-04-25,24,6,2,6,6.0,221
Taco de Azúcar,Diamond I,Defeat,2020-04-24,25,4,5,0,0.8,193
Taco de Azúcar,Diamond I,Defeat,2020-04-24,38,15,6,4,3.17,283
Taco de Azúcar,Diamond I,Defeat,2020-04-23,29,3,5,5,1.6,215
Taco de Azúcar,Diamond I,Defeat,2020-04-23,35,6,5,4,2.0,222
Taco de Azúcar,Diamond I,Victory,2020-04-22,26,7,3,6,4.33,249
Taco de Azúcar,Diamond I,Defeat,2020-04-22,35,4,9,9,1.44,212
