Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
TheKiller0704,Gold I,Defeat,2020-11-09,22,1,8,1,0.25,23
TheKiller0704,Gold I,Victory,2020-11-09,27,2,4,18,5.0,49
TheKiller0704,Gold I,Victory,2020-11-09,26,2,6,12,2.33,38
TheKiller0704,Gold I,Victory,2020-11-09,33,8,10,11,1.9,37
TheKiller0704,Gold I,Defeat,2020-11-09,23,3,6,2,0.83,147
TheKiller0704,Gold I,Victory,2020-11-09,34,7,6,11,3.0,231
TheKiller0704,Gold I,Victory,2020-11-09,26,10,3,7,5.67,148
TheKiller0704,Gold I,Defeat,2020-11-08,34,1,5,9,2.0,49
TheKiller0704,Gold I,Defeat,2020-11-08,27,6,7,5,1.57,142
TheKiller0704,Gold I,Defeat,2020-11-07,27,6,4,13,4.75,152
TheKiller0704,Gold I,Victory,2020-11-07,22,6,6,13,3.17,150
TheKiller0704,Gold I,Victory,2020-11-07,29,13,2,10,11.5,175
TheKiller0704,Gold I,Defeat,2020-11-06,28,6,6,7,2.17,157
TheKiller0704,Gold I,Victory,2020-11-06,30,7,3,9,5.33,199
TheKiller0704,Gold I,Victory,2020-11-06,21,10,1,5,15.0,139
TheKiller0704,Gold I,Victory,2020-11-04,26,10,4,13,5.75,154
TheKiller0704,Gold I,Defeat,2020-11-04,28,5,8,4,1.12,171
TheKiller0704,Gold I,Victory,2020-11-04,32,10,5,12,4.4,204
TheKiller0704,Gold I,Victory,2020-11-04,25,2,1,11,13.0,147
TheKiller0704,Gold I,Defeat,2020-11-04,21,12,4,6,4.5,137
TheKiller0704,Gold I,Victory,2020-11-04,19,8,1,3,11.0,150
TheKiller0704,Gold I,Victory,2020-11-04,25,6,2,11,8.5,183
TheKiller0704,Gold I,Victory,2020-11-03,30,2,4,9,2.75,224
TheKiller0704,Gold I,Defeat,2020-11-03,23,2,7,4,0.86,141
TheKiller0704,Gold I,Victory,2020-11-03,50,11,7,7,2.57,272
TheKiller0704,Gold I,Defeat,2020-11-03,28,8,7,5,1.86,163
TheKiller0704,Gold I,Defeat,2020-11-03,30,6,2,2,4.0,180
TheKiller0704,Gold I,Victory,2020-10-31,34,8,5,10,3.6,226
TheKiller0704,Gold I,Victory,2020-10-31,31,9,3,5,4.67,188
TheKiller0704,Gold I,Defeat,2020-10-31,24,6,7,3,1.29,125
TheKiller0704,Gold I,Defeat,2020-10-17,25,0,6,6,1.0,36
TheKiller0704,Gold I,Defeat,2020-10-17,21,0,3,5,1.67,131
TheKiller0704,Gold I,Victory,2020-10-10,30,1,3,12,4.33,37
TheKiller0704,Gold I,Victory,2020-09-18,40,14,9,5,2.11,256
TheKiller0704,Gold I,Defeat,2020-09-18,34,3,8,15,2.25,57
TheKiller0704,Gold I,Defeat,2020-09-18,36,1,6,21,3.67,39
TheKiller0704,Gold I,Defeat,2020-08-21,24,3,5,4,1.4,177
