Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
TheStrikeOut,Platinum I,Defeat,2020-09-27,36,7,6,11,3.0,183
TheStrikeOut,Platinum I,Defeat,2020-08-23,27,3,7,2,0.71,163
TheStrikeOut,Platinum I,Defeat,2020-08-06,26,2,5,7,1.8,171
TheStrikeOut,Platinum I,Defeat,2020-08-06,24,2,4,1,0.75,127
TheStrikeOut,Platinum I,Defeat,2020-08-04,28,4,5,4,1.6,176
TheStrikeOut,Platinum I,Defeat,2020-08-04,21,1,2,1,1.0,149
TheStrikeOut,Platinum I,Victory,2020-08-04,29,6,3,10,5.33,231
TheStrikeOut,Platinum I,Defeat,2020-08-03,28,2,6,6,1.33,181
TheStrikeOut,Platinum I,Defeat,2020-08-03,31,5,3,10,5.0,219
TheStrikeOut,Platinum I,Defeat,2020-08-03,34,9,5,14,4.6,199
TheStrikeOut,Platinum I,Victory,2020-08-02,40,13,5,12,5.0,293
TheStrikeOut,Platinum I,Victory,2020-08-02,26,9,4,8,4.25,193
TheStrikeOut,Platinum I,Defeat,2020-08-02,27,3,5,8,2.2,167
TheStrikeOut,Platinum I,Victory,2020-08-02,38,7,5,9,3.2,230
TheStrikeOut,Platinum I,Victory,2020-08-02,25,8,3,10,6.0,169
TheStrikeOut,Platinum I,Defeat,2020-08-02,26,2,8,5,0.88,153
TheStrikeOut,Platinum I,Victory,2020-08-02,29,11,2,10,10.5,214
TheStrikeOut,Platinum I,Victory,2020-08-02,30,9,2,9,9.0,208
TheStrikeOut,Platinum I,Victory,2020-08-02,26,8,3,11,6.33,36
TheStrikeOut,Platinum I,Defeat,2020-08-01,24,4,4,2,1.5,137
TheStrikeOut,Platinum I,Victory,2020-08-01,29,11,2,10,10.5,176
TheStrikeOut,Platinum I,Defeat,2020-08-01,22,4,4,0,1.0,156
TheStrikeOut,Platinum I,Victory,2020-08-01,22,11,0,6,17.0,158
TheStrikeOut,Platinum I,Victory,2020-08-01,24,1,2,2,1.5,167
