Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
The Try End,Gold I,Victory,2020-12-12,31,5,7,12,2.43,135
The Try End,Gold I,Defeat,2020-12-08,40,3,5,15,3.6,220
The Try End,Gold I,Victory,2020-12-07,33,15,6,7,3.67,204
The Try End,Gold I,Victory,2020-12-07,25,7,4,9,4.0,164
The Try End,Gold I,Victory,2020-12-07,26,16,5,6,4.4,188
The Try End,Gold I,Victory,2020-12-07,28,15,1,12,27.0,213
The Try End,Gold I,Defeat,2020-12-07,38,6,12,17,1.92,226
The Try End,Gold I,Victory,2020-12-07,22,1,5,7,1.6,126
The Try End,Gold I,Victory,2020-12-07,23,16,4,3,4.75,204
The Try End,Gold I,Victory,2020-12-07,36,12,8,10,2.75,247
The Try End,Gold I,Victory,2020-12-07,37,17,6,7,4.0,274
The Try End,Gold I,Defeat,2020-04-10,37,2,8,2,0.5,212
The Try End,Gold I,Victory,2020-04-10,28,8,2,15,11.5,73
The Try End,Gold I,Defeat,2020-04-08,37,15,2,9,12.0,229
The Try End,Gold I,Victory,2020-04-07,25,7,1,4,11.0,175
The Try End,Gold I,Defeat,2020-04-06,32,6,4,3,2.25,236
The Try End,Gold I,Defeat,2020-03-29,24,2,5,4,1.2,118
The Try End,Gold I,Victory,2020-03-29,26,8,2,4,6.0,225
The Try End,Gold I,Victory,2020-03-29,25,15,4,8,5.75,161
The Try End,Gold I,Defeat,2020-03-28,28,2,11,2,0.36,140
The Try End,Gold I,Defeat,2020-03-28,30,12,7,7,2.71,148
The Try End,Gold I,Defeat,2020-03-27,23,4,10,3,0.7,92
The Try End,Gold I,Defeat,2020-03-17,39,6,8,12,2.25,257
The Try End,Gold I,Defeat,2020-03-16,25,5,12,7,1.0,92
The Try End,Gold I,Defeat,2020-03-16,34,4,11,13,1.55,59
The Try End,Gold I,Defeat,2020-03-16,32,15,12,7,1.83,175
The Try End,Gold I,Victory,2020-03-16,25,11,3,7,6.0,138
The Try End,Gold I,Victory,2020-03-15,21,3,1,7,10.0,57
The Try End,Gold I,Victory,2020-03-15,30,5,0,16,21.0,56
The Try End,Gold I,Defeat,2020-03-15,28,2,9,6,0.89,86
The Try End,Gold I,Victory,2020-03-14,31,19,2,4,11.5,198
The Try End,Gold I,Defeat,2020-03-14,30,5,8,9,1.75,157
The Try End,Gold I,Victory,2020-03-14,37,8,12,11,1.58,245
The Try End,Gold I,Defeat,2020-03-14,24,6,6,5,1.83,150
The Try End,Gold I,Victory,2020-03-14,28,15,3,8,7.67,217
The Try End,Gold I,Defeat,2020-03-13,25,8,10,2,1.0,143
The Try End,Gold I,Victory,2020-03-11,30,9,7,9,2.57,200
The Try End,Gold I,Victory,2020-03-11,40,10,11,14,2.18,199
The Try End,Gold I,Victory,2020-03-11,22,10,1,5,15.0,130
The Try End,Gold I,Victory,2020-03-09,37,7,8,7,1.75,243
The Try End,Gold I,Victory,2020-03-09,33,5,6,23,4.67,76
The Try End,Gold I,Defeat,2020-03-08,32,5,4,14,4.75,137
The Try End,Gold I,Defeat,2020-03-08,23,5,9,8,1.44,50
The Try End,Gold I,Victory,2020-03-08,43,14,7,17,4.43,246
The Try End,Gold I,Victory,2020-03-08,35,10,6,15,4.17,163
The Try End,Gold I,Victory,2020-03-08,32,11,5,19,6.0,172
The Try End,Gold I,Defeat,2020-03-07,34,7,6,16,3.83,43
The Try End,Gold I,Victory,2020-02-29,28,15,5,10,5.0,236
The Try End,Gold I,Victory,2020-02-23,31,5,7,13,2.57,255
The Try End,Gold I,Defeat,2020-02-23,44,7,9,15,2.44,297
The Try End,Gold I,Victory,2020-02-14,32,10,4,16,6.5,199
The Try End,Gold I,Victory,2020-02-09,25,6,7,5,1.57,170
The Try End,Gold I,Victory,2020-02-09,36,29,7,14,6.14,178
The Try End,Gold I,Defeat,2020-02-09,22,2,5,5,1.4,115
The Try End,Gold I,Victory,2020-02-09,30,7,8,19,3.25,166
The Try End,Gold I,Victory,2020-02-09,25,3,1,6,9.0,171
The Try End,Gold I,Victory,2020-02-09,35,14,6,8,3.67,205
The Try End,Gold I,Defeat,2020-02-09,29,7,10,10,1.7,119
The Try End,Gold I,Victory,2020-02-09,31,15,5,14,5.8,185
The Try End,Gold I,Defeat,2020-02-09,26,7,7,6,1.86,117
The Try End,Gold I,Victory,2020-02-09,29,14,6,5,3.17,178
The Try End,Gold I,Defeat,2020-02-09,25,6,11,2,0.73,105
The Try End,Gold I,Victory,2020-02-09,38,5,11,18,2.09,215
The Try End,Gold I,Victory,2020-02-08,35,15,3,5,6.67,282
The Try End,Gold I,Defeat,2020-02-08,26,2,4,5,1.75,60
The Try End,Gold I,Defeat,2020-02-08,30,3,7,12,2.14,21
The Try End,Gold I,Defeat,2020-02-08,23,2,7,5,1.0,44
The Try End,Gold I,Victory,2020-02-08,25,6,0,7,13.0,170
The Try End,Gold I,Victory,2020-02-08,44,6,8,35,5.12,89
The Try End,Gold I,Victory,2020-02-08,31,7,9,9,1.78,179
The Try End,Gold I,Victory,2020-02-08,29,7,4,20,6.75,24
The Try End,Gold I,Victory,2020-02-08,37,5,7,10,2.14,208
The Try End,Gold I,Defeat,2020-01-25,25,3,10,4,0.7,100
The Try End,Gold I,Defeat,2020-01-25,26,0,10,7,0.7,113
The Try End,Gold I,Defeat,2020-01-25,34,13,8,5,2.25,197
The Try End,Gold I,Defeat,2019-12-27,44,13,8,18,3.88,207
The Try End,Gold I,Defeat,2019-12-27,34,14,14,8,1.57,192
The Try End,Gold I,Victory,2019-11-18,40,8,9,9,1.89,263
The Try End,Gold I,Defeat,2019-11-18,28,7,8,12,2.38,160
The Try End,Gold I,Victory,2019-11-16,29,5,5,7,2.4,205
The Try End,Gold I,Defeat,2019-11-13,27,5,6,5,1.67,144
The Try End,Gold I,Defeat,2019-11-13,29,6,5,5,2.2,169
The Try End,Gold I,Victory,2019-11-13,31,8,8,9,2.12,176
The Try End,Gold I,Defeat,2019-11-12,24,9,5,6,3.0,143
The Try End,Gold I,Defeat,2019-11-12,27,4,5,4,1.6,118
The Try End,Gold I,Victory,2019-11-12,14,3,0,4,7.0,94
The Try End,Gold I,Victory,2019-11-12,26,10,6,2,2.0,171
The Try End,Gold I,Defeat,2019-11-12,31,2,9,10,1.33,232
The Try End,Gold I,Victory,2019-11-10,30,14,6,11,4.17,226
The Try End,Gold I,Victory,2019-11-10,25,21,5,7,5.6,149
The Try End,Gold I,Defeat,2019-11-10,29,5,9,7,1.33,185
The Try End,Gold I,Victory,2019-11-10,25,15,5,5,4.0,189
The Try End,Gold I,Defeat,2019-11-03,35,10,7,6,2.29,239
The Try End,Gold I,Victory,2019-10-28,29,7,6,14,3.5,187
The Try End,Gold I,Victory,2019-10-27,34,4,8,4,1.0,151
The Try End,Gold I,Victory,2019-10-27,27,8,5,8,3.2,167
The Try End,Gold I,Victory,2019-10-26,30,4,11,18,2.0,99
The Try End,Gold I,Defeat,2019-10-20,23,3,10,0,0.3,98
The Try End,Gold I,Victory,2019-10-20,27,10,1,3,13.0,223
