Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
TiburonsinMujaja,Bronze I,Victory,2020-07-08,28,4,1,16,20.0,35
TiburonsinMujaja,Bronze I,Defeat,2020-06-27,20,0,7,0,0.0,72
TiburonsinMujaja,Bronze I,Defeat,2020-04-05,38,2,9,11,1.44,184
TiburonsinMujaja,Bronze I,Defeat,2020-04-04,31,11,8,8,2.38,114
TiburonsinMujaja,Bronze I,Victory,2020-04-04,30,10,5,7,3.4,139
TiburonsinMujaja,Bronze I,Victory,2020-04-04,20,9,0,2,11.0,117
TiburonsinMujaja,Bronze I,Victory,2020-04-04,21,9,0,6,15.0,166
TiburonsinMujaja,Bronze I,Victory,2020-04-04,29,17,4,10,6.75,143
TiburonsinMujaja,Bronze I,Defeat,2020-04-03,33,9,8,12,2.62,106
TiburonsinMujaja,Bronze I,Defeat,2020-03-04,37,9,11,6,1.36,217
TiburonsinMujaja,Bronze I,Defeat,2020-03-01,30,6,6,6,2.0,191
TiburonsinMujaja,Bronze I,Defeat,2020-03-01,33,6,9,16,2.44,38
TiburonsinMujaja,Bronze I,Victory,2020-03-01,25,9,1,8,17.0,175
TiburonsinMujaja,Bronze I,Victory,2020-03-01,17,6,0,1,7.0,156
TiburonsinMujaja,Bronze I,Victory,2020-02-29,35,19,8,10,3.62,209
TiburonsinMujaja,Bronze I,Victory,2020-02-29,26,6,5,11,3.4,147
TiburonsinMujaja,Bronze I,Victory,2020-02-10,29,11,6,8,3.17,169
TiburonsinMujaja,Bronze I,Defeat,2020-01-27,27,4,6,9,2.17,35
TiburonsinMujaja,Bronze I,Defeat,2020-01-27,37,0,9,8,0.89,153
TiburonsinMujaja,Bronze I,Victory,2020-01-14,28,6,3,12,6.0,198
TiburonsinMujaja,Bronze I,Victory,2020-01-14,28,2,3,13,5.0,28
TiburonsinMujaja,Bronze I,Victory,2020-01-06,33,4,13,17,1.62,29
TiburonsinMujaja,Bronze I,Defeat,2019-11-11,29,0,7,5,0.71,4
TiburonsinMujaja,Bronze I,Defeat,2019-10-29,31,1,6,2,0.5,126
TiburonsinMujaja,Bronze I,Defeat,2019-10-14,39,5,9,26,3.44,18
TiburonsinMujaja,Bronze I,Defeat,2019-10-14,31,8,10,3,1.1,145
TiburonsinMujaja,Bronze I,Victory,2019-10-11,26,4,6,12,2.67,73
TiburonsinMujaja,Bronze I,Victory,2019-10-11,20,4,3,15,6.33,30
TiburonsinMujaja,Bronze I,Defeat,2019-08-12,32,6,12,9,1.25,35
TiburonsinMujaja,Bronze I,Victory,2019-08-10,25,1,1,15,16.0,5
TiburonsinMujaja,Bronze I,Victory,2019-08-10,21,4,2,19,11.5,1
TiburonsinMujaja,Bronze I,Defeat,2019-08-10,37,2,7,15,2.43,2
TiburonsinMujaja,Bronze I,Victory,2019-07-14,34,4,4,3,1.75,219
TiburonsinMujaja,Bronze I,Defeat,2019-07-14,20,1,4,2,0.75,116
TiburonsinMujaja,Bronze I,Defeat,2019-05-17,26,4,4,3,1.75,136
TiburonsinMujaja,Bronze I,Defeat,2019-05-16,27,5,6,12,2.83,118
TiburonsinMujaja,Bronze I,Defeat,2019-05-16,39,10,11,11,1.91,151
TiburonsinMujaja,Bronze I,Victory,2019-05-16,25,2,4,2,1.0,130
TiburonsinMujaja,Bronze I,Defeat,2019-05-12,32,5,5,9,2.8,191
TiburonsinMujaja,Bronze I,Victory,2019-05-12,27,9,4,5,3.5,159
TiburonsinMujaja,Bronze I,Defeat,2019-05-11,25,0,4,13,3.25,8
TiburonsinMujaja,Bronze I,Defeat,2019-05-11,42,21,5,7,5.6,201
TiburonsinMujaja,Bronze I,Victory,2019-05-10,23,7,2,4,5.5,122
TiburonsinMujaja,Bronze I,Defeat,2019-05-05,32,7,7,4,1.57,202
TiburonsinMujaja,Bronze I,Defeat,2019-05-05,23,2,7,1,0.43,114
TiburonsinMujaja,Bronze I,Victory,2019-04-29,30,16,4,9,6.25,166
TiburonsinMujaja,Bronze I,Victory,2019-04-21,31,15,3,17,10.67,185
TiburonsinMujaja,Bronze I,Victory,2019-04-18,58,12,14,18,2.14,253
TiburonsinMujaja,Bronze I,Victory,2019-04-18,32,9,2,13,11.0,186
TiburonsinMujaja,Bronze I,Defeat,2019-04-17,24,8,2,1,4.5,132
TiburonsinMujaja,Bronze I,Victory,2019-04-17,28,9,0,8,17.0,196
TiburonsinMujaja,Bronze I,Victory,2019-04-12,31,6,7,4,1.43,209
TiburonsinMujaja,Bronze I,Victory,2019-04-11,38,12,6,16,4.67,237
TiburonsinMujaja,Bronze I,Defeat,2019-04-05,27,6,5,1,1.4,204
TiburonsinMujaja,Bronze I,Defeat,2019-04-03,29,0,8,6,0.75,162
TiburonsinMujaja,Bronze I,Victory,2019-04-03,24,2,3,16,6.0,3
TiburonsinMujaja,Bronze I,Victory,2019-04-03,33,2,10,19,2.1,9
TiburonsinMujaja,Bronze I,Defeat,2019-03-30,45,20,9,19,4.33,234
TiburonsinMujaja,Bronze I,Victory,2019-03-30,29,6,5,7,2.6,96
TiburonsinMujaja,Bronze I,Victory,2019-03-30,31,11,4,8,4.75,179
TiburonsinMujaja,Bronze I,Defeat,2019-03-23,42,10,11,11,1.91,209
TiburonsinMujaja,Bronze I,Defeat,2019-03-12,20,4,2,0,2.0,104
TiburonsinMujaja,Bronze I,Defeat,2019-03-10,26,5,6,3,1.33,180
TiburonsinMujaja,Bronze I,Victory,2019-03-10,30,17,2,5,11.0,219
TiburonsinMujaja,Bronze I,Defeat,2019-03-08,28,3,3,2,1.67,120
TiburonsinMujaja,Bronze I,Defeat,2019-03-06,25,1,4,12,3.25,16
TiburonsinMujaja,Bronze I,Defeat,2019-03-05,43,12,11,5,1.55,217
TiburonsinMujaja,Bronze I,Victory,2019-03-04,36,6,5,9,3.0,167
TiburonsinMujaja,Bronze I,Victory,2019-03-04,22,4,1,7,11.0,141
TiburonsinMujaja,Bronze I,Defeat,2019-03-03,38,8,9,6,1.56,232
TiburonsinMujaja,Bronze I,Victory,2019-03-03,22,6,2,0,3.0,122
TiburonsinMujaja,Bronze I,Defeat,2019-02-28,29,4,5,5,1.8,191
TiburonsinMujaja,Bronze I,Victory,2019-02-28,31,2,5,8,2.0,129
TiburonsinMujaja,Bronze I,Victory,2019-02-26,30,6,3,5,3.67,173
TiburonsinMujaja,Bronze I,Victory,2019-02-24,35,10,5,6,3.2,172
TiburonsinMujaja,Bronze I,Victory,2019-02-24,36,3,9,1,0.44,161
TiburonsinMujaja,Bronze I,Defeat,2019-02-24,28,5,8,0,0.62,120
TiburonsinMujaja,Bronze I,Victory,2019-02-22,44,10,7,7,2.43,271
TiburonsinMujaja,Bronze I,Victory,2019-02-18,32,6,5,9,3.0,182
TiburonsinMujaja,Bronze I,Defeat,2019-02-03,32,4,11,7,1.0,129
TiburonsinMujaja,Bronze I,Defeat,2019-02-03,39,0,7,6,0.86,11
TiburonsinMujaja,Bronze I,Defeat,2019-02-03,28,2,4,10,3.0,8
TiburonsinMujaja,Bronze I,Victory,2019-02-03,27,6,5,4,2.0,152
TiburonsinMujaja,Bronze I,Defeat,2019-02-01,60,9,8,9,2.25,295
TiburonsinMujaja,Bronze I,Defeat,2019-02-01,31,6,11,3,0.82,159
TiburonsinMujaja,Bronze I,Defeat,2019-02-01,27,5,7,5,1.43,116
TiburonsinMujaja,Bronze I,Defeat,2019-01-31,22,3,4,1,1.0,137
TiburonsinMujaja,Bronze I,Defeat,2019-01-31,31,3,5,4,1.4,199
TiburonsinMujaja,Bronze I,Defeat,2019-01-29,37,4,6,9,2.17,194
TiburonsinMujaja,Bronze I,Defeat,2019-01-29,23,2,9,4,0.67,58
TiburonsinMujaja,Bronze I,Victory,2019-01-28,35,13,9,9,2.44,126
TiburonsinMujaja,Bronze I,Defeat,2019-01-28,26,8,7,3,1.57,72
TiburonsinMujaja,Bronze I,Defeat,2019-01-28,26,6,9,5,1.22,94
TiburonsinMujaja,Bronze I,Victory,2019-01-25,24,1,0,3,4.0,131
TiburonsinMujaja,Bronze I,Victory,2019-01-17,21,10,4,6,4.0,76
