Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
TigoBolt Putin,Challenger,Victory,2020-11-24,16,3,2,5,4.0,114
TigoBolt Putin,Challenger,Victory,2020-11-24,42,13,4,11,6.0,353
TigoBolt Putin,Challenger,Defeat,2020-11-23,24,0,5,4,0.8,233
TigoBolt Putin,Challenger,Defeat,2020-11-22,30,15,5,7,4.4,239
TigoBolt Putin,Challenger,Victory,2020-11-12,25,12,4,1,3.25,211
TigoBolt Putin,Challenger,Victory,2020-11-12,21,9,3,6,5.0,154
TigoBolt Putin,Challenger,Victory,2020-11-08,33,9,10,13,2.2,196
TigoBolt Putin,Challenger,Victory,2020-11-08,26,9,1,2,11.0,287
TigoBolt Putin,Challenger,Victory,2020-11-08,24,9,0,3,12.0,220
TigoBolt Putin,Challenger,Victory,2020-11-08,29,11,4,9,5.0,211
TigoBolt Putin,Challenger,Victory,2020-11-07,24,9,2,13,11.0,35
TigoBolt Putin,Challenger,Victory,2020-11-06,19,2,1,8,10.0,159
TigoBolt Putin,Challenger,Defeat,2020-11-05,33,5,6,2,1.17,230
TigoBolt Putin,Challenger,Defeat,2020-11-04,31,6,3,19,8.33,215
TigoBolt Putin,Challenger,Victory,2020-10-29,33,5,4,20,6.25,203
TigoBolt Putin,Challenger,Victory,2020-10-26,22,5,7,5,1.43,157
TigoBolt Putin,Challenger,Defeat,2020-10-26,12,2,4,2,1.0,42
TigoBolt Putin,Challenger,Defeat,2020-10-26,26,9,6,7,2.67,186
TigoBolt Putin,Challenger,Defeat,2020-10-25,32,5,7,7,1.71,250
TigoBolt Putin,Challenger,Victory,2020-10-25,24,3,4,9,3.0,173
TigoBolt Putin,Challenger,Victory,2020-10-23,16,4,0,4,8.0,133
TigoBolt Putin,Challenger,Defeat,2020-10-23,30,6,5,3,1.8,225
TigoBolt Putin,Challenger,Victory,2020-10-22,29,10,5,7,3.4,199
TigoBolt Putin,Challenger,Defeat,2020-10-21,33,8,6,4,2.0,206
