Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Trash Bandicot,Platinum I,Defeat,2020-09-04,30,6,7,18,3.43,21
Trash Bandicot,Platinum I,Defeat,2020-09-04,35,3,8,13,2.0,220
Trash Bandicot,Platinum I,Victory,2020-09-04,32,5,4,11,4.0,30
Trash Bandicot,Platinum I,Victory,2020-09-03,26,2,5,13,3.0,31
Trash Bandicot,Platinum I,Victory,2020-09-03,27,3,6,22,4.17,20
Trash Bandicot,Platinum I,Defeat,2020-09-03,19,1,4,1,0.5,109
Trash Bandicot,Platinum I,Victory,2020-09-03,43,10,10,14,2.4,158
Trash Bandicot,Platinum I,Victory,2020-09-03,24,10,1,1,11.0,160
Trash Bandicot,Platinum I,Victory,2020-08-31,17,2,1,20,22.0,16
Trash Bandicot,Platinum I,Victory,2020-08-30,28,2,2,13,7.5,32
Trash Bandicot,Platinum I,Defeat,2020-08-30,39,3,13,16,1.46,60
Trash Bandicot,Platinum I,Defeat,2020-08-30,26,3,6,1,0.67,110
Trash Bandicot,Platinum I,Victory,2020-08-30,21,1,0,4,5.0,135
Trash Bandicot,Platinum I,Victory,2020-08-30,25,4,3,6,3.33,152
Trash Bandicot,Platinum I,Victory,2020-08-30,25,5,5,5,2.0,174
Trash Bandicot,Platinum I,Victory,2020-08-30,26,3,3,8,3.67,141
Trash Bandicot,Platinum I,Victory,2020-08-30,35,7,3,13,6.67,163
Trash Bandicot,Platinum I,Defeat,2020-08-30,41,3,6,8,1.83,205
Trash Bandicot,Platinum I,Victory,2020-08-30,30,10,5,3,2.6,199
Trash Bandicot,Platinum I,Victory,2020-08-30,33,2,2,8,5.0,244
Trash Bandicot,Platinum I,Victory,2020-08-30,20,7,3,2,3.0,104
Trash Bandicot,Platinum I,Victory,2020-08-29,21,3,0,7,10.0,135
Trash Bandicot,Platinum I,Victory,2020-08-29,26,8,0,10,18.0,147
Trash Bandicot,Platinum I,Victory,2020-08-29,38,14,5,8,4.4,178
Trash Bandicot,Platinum I,Victory,2020-08-29,36,3,5,13,3.2,178
Trash Bandicot,Platinum I,Victory,2020-08-29,33,13,5,4,3.4,192
Trash Bandicot,Platinum I,Defeat,2020-08-29,29,8,5,2,2.0,110
Trash Bandicot,Platinum I,Victory,2020-08-29,35,10,4,4,3.5,162
Trash Bandicot,Platinum I,Victory,2020-08-29,27,12,3,4,5.33,136
Trash Bandicot,Platinum I,Defeat,2020-08-29,15,2,4,3,1.25,86
Trash Bandicot,Platinum I,Defeat,2020-08-29,28,1,8,9,1.25,42
Trash Bandicot,Platinum I,Victory,2020-08-28,22,7,5,13,4.0,19
Trash Bandicot,Platinum I,Victory,2020-08-28,27,3,3,11,4.67,18
Trash Bandicot,Platinum I,Victory,2020-08-28,24,9,2,0,4.5,154
Trash Bandicot,Platinum I,Victory,2020-08-28,23,3,2,8,5.5,110
Trash Bandicot,Platinum I,Defeat,2020-08-28,42,4,6,10,2.33,238
Trash Bandicot,Platinum I,Victory,2020-08-28,21,1,1,12,13.0,127
Trash Bandicot,Platinum I,Victory,2020-08-28,28,11,0,4,15.0,178
Trash Bandicot,Platinum I,Victory,2020-08-28,46,3,10,23,2.6,154
Trash Bandicot,Platinum I,Victory,2020-08-28,38,4,7,13,2.43,215
Trash Bandicot,Platinum I,Victory,2020-08-28,22,7,2,11,9.0,146
Trash Bandicot,Platinum I,Victory,2020-08-28,33,5,7,12,2.43,179
Trash Bandicot,Platinum I,Defeat,2020-08-22,28,3,4,9,3.0,18
Trash Bandicot,Platinum I,Defeat,2020-08-21,24,0,0,0,0.0,20
Trash Bandicot,Platinum I,Victory,2020-08-21,29,6,4,11,4.25,168
