Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Tw Mrzebrapug055,GrandMaster,Defeat,2020-11-01,23,0,6,3,0.5,131
Tw Mrzebrapug055,GrandMaster,Defeat,2020-11-01,22,2,5,5,1.4,108
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-31,23,1,4,2,0.75,102
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-31,27,7,1,9,16.0,177
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-31,31,2,6,4,1.0,169
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-31,30,3,7,5,1.14,210
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-31,28,5,7,9,2.0,105
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-30,20,2,2,6,4.0,110
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-30,27,2,2,8,5.0,206
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-28,24,5,1,8,13.0,92
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-27,40,3,9,10,1.44,174
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-25,31,3,6,11,2.33,152
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-21,23,2,7,7,1.29,108
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-18,23,3,6,4,1.17,126
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-17,31,3,6,5,1.33,202
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-17,25,7,10,8,1.5,90
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-15,38,10,5,21,6.2,218
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-15,24,0,5,5,1.0,135
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-14,20,2,4,9,2.75,102
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-13,22,3,7,3,0.86,125
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-13,24,4,10,3,0.7,137
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-12,36,6,5,21,5.4,161
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-12,40,8,7,18,3.71,228
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-12,28,3,5,16,3.8,166
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-10,32,3,3,13,5.33,180
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-10,29,2,5,7,1.8,138
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-08,29,3,5,3,1.2,160
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-08,26,12,3,11,7.67,104
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-03,27,1,4,6,1.75,152
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-03,39,6,6,14,3.33,144
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-03,28,3,4,10,3.25,158
Tw Mrzebrapug055,GrandMaster,Defeat,2020-10-01,22,1,7,3,0.57,117
Tw Mrzebrapug055,GrandMaster,Victory,2020-10-01,32,6,2,11,8.5,190
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-30,16,1,3,3,1.33,91
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-30,17,3,1,1,4.0,111
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-30,30,0,8,3,0.38,133
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-30,23,3,2,6,4.5,111
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-29,17,0,5,0,0.0,103
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-27,21,3,4,11,3.5,158
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-27,31,6,3,14,6.67,169
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-27,33,1,6,8,1.5,160
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-27,30,3,4,7,2.5,169
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-27,33,5,6,21,4.33,175
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-22,15,2,2,1,1.5,97
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-22,23,3,5,5,1.6,153
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-22,22,3,2,6,4.5,155
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-22,39,4,6,9,2.17,201
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-22,28,8,5,5,2.6,177
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-22,29,1,4,11,3.0,148
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-21,35,5,6,20,4.17,154
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-21,15,2,1,3,5.0,104
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-21,31,5,8,10,1.88,144
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-21,27,1,2,12,6.5,136
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-20,27,2,5,9,2.2,129
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-20,28,5,6,3,1.33,158
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-19,31,8,6,17,4.17,155
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-17,30,5,2,8,6.5,201
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-15,26,2,1,15,17.0,164
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-13,21,2,9,6,0.89,97
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-12,35,5,2,26,15.5,134
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-12,25,2,3,1,1.0,142
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-12,25,0,5,3,0.6,134
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-12,22,6,4,10,4.0,130
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-12,18,2,0,2,4.0,142
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-11,35,4,6,16,3.33,175
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-10,35,4,5,7,2.2,207
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-10,27,1,4,7,2.0,167
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-10,29,3,4,3,1.5,175
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-08,31,4,6,15,3.17,213
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-08,29,2,8,8,1.25,145
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-08,30,4,7,13,2.43,176
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-08,24,5,5,2,1.4,153
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-08,39,4,5,18,4.4,220
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-08,23,0,3,0,0.0,169
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-07,31,9,6,12,3.5,149
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-07,27,3,4,18,5.25,152
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-07,35,10,6,16,4.33,148
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-07,25,1,4,8,2.25,134
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-07,26,4,5,3,1.4,175
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-07,24,1,6,1,0.33,148
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-07,24,3,2,8,5.5,185
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-07,12,2,0,3,5.0,66
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-07,27,12,2,9,10.5,148
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-07,24,3,6,3,1.0,124
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-07,30,4,5,11,3.0,169
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-07,30,2,4,1,0.75,183
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-06,26,0,5,5,1.0,152
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-06,32,9,2,14,11.5,208
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-06,32,3,5,15,3.6,188
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-06,27,2,5,8,2.0,174
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-06,27,1,5,9,2.0,146
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-05,18,2,3,10,4.0,107
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-05,27,2,5,7,1.8,143
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-05,22,3,3,3,2.0,131
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-05,29,2,7,7,1.29,139
Tw Mrzebrapug055,GrandMaster,Defeat,2020-09-05,20,0,2,3,1.5,128
Tw Mrzebrapug055,GrandMaster,Victory,2020-09-04,36,8,7,19,3.86,165
