,W/L/R,Date,Duration,KDA,CS
0,Victory,6 days ago,23min,19  /  2  /  4,178 CS
1,Defeat,7 days ago,41min,14  /  10  /  3,332 CS
2,Defeat,7 days ago,25min,4  /  4  /  3,183 CS
3,Victory,7 days ago,25min,6  /  4  /  4,191 CS
4,Defeat,9 days ago,24min,5  /  9  /  4,145 CS
5,Defeat,9 days ago,29min,2  /  8  /  2,199 CS
6,Victory,10 days ago,36min,7  /  4  /  10,305 CS
7,Victory,10 days ago,29min,10  /  5  /  4,241 CS
8,Victory,10 days ago,21min,3  /  1  /  4,176 CS
9,Defeat,10 days ago,28min,2  /  4  /  4,256 CS
10,Victory,12 days ago,16min,8  /  3  /  0,135 CS
11,Victory,12 days ago,25min,7  /  6  /  5,139 CS
12,Victory,12 days ago,31min,4  /  3  /  0,318 CS
13,Victory,12 days ago,26min,13  /  5  /  16,211 CS
14,Defeat,13 days ago,29min,5  /  7  /  2,236 CS
15,Defeat,13 days ago,28min,2  /  7  /  5,197 CS
16,Defeat,14 days ago,29min,7  /  10  /  4,181 CS
17,Defeat,14 days ago,35min,9  /  8  /  8,254 CS
18,Defeat,14 days ago,37min,19  /  9  /  2,309 CS
19,Victory,14 days ago,28min,9  /  2  /  12,223 CS
20,Victory,16 days ago,20min,10  /  7  /  3,148 CS
21,Defeat,16 days ago,26min,5  /  11  /  2,153 CS
22,Defeat,17 days ago,22min,4  /  4  /  1,156 CS
23,Victory,17 days ago,27min,23  /  2  /  4,226 CS
24,Victory,17 days ago,40min,10  /  6  /  3,292 CS
25,Victory,18 days ago,21min,2  /  1  /  8,184 CS
26,Defeat,18 days ago,28min,5  /  8  /  2,206 CS
27,Defeat,19 days ago,36min,5  /  6  /  7,324 CS
28,Victory,19 days ago,29min,12  /  5  /  4,241 CS
29,Victory,19 days ago,21min,10  /  3  /  7,151 CS
30,Victory,19 days ago,16min,6  /  2  /  1,104 CS
31,Defeat,19 days ago,34min,8  /  5  /  1,259 CS
32,Defeat,21 days ago,41min,11  /  6  /  7,316 CS
33,Victory,23 days ago,18min,6  /  1  /  4,179 CS
34,Defeat,23 days ago,23min,1  /  3  /  0,168 CS
35,Defeat,25 days ago,26min,5  /  7  /  4,206 CS
36,Victory,26 days ago,24min,6  /  3  /  6,173 CS
37,Victory,26 days ago,25min,4  /  2  /  11,199 CS
38,Victory,27 days ago,19min,3  /  1  /  4,157 CS
39,Victory,27 days ago,19min,7  /  3  /  4,203 CS
40,Victory,27 days ago,23min,5  /  2  /  4,231 CS
41,Victory,27 days ago,22min,12  /  1  /  3,215 CS
42,Defeat,27 days ago,29min,7  /  7  /  2,215 CS
43,Defeat,27 days ago,29min,9  /  7  /  4,213 CS
44,Victory,27 days ago,23min,12  /  3  /  1,210 CS
45,Defeat,27 days ago,24min,3  /  5  /  2,179 CS
46,Defeat,27 days ago,27min,4  /  4  /  2,193 CS
47,Victory,27 days ago,17min,5  /  2  /  1,163 CS
48,Victory,28 days ago,20min,2  /  5  /  1,168 CS
49,Victory,28 days ago,22min,4  /  4  /  6,191 CS
50,Defeat,28 days ago,24min,4  /  7  /  1,169 CS
51,Victory,30 days ago,27min,7  /  1  /  5,230 CS
52,Victory,30 days ago,36min,8  /  6  /  9,212 CS
53,Victory,30 days ago,22min,7  /  1  /  1,218 CS
54,Defeat,30 days ago,41min,1  /  8  /  9,386 CS
55,Victory,30 days ago,25min,17  /  5  /  10,209 CS
56,Victory,31 days ago,49min,15  /  8  /  7,403 CS
57,Victory,31 days ago,25min,5  /  4  /  11,156 CS
58,Victory,31 days ago,22min,6  /  3  /  8,147 CS
59,Victory,31 days ago,27min,10  /  6  /  4,220 CS
60,Defeat,31 days ago,29min,10  /  6  /  4,165 CS
61,Victory,31 days ago,20min,13  /  1  /  3,168 CS
62,Victory,31 days ago,28min,16  /  7  /  12,191 CS
63,Victory,31 days ago,15min,4  /  1  /  5,124 CS
64,Victory,32 days ago,25min,3  /  3  /  6,207 CS
65,Victory,32 days ago,18min,6  /  0  /  2,151 CS
66,Victory,32 days ago,22min,5  /  3  /  5,158 CS
67,Defeat,32 days ago,25min,5  /  7  /  3,177 CS
68,Victory,32 days ago,21min,1  /  3  /  1,191 CS
69,Defeat,32 days ago,27min,9  /  5  /  1,229 CS
70,Victory,32 days ago,29min,7  /  0  /  12,213 CS
71,Victory,33 days ago,34min,7  /  5  /  11,258 CS
72,Victory,33 days ago,19min,5  /  1  /  2,135 CS
73,Victory,33 days ago,24min,6  /  3  /  3,222 CS
74,Victory,33 days ago,26min,16  /  3  /  8,220 CS
75,Defeat,33 days ago,20min,3  /  3  /  1,146 CS
76,Defeat,33 days ago,32min,10  /  8  /  9,238 CS
77,Victory,33 days ago,22min,16  /  4  /  9,199 CS
78,Victory,33 days ago,23min,7  /  3  /  6,188 CS
79,Victory,34 days ago,16min,2  /  1  /  0,157 CS
80,Defeat,34 days ago,29min,8  /  4  /  3,214 CS
81,Victory,34 days ago,15min,2  /  0  /  3,131 CS
82,Victory,34 days ago,28min,6  /  4  /  6,211 CS
83,Victory,34 days ago,28min,11  /  3  /  4,213 CS
84,Defeat,34 days ago,20min,5  /  4  /  0,147 CS
85,Victory,35 days ago,14min,1  /  1  /  2,119 CS
86,Victory,35 days ago,31min,12  /  3  /  10,306 CS
87,Victory,35 days ago,24min,5  /  2  /  6,177 CS
88,Victory,35 days ago,17min,7  /  0  /  4,124 CS
89,Victory,35 days ago,26min,11  /  3  /  6,235 CS
90,Defeat,35 days ago,31min,2  /  4  /  4,269 CS
91,Remake,35 days ago,3min,0  /  0  /  0,15 CS
