Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
Twitch Bejjaniii,Victory,9daysago,35min,7,5,13,4.0,254CS
Twitch Bejjaniii,Victory,10daysago,25min,5,5,7,2.4,235CS
Twitch Bejjaniii,Victory,10daysago,27min,11,5,10,4.2,222CS
Twitch Bejjaniii,Victory,10daysago,27min,6,5,3,1.8,213CS
Twitch Bejjaniii,Victory,12daysago,23min,19,2,4,11.5,178CS
Twitch Bejjaniii,Defeat,12daysago,41min,14,10,3,1.7,332CS
Twitch Bejjaniii,Defeat,13daysago,25min,4,4,3,1.75,183CS
Twitch Bejjaniii,Victory,13daysago,25min,6,4,4,2.5,191CS
Twitch Bejjaniii,Defeat,13daysago,24min,5,9,4,1.0,145CS
Twitch Bejjaniii,Defeat,13daysago,29min,2,8,2,0.5,199CS
Twitch Bejjaniii,Victory,15daysago,36min,7,4,10,4.25,305CS
Twitch Bejjaniii,Victory,15daysago,29min,10,5,4,2.8,241CS
Twitch Bejjaniii,Victory,15daysago,21min,3,1,4,7.0,176CS
Twitch Bejjaniii,Defeat,15daysago,28min,2,4,4,1.5,256CS
Twitch Bejjaniii,Victory,16daysago,16min,8,3,0,2.67,135CS
Twitch Bejjaniii,Victory,16daysago,25min,7,6,5,2.0,139CS
Twitch Bejjaniii,Victory,17daysago,31min,4,3,0,1.33,318CS
Twitch Bejjaniii,Victory,17daysago,26min,13,5,16,5.8,211CS
Twitch Bejjaniii,Defeat,17daysago,29min,5,7,2,1.0,236CS
Twitch Bejjaniii,Defeat,17daysago,28min,2,7,5,1.0,197CS
Twitch Bejjaniii,Defeat,19daysago,29min,7,10,4,1.1,181CS
Twitch Bejjaniii,Defeat,19daysago,35min,9,8,8,2.12,254CS
Twitch Bejjaniii,Defeat,20daysago,37min,19,9,2,2.33,309CS
Twitch Bejjaniii,Victory,20daysago,28min,9,2,12,10.5,223CS
Twitch Bejjaniii,Victory,20daysago,20min,10,7,3,1.86,148CS
Twitch Bejjaniii,Defeat,22daysago,26min,5,11,2,0.64,153CS
Twitch Bejjaniii,Defeat,22daysago,22min,4,4,1,1.25,156CS
Twitch Bejjaniii,Victory,22daysago,27min,23,2,4,13.5,226CS
Twitch Bejjaniii,Victory,22daysago,40min,10,6,3,2.17,292CS
Twitch Bejjaniii,Victory,22daysago,21min,2,1,8,10.0,184CS
Twitch Bejjaniii,Defeat,22daysago,28min,5,8,2,0.88,206CS
Twitch Bejjaniii,Defeat,22daysago,36min,5,6,7,2.0,324CS
Twitch Bejjaniii,Victory,25daysago,29min,12,5,4,3.2,241CS
Twitch Bejjaniii,Victory,26daysago,21min,10,3,7,5.67,151CS
Twitch Bejjaniii,Victory,26daysago,16min,6,2,1,3.5,104CS
Twitch Bejjaniii,Defeat,28daysago,34min,8,5,1,1.8,259CS
Twitch Bejjaniii,Defeat,29daysago,41min,11,6,7,3.0,316CS
Twitch Bejjaniii,Victory,30daysago,18min,6,1,4,10.0,179CS
Twitch Bejjaniii,Defeat,30daysago,23min,1,3,0,0.33,168CS
Twitch Bejjaniii,Defeat,30daysago,26min,5,7,4,1.29,206CS
Twitch Bejjaniii,Victory,30daysago,24min,6,3,6,4.0,173CS
Twitch Bejjaniii,Victory,30daysago,25min,4,2,11,7.5,199CS
Twitch Bejjaniii,Victory,30daysago,19min,3,1,4,7.0,157CS
Twitch Bejjaniii,Victory,30daysago,19min,7,3,4,3.67,203CS
Twitch Bejjaniii,Victory,30daysago,23min,5,2,4,4.5,231CS
Twitch Bejjaniii,Victory,30daysago,22min,12,1,3,15.0,215CS
Twitch Bejjaniii,Defeat,30daysago,29min,7,7,2,1.29,215CS
Twitch Bejjaniii,Defeat,30daysago,29min,9,7,4,1.86,213CS
Twitch Bejjaniii,Victory,31daysago,23min,12,3,1,4.33,210CS
Twitch Bejjaniii,Defeat,31daysago,24min,3,5,2,1.0,179CS
Twitch Bejjaniii,Defeat,31daysago,27min,4,4,2,1.5,193CS
Twitch Bejjaniii,Victory,33daysago,17min,5,2,1,3.0,163CS
Twitch Bejjaniii,Victory,33daysago,20min,2,5,1,0.6,168CS
Twitch Bejjaniii,Victory,33daysago,22min,4,4,6,2.5,191CS
Twitch Bejjaniii,Defeat,33daysago,24min,4,7,1,0.71,169CS
Twitch Bejjaniii,Victory,33daysago,27min,7,1,5,12.0,230CS
Twitch Bejjaniii,Victory,34daysago,36min,8,6,9,2.83,212CS
Twitch Bejjaniii,Victory,34daysago,22min,7,1,1,8.0,218CS
Twitch Bejjaniii,Defeat,34daysago,41min,1,8,9,1.25,386CS
Twitch Bejjaniii,Victory,34daysago,25min,17,5,10,5.4,209CS
Twitch Bejjaniii,Victory,34daysago,49min,15,8,7,2.75,403CS
Twitch Bejjaniii,Victory,34daysago,25min,5,4,11,4.0,156CS
Twitch Bejjaniii,Victory,34daysago,22min,6,3,8,4.67,147CS
Twitch Bejjaniii,Victory,35daysago,27min,10,6,4,2.33,220CS
Twitch Bejjaniii,Defeat,35daysago,29min,10,6,4,2.33,165CS
Twitch Bejjaniii,Victory,35daysago,20min,13,1,3,16.0,168CS
Twitch Bejjaniii,Victory,35daysago,28min,16,7,12,4.0,191CS
Twitch Bejjaniii,Victory,35daysago,15min,4,1,5,9.0,124CS
Twitch Bejjaniii,Victory,35daysago,25min,3,3,6,3.0,207CS
Twitch Bejjaniii,Victory,35daysago,18min,6,0,2,8.0,151CS
Twitch Bejjaniii,Victory,35daysago,22min,5,3,5,3.33,158CS
Twitch Bejjaniii,Defeat,36daysago,25min,5,7,3,1.14,177CS
Twitch Bejjaniii,Victory,36daysago,21min,1,3,1,0.67,191CS
Twitch Bejjaniii,Defeat,36daysago,27min,9,5,1,2.0,229CS
Twitch Bejjaniii,Victory,36daysago,29min,7,0,12,19.0,213CS
Twitch Bejjaniii,Victory,36daysago,34min,7,5,11,3.6,258CS
Twitch Bejjaniii,Victory,36daysago,19min,5,1,2,7.0,135CS
Twitch Bejjaniii,Victory,36daysago,24min,6,3,3,3.0,222CS
Twitch Bejjaniii,Victory,37daysago,26min,16,3,8,8.0,220CS
Twitch Bejjaniii,Defeat,37daysago,20min,3,3,1,1.33,146CS
Twitch Bejjaniii,Defeat,37daysago,32min,10,8,9,2.38,238CS
Twitch Bejjaniii,Victory,37daysago,22min,16,4,9,6.25,199CS
Twitch Bejjaniii,Victory,37daysago,23min,7,3,6,4.33,188CS
Twitch Bejjaniii,Victory,37daysago,16min,2,1,0,2.0,157CS
Twitch Bejjaniii,Defeat,37daysago,29min,8,4,3,2.75,214CS
Twitch Bejjaniii,Victory,38daysago,15min,2,0,3,5.0,131CS
Twitch Bejjaniii,Victory,38daysago,28min,6,4,6,3.0,211CS
Twitch Bejjaniii,Victory,38daysago,28min,11,3,4,5.0,213CS
Twitch Bejjaniii,Defeat,38daysago,20min,5,4,0,1.25,147CS
Twitch Bejjaniii,Victory,38daysago,14min,1,1,2,3.0,119CS
Twitch Bejjaniii,Victory,38daysago,31min,12,3,10,7.33,306CS
Twitch Bejjaniii,Victory,38daysago,24min,5,2,6,5.5,177CS
Twitch Bejjaniii,Victory,39daysago,17min,7,0,4,11.0,124CS
Twitch Bejjaniii,Victory,39daysago,26min,11,3,6,5.67,235CS
Twitch Bejjaniii,Defeat,39daysago,31min,2,4,4,1.5,269CS
Twitch Bejjaniii,Victory,39daysago,31min,2,7,7,1.29,202CS
Twitch Bejjaniii,Victory,39daysago,29min,10,7,10,2.86,200CS
Twitch Bejjaniii,Victory,39daysago,17min,8,1,5,13.0,114CS
Twitch Bejjaniii,Defeat,40daysago,33min,4,5,2,1.2,327CS
Twitch Bejjaniii,Victory,40daysago,30min,6,2,7,6.5,251CS
Twitch Bejjaniii,Defeat,40daysago,32min,3,3,4,2.33,292CS
Twitch Bejjaniii,Victory,40daysago,18min,7,3,3,3.33,128CS
Twitch Bejjaniii,Victory,40daysago,26min,11,5,4,3.0,180CS
Twitch Bejjaniii,Defeat,41daysago,18min,3,3,1,1.33,97CS
Twitch Bejjaniii,Victory,41daysago,30min,8,7,1,1.29,263CS
Twitch Bejjaniii,Victory,43daysago,30min,15,3,5,6.67,245CS
Twitch Bejjaniii,Victory,43daysago,27min,11,2,4,7.5,226CS
Twitch Bejjaniii,Victory,43daysago,16min,0,0,2,2.0,154CS
Twitch Bejjaniii,Victory,43daysago,35min,10,8,7,2.12,268CS
Twitch Bejjaniii,Victory,43daysago,35min,10,11,8,1.64,318CS
Twitch Bejjaniii,Victory,43daysago,22min,4,2,6,5.0,174CS
Twitch Bejjaniii,Defeat,44daysago,23min,4,5,3,1.4,136CS
Twitch Bejjaniii,Victory,44daysago,25min,15,2,3,9.0,234CS
Twitch Bejjaniii,Victory,44daysago,30min,13,5,6,3.8,215CS
Twitch Bejjaniii,Victory,44daysago,22min,11,3,8,6.33,203CS
Twitch Bejjaniii,Victory,44daysago,30min,13,4,2,3.75,225CS
Twitch Bejjaniii,Defeat,44daysago,27min,3,4,1,1.0,246CS
Twitch Bejjaniii,Victory,44daysago,26min,20,4,7,6.75,195CS
Twitch Bejjaniii,Victory,45daysago,20min,8,2,4,6.0,159CS
Twitch Bejjaniii,Victory,45daysago,29min,11,2,10,10.5,204CS
Twitch Bejjaniii,Defeat,45daysago,28min,3,7,1,0.57,214CS
Twitch Bejjaniii,Victory,45daysago,15min,11,4,1,3.0,118CS
Twitch Bejjaniii,Victory,46daysago,27min,3,3,13,5.33,238CS
Twitch Bejjaniii,Defeat,46daysago,33min,3,7,4,1.0,244CS
Twitch Bejjaniii,Victory,46daysago,24min,5,3,5,3.33,196CS
Twitch Bejjaniii,Victory,46daysago,15min,7,2,2,4.5,117CS
Twitch Bejjaniii,Victory,46daysago,22min,6,4,7,3.25,140CS
Twitch Bejjaniii,Victory,46daysago,41min,14,11,10,2.18,243CS
Twitch Bejjaniii,Victory,46daysago,25min,17,1,10,27.0,181CS
Twitch Bejjaniii,Defeat,46daysago,34min,4,5,6,2.0,230CS
Twitch Bejjaniii,Victory,47daysago,7min,0,0,3,3.0,29CS
Twitch Bejjaniii,Victory,47daysago,20min,5,2,2,3.5,183CS
Twitch Bejjaniii,Victory,47daysago,40min,11,2,8,9.5,261CS
Twitch Bejjaniii,Victory,47daysago,23min,0,1,2,2.0,197CS
Twitch Bejjaniii,Victory,47daysago,23min,15,3,11,8.67,174CS
Twitch Bejjaniii,Victory,47daysago,24min,11,5,4,3.0,181CS
Twitch Bejjaniii,Victory,47daysago,24min,3,3,4,2.33,170CS
Twitch Bejjaniii,Victory,47daysago,24min,6,5,8,2.8,143CS
Twitch Bejjaniii,Victory,47daysago,19min,8,0,4,12.0,155CS
Twitch Bejjaniii,Victory,47daysago,40min,20,6,12,5.33,304CS
Twitch Bejjaniii,Victory,48daysago,18min,6,0,2,8.0,140CS
Twitch Bejjaniii,Victory,48daysago,19min,7,3,3,3.33,151CS
Twitch Bejjaniii,Victory,48daysago,34min,10,8,6,2.0,217CS
Twitch Bejjaniii,Victory,48daysago,20min,7,1,1,8.0,212CS
Twitch Bejjaniii,Victory,48daysago,31min,12,8,12,3.0,159CS
Twitch Bejjaniii,Defeat,48daysago,27min,8,9,3,1.22,186CS
Twitch Bejjaniii,Victory,48daysago,20min,7,3,0,2.33,186CS
Twitch Bejjaniii,Victory,49daysago,18min,9,0,0,9.0,184CS
Twitch Bejjaniii,Victory,50daysago,29min,4,3,10,4.67,208CS
Twitch Bejjaniii,Victory,50daysago,16min,6,0,4,10.0,126CS
Twitch Bejjaniii,Victory,50daysago,26min,10,5,5,3.0,161CS
Twitch Bejjaniii,Defeat,50daysago,31min,2,5,3,1.0,244CS
Twitch Bejjaniii,Victory,50daysago,22min,9,1,7,16.0,151CS
Twitch Bejjaniii,Defeat,50daysago,23min,3,2,1,2.0,180CS
Twitch Bejjaniii,Victory,50daysago,23min,11,2,6,8.5,233CS
Twitch Bejjaniii,Victory,50daysago,19min,10,4,3,3.25,131CS
Twitch Bejjaniii,Victory,50daysago,19min,4,0,2,6.0,172CS
Twitch Bejjaniii,Victory,52daysago,24min,7,4,10,4.25,171CS
Twitch Bejjaniii,Victory,52daysago,35min,17,1,7,24.0,287CS
Twitch Bejjaniii,Victory,52daysago,18min,10,2,7,8.5,142CS
Twitch Bejjaniii,Victory,53daysago,19min,11,2,6,8.5,156CS
Twitch Bejjaniii,Defeat,53daysago,34min,6,8,3,1.12,280CS
Twitch Bejjaniii,Victory,53daysago,24min,12,4,8,5.0,180CS
Twitch Bejjaniii,Victory,53daysago,21min,10,2,4,7.0,173CS
Twitch Bejjaniii,Victory,53daysago,21min,9,4,2,2.75,156CS
Twitch Bejjaniii,Victory,53daysago,20min,16,1,3,19.0,152CS
Twitch Bejjaniii,Victory,53daysago,28min,14,6,10,4.0,175CS
Twitch Bejjaniii,Victory,53daysago,13min,3,1,1,4.0,115CS
Twitch Bejjaniii,Victory,53daysago,16min,10,1,5,15.0,141CS
Twitch Bejjaniii,Victory,54daysago,15min,6,1,0,6.0,148CS
Twitch Bejjaniii,Victory,54daysago,26min,5,3,4,3.0,184CS
Twitch Bejjaniii,Victory,54daysago,16min,2,0,0,2.0,149CS
Twitch Bejjaniii,Victory,54daysago,15min,5,1,2,7.0,141CS
