Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
WeIinton Quiw,Victory,2020-08-17,40,10,5,9,3.8,292
WeIinton Quiw,Defeat,2020-08-16,43,12,9,14,2.89,289
WeIinton Quiw,Defeat,2020-08-16,21,0,4,2,0.5,152
WeIinton Quiw,Defeat,2020-08-16,37,7,10,10,1.7,235
WeIinton Quiw,Victory,2020-08-08,22,3,3,8,3.67,155
WeIinton Quiw,Victory,2020-07-17,24,2,2,4,3.0,175
WeIinton Quiw,Victory,2020-07-17,29,20,5,9,5.8,243
WeIinton Quiw,Defeat,2020-06-13,32,7,10,9,1.6,220
WeIinton Quiw,Defeat,2020-05-02,28,2,6,4,1.0,164
WeIinton Quiw,Victory,2020-05-02,36,3,5,9,2.4,232
WeIinton Quiw,Defeat,2020-05-01,29,7,2,4,5.5,238
WeIinton Quiw,Victory,2020-04-25,20,9,0,5,14.0,158
WeIinton Quiw,Victory,2020-04-25,29,1,6,16,2.83,169
WeIinton Quiw,Defeat,2020-04-25,27,9,7,4,1.86,202
WeIinton Quiw,Victory,2020-04-25,33,13,7,11,3.43,228
WeIinton Quiw,Defeat,2020-04-22,16,1,5,0,0.2,100
WeIinton Quiw,Defeat,2020-04-22,19,1,4,4,1.25,120
WeIinton Quiw,Defeat,2020-04-22,18,1,3,3,1.33,102
WeIinton Quiw,Defeat,2020-04-20,36,5,10,14,1.9,197
WeIinton Quiw,Defeat,2020-01-07,20,5,8,2,0.88,126
WeIinton Quiw,Defeat,2020-01-04,29,10,6,8,3.0,202
WeIinton Quiw,Defeat,2020-01-04,23,3,4,12,3.75,144
WeIinton Quiw,Defeat,2019-12-07,30,8,9,15,2.56,194
WeIinton Quiw,Defeat,2019-12-07,28,14,7,7,3.0,178
WeIinton Quiw,Victory,2019-11-09,17,2,2,3,2.5,88
WeIinton Quiw,Victory,2019-10-13,30,2,5,24,5.2,68
WeIinton Quiw,Defeat,2019-10-13,15,3,3,2,1.67,89
WeIinton Quiw,Defeat,2019-10-05,29,4,7,6,1.43,181
WeIinton Quiw,Victory,2019-09-07,22,5,4,6,2.75,112
WeIinton Quiw,Defeat,2019-08-16,31,3,6,5,1.33,217
WeIinton Quiw,Victory,2019-07-21,24,7,0,10,17.0,201
WeIinton Quiw,Victory,2019-07-21,24,3,4,6,2.25,143
WeIinton Quiw,Victory,2019-07-21,27,8,4,4,3.0,166
WeIinton Quiw,Victory,2019-07-21,31,5,9,4,1.0,181
WeIinton Quiw,Victory,2019-07-21,22,6,4,1,1.75,125
WeIinton Quiw,Defeat,2019-07-19,15,0,2,1,0.5,95
WeIinton Quiw,Defeat,2019-07-19,15,4,4,4,2.0,73
WeIinton Quiw,Victory,2019-07-19,33,5,10,13,1.8,199
WeIinton Quiw,Victory,2019-07-19,42,9,11,19,2.55,235
WeIinton Quiw,Victory,2019-07-19,19,7,2,7,7.0,164
WeIinton Quiw,Defeat,2019-07-19,23,5,4,3,2.0,122
WeIinton Quiw,Victory,2019-07-19,28,5,3,5,3.33,188
WeIinton Quiw,Victory,2019-07-19,28,9,3,12,7.0,180
WeIinton Quiw,Defeat,2019-07-19,30,7,10,6,1.3,204
WeIinton Quiw,Victory,2019-07-18,31,4,8,14,2.25,183
WeIinton Quiw,Victory,2019-07-18,25,12,3,4,5.33,138
WeIinton Quiw,Victory,2019-07-18,24,4,3,7,3.67,188
WeIinton Quiw,Victory,2019-07-18,28,3,3,22,8.33,60
WeIinton Quiw,Defeat,2019-07-18,21,9,6,3,2.0,120
WeIinton Quiw,Victory,2019-07-17,24,10,4,6,4.0,158
WeIinton Quiw,Defeat,2019-07-17,20,6,4,8,3.5,124
WeIinton Quiw,Victory,2019-07-17,27,5,3,10,5.0,149
WeIinton Quiw,Victory,2019-07-17,24,16,3,3,6.33,163
WeIinton Quiw,Victory,2019-07-13,27,12,6,10,3.67,144
WeIinton Quiw,Defeat,2019-07-13,44,11,10,12,2.3,270
WeIinton Quiw,Defeat,2019-07-13,23,3,2,4,3.5,157
WeIinton Quiw,Victory,2019-07-13,29,12,3,20,10.67,251
WeIinton Quiw,Victory,2019-07-13,35,11,9,11,2.44,231
WeIinton Quiw,Victory,2019-07-12,26,6,5,8,2.8,158
WeIinton Quiw,Victory,2019-07-12,30,6,3,18,8.0,191
WeIinton Quiw,Victory,2019-07-12,24,5,1,10,15.0,163
WeIinton Quiw,Victory,2019-07-12,20,4,4,3,1.75,118
WeIinton Quiw,Victory,2019-07-12,30,6,8,22,3.5,130
WeIinton Quiw,Defeat,2019-07-12,20,3,4,4,1.75,136
WeIinton Quiw,Victory,2019-07-12,31,8,3,12,6.67,258
WeIinton Quiw,Victory,2019-07-12,31,10,6,6,2.67,185
WeIinton Quiw,Defeat,2019-07-11,15,2,6,2,0.67,87
WeIinton Quiw,Victory,2019-07-11,31,8,3,15,7.67,225
WeIinton Quiw,Defeat,2019-07-11,18,2,2,1,1.5,129
WeIinton Quiw,Victory,2019-07-11,34,6,6,13,3.17,244
WeIinton Quiw,Victory,2019-07-11,36,4,9,9,1.44,192
WeIinton Quiw,Victory,2019-07-11,25,1,6,7,1.33,147
WeIinton Quiw,Victory,2019-07-11,22,8,3,7,5.0,162
WeIinton Quiw,Victory,2019-07-10,37,4,7,15,2.71,229
WeIinton Quiw,Victory,2019-07-10,24,8,4,4,3.0,135
WeIinton Quiw,Defeat,2019-07-10,29,1,6,14,2.5,142
WeIinton Quiw,Defeat,2019-07-10,29,8,7,9,2.43,171
WeIinton Quiw,Victory,2019-07-10,31,4,7,24,4.0,59
WeIinton Quiw,Defeat,2019-07-10,16,0,4,3,0.75,81
WeIinton Quiw,Victory,2019-07-07,25,6,4,13,4.75,132
WeIinton Quiw,Defeat,2019-07-07,32,4,6,8,2.0,221
WeIinton Quiw,Victory,2019-07-07,26,8,6,9,2.83,188
WeIinton Quiw,Defeat,2019-07-07,31,5,3,4,3.0,186
WeIinton Quiw,Victory,2019-07-07,32,8,7,13,3.0,170
WeIinton Quiw,Defeat,2019-07-07,35,7,7,9,2.29,170
WeIinton Quiw,Victory,2019-07-07,30,8,2,7,7.5,214
WeIinton Quiw,Defeat,2019-07-07,21,1,8,4,0.62,139
WeIinton Quiw,Victory,2019-07-07,26,8,2,11,9.5,175
WeIinton Quiw,Victory,2019-07-06,35,3,5,12,3.0,230
WeIinton Quiw,Defeat,2019-07-06,21,1,7,6,1.0,119
WeIinton Quiw,Defeat,2019-07-06,24,7,3,4,3.67,145
WeIinton Quiw,Victory,2019-07-05,26,5,4,18,5.75,127
WeIinton Quiw,Defeat,2019-07-05,33,6,3,10,5.33,212
WeIinton Quiw,Defeat,2019-07-05,22,4,6,3,1.17,133
