,W/L/R,Date,Duration,KDA,CS
0,Defeat,21 days ago,39min,4  /  6  /  12,248 CS
1,Defeat,21 days ago,30min,5  /  7  /  13,155 CS
2,Victory,21 days ago,31min,5  /  6  /  13,212 CS
3,Defeat,90 days ago,21min,3  /  5  /  2,130 CS
4,Victory,90 days ago,24min,11  /  1  /  3,203 CS
5,Defeat,90 days ago,30min,11  /  7  /  7,229 CS
6,Victory,100 days ago,31min,2  /  4  /  9,232 CS
7,Victory,101 days ago,26min,7  /  2  /  6,179 CS
8,Victory,102 days ago,26min,3  /  2  /  7,217 CS
9,Defeat,102 days ago,18min,1  /  4  /  2,129 CS
10,Victory,102 days ago,27min,7  /  3  /  6,199 CS
11,Victory,102 days ago,27min,6  /  3  /  15,167 CS
12,Defeat,103 days ago,30min,4  /  7  /  4,199 CS
13,Defeat,103 days ago,24min,2  /  7  /  11,41 CS
14,Defeat,103 days ago,26min,5  /  6  /  6,198 CS
15,Victory,103 days ago,34min,4  /  5  /  12,222 CS
16,Victory,104 days ago,24min,9  /  3  /  11,193 CS
17,Defeat,104 days ago,35min,1  /  9  /  11,40 CS
18,Defeat,104 days ago,32min,12  /  4  /  4,214 CS
19,Defeat,104 days ago,27min,5  /  8  /  5,199 CS
20,Victory,110 days ago,32min,10  /  5  /  6,214 CS
21,Defeat,110 days ago,34min,8  /  8  /  8,253 CS
22,Victory,111 days ago,35min,13  /  6  /  8,235 CS
23,Defeat,111 days ago,20min,1  /  2  /  2,156 CS
24,Victory,111 days ago,34min,2  /  5  /  16,42 CS
25,Victory,123 days ago,27min,11  /  1  /  16,183 CS
26,Victory,124 days ago,38min,11  /  5  /  14,220 CS
27,Victory,124 days ago,34min,5  /  5  /  11,221 CS
28,Defeat,125 days ago,31min,5  /  8  /  9,195 CS
29,Victory,134 days ago,32min,10  /  3  /  7,268 CS
30,Victory,136 days ago,21min,5  /  1  /  5,177 CS
31,Defeat,152 days ago,35min,8  /  4  /  13,221 CS
32,Defeat,190 days ago,34min,5  /  5  /  8,224 CS
33,Victory,200 days ago,27min,14  /  4  /  12,210 CS
34,Defeat,202 days ago,27min,3  /  5  /  6,161 CS
35,Defeat,202 days ago,24min,0  /  7  /  6,31 CS
36,Victory,202 days ago,19min,3  /  1  /  9,119 CS
37,Victory,203 days ago,31min,5  /  4  /  13,187 CS
38,Defeat,203 days ago,23min,2  /  7  /  4,151 CS
39,Defeat,203 days ago,21min,4  /  6  /  6,111 CS
40,Defeat,203 days ago,34min,7  /  10  /  10,190 CS
41,Defeat,205 days ago,24min,1  /  3  /  4,165 CS
42,Victory,207 days ago,30min,5  /  2  /  9,217 CS
43,Defeat,207 days ago,32min,4  /  8  /  6,159 CS
44,Defeat,208 days ago,34min,8  /  6  /  8,203 CS
45,Defeat,208 days ago,30min,6  /  2  /  6,196 CS
46,Defeat,209 days ago,28min,9  /  4  /  5,184 CS
