Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
WeIinton Quiw,Platinum IV,Defeat,2020-10-25,39,4,6,12,2.67,248
WeIinton Quiw,Platinum IV,Defeat,2020-10-25,30,5,7,13,2.57,155
WeIinton Quiw,Platinum IV,Victory,2020-10-25,31,5,6,13,3.0,212
WeIinton Quiw,Platinum IV,Defeat,2020-08-17,21,3,5,2,1.0,130
WeIinton Quiw,Platinum IV,Victory,2020-08-17,24,11,1,3,14.0,203
WeIinton Quiw,Platinum IV,Defeat,2020-08-17,30,11,7,7,2.57,229
WeIinton Quiw,Platinum IV,Victory,2020-08-07,31,2,4,9,2.75,232
WeIinton Quiw,Platinum IV,Victory,2020-08-06,26,7,2,6,6.5,179
WeIinton Quiw,Platinum IV,Victory,2020-08-05,26,3,2,7,5.0,217
WeIinton Quiw,Platinum IV,Defeat,2020-08-05,18,1,4,2,0.75,129
WeIinton Quiw,Platinum IV,Victory,2020-08-05,27,7,3,6,4.33,199
WeIinton Quiw,Platinum IV,Victory,2020-08-05,27,6,3,15,7.0,167
WeIinton Quiw,Platinum IV,Defeat,2020-08-04,30,4,7,4,1.14,199
WeIinton Quiw,Platinum IV,Defeat,2020-08-04,24,2,7,11,1.86,41
WeIinton Quiw,Platinum IV,Defeat,2020-08-04,26,5,6,6,1.83,198
WeIinton Quiw,Platinum IV,Victory,2020-08-04,34,4,5,12,3.2,222
WeIinton Quiw,Platinum IV,Victory,2020-08-03,24,9,3,11,6.67,193
WeIinton Quiw,Platinum IV,Defeat,2020-08-03,35,1,9,11,1.33,40
WeIinton Quiw,Platinum IV,Defeat,2020-08-03,32,12,4,4,4.0,214
WeIinton Quiw,Platinum IV,Defeat,2020-08-03,27,5,8,5,1.25,199
WeIinton Quiw,Platinum IV,Victory,2020-07-28,32,10,5,6,3.2,214
WeIinton Quiw,Platinum IV,Defeat,2020-07-28,34,8,8,8,2.0,253
WeIinton Quiw,Platinum IV,Victory,2020-07-27,35,13,6,8,3.5,235
WeIinton Quiw,Platinum IV,Defeat,2020-07-27,20,1,2,2,1.5,156
WeIinton Quiw,Platinum IV,Victory,2020-07-27,34,2,5,16,3.6,42
WeIinton Quiw,Platinum IV,Victory,2020-07-15,27,11,1,16,27.0,183
WeIinton Quiw,Platinum IV,Victory,2020-07-14,38,11,5,14,5.0,220
WeIinton Quiw,Platinum IV,Victory,2020-07-14,34,5,5,11,3.2,221
WeIinton Quiw,Platinum IV,Defeat,2020-07-14,31,5,8,9,1.75,195
WeIinton Quiw,Platinum IV,Victory,2020-07-05,32,10,3,7,5.67,268
WeIinton Quiw,Platinum IV,Victory,2020-07-02,21,5,1,5,10.0,177
WeIinton Quiw,Platinum IV,Defeat,2020-06-16,35,8,4,13,5.25,221
WeIinton Quiw,Platinum IV,Defeat,2020-05-10,34,5,5,8,2.6,224
WeIinton Quiw,Platinum IV,Victory,2020-04-29,27,14,4,12,6.5,210
WeIinton Quiw,Platinum IV,Defeat,2020-04-27,27,3,5,6,1.8,161
WeIinton Quiw,Platinum IV,Defeat,2020-04-27,24,0,7,6,0.86,31
WeIinton Quiw,Platinum IV,Victory,2020-04-27,19,3,1,9,12.0,119
WeIinton Quiw,Platinum IV,Victory,2020-04-27,31,5,4,13,4.5,187
WeIinton Quiw,Platinum IV,Defeat,2020-04-27,23,2,7,4,0.86,151
WeIinton Quiw,Platinum IV,Defeat,2020-04-27,21,4,6,6,1.67,111
WeIinton Quiw,Platinum IV,Defeat,2020-04-27,34,7,10,10,1.7,190
WeIinton Quiw,Platinum IV,Defeat,2020-04-24,24,1,3,4,1.67,165
WeIinton Quiw,Platinum IV,Victory,2020-04-22,30,5,2,9,7.0,217
WeIinton Quiw,Platinum IV,Defeat,2020-04-22,32,4,8,6,1.25,159
WeIinton Quiw,Platinum IV,Defeat,2020-04-21,34,8,6,8,2.67,203
WeIinton Quiw,Platinum IV,Defeat,2020-04-21,30,6,2,6,6.0,196
WeIinton Quiw,Platinum IV,Defeat,2020-04-20,28,9,4,5,3.5,184
WeIinton Quiw,Platinum IV,Victory,2020-04-20,42,7,3,7,4.67,316
WeIinton Quiw,Platinum IV,Defeat,2020-04-20,30,5,7,7,1.71,157
WeIinton Quiw,Platinum IV,Victory,2020-04-19,28,3,2,15,9.0,200
WeIinton Quiw,Platinum IV,Defeat,2020-04-18,33,10,9,7,1.89,174
WeIinton Quiw,Platinum IV,Defeat,2020-04-18,32,11,6,6,2.83,221
WeIinton Quiw,Platinum IV,Victory,2020-04-18,27,4,4,9,3.25,151
WeIinton Quiw,Platinum IV,Victory,2020-04-18,24,1,4,21,5.5,25
WeIinton Quiw,Platinum IV,Defeat,2020-04-18,30,8,7,8,2.29,140
WeIinton Quiw,Platinum IV,Victory,2020-04-17,28,3,4,4,1.75,190
WeIinton Quiw,Platinum IV,Victory,2020-03-09,26,9,1,5,14.0,193
WeIinton Quiw,Platinum IV,Victory,2020-03-09,25,4,4,14,4.5,173
WeIinton Quiw,Platinum IV,Victory,2020-03-09,23,4,3,4,2.67,174
WeIinton Quiw,Platinum IV,Victory,2020-03-09,21,5,4,7,3.0,135
WeIinton Quiw,Platinum IV,Victory,2020-03-08,21,1,1,12,13.0,27
WeIinton Quiw,Platinum IV,Victory,2020-02-26,37,2,6,29,5.17,48
WeIinton Quiw,Platinum IV,Victory,2020-02-26,31,8,5,13,4.2,231
WeIinton Quiw,Platinum IV,Victory,2020-02-24,20,9,4,5,3.5,135
WeIinton Quiw,Platinum IV,Victory,2020-02-23,33,0,6,20,3.33,38
WeIinton Quiw,Platinum IV,Victory,2020-02-09,35,10,8,8,2.25,203
WeIinton Quiw,Platinum IV,Victory,2020-01-07,30,13,3,9,7.33,232
WeIinton Quiw,Platinum IV,Defeat,2020-01-07,18,0,5,0,0.0,103
WeIinton Quiw,Platinum IV,Victory,2020-01-07,31,8,3,9,5.67,202
WeIinton Quiw,Platinum IV,Defeat,2019-12-07,29,2,7,8,1.43,154
WeIinton Quiw,Platinum IV,Defeat,2019-11-15,39,6,8,15,2.62,259
WeIinton Quiw,Platinum IV,Defeat,2019-10-26,33,7,7,9,2.29,248
WeIinton Quiw,Platinum IV,Victory,2019-10-26,31,12,5,8,4.0,186
WeIinton Quiw,Platinum IV,Defeat,2019-10-12,23,4,6,3,1.17,144
WeIinton Quiw,Platinum IV,Defeat,2019-10-12,22,1,5,2,0.6,128
WeIinton Quiw,Platinum IV,Victory,2019-10-12,24,9,4,5,3.5,158
WeIinton Quiw,Platinum IV,Victory,2019-10-05,22,10,3,7,5.67,159
WeIinton Quiw,Platinum IV,Victory,2019-09-28,33,13,5,10,4.6,250
WeIinton Quiw,Platinum IV,Victory,2019-09-28,23,4,2,6,5.0,174
WeIinton Quiw,Platinum IV,Victory,2019-08-30,30,6,5,9,3.0,181
WeIinton Quiw,Platinum IV,Victory,2019-07-27,32,6,6,11,2.83,159
WeIinton Quiw,Platinum IV,Defeat,2019-07-27,33,1,8,8,1.12,167
WeIinton Quiw,Platinum IV,Victory,2019-07-27,22,7,2,17,12.0,163
WeIinton Quiw,Platinum IV,Victory,2019-07-26,21,6,4,6,3.0,111
WeIinton Quiw,Platinum IV,Defeat,2019-07-26,35,6,8,13,2.38,188
WeIinton Quiw,Platinum IV,Victory,2019-07-26,34,3,5,21,4.8,61
WeIinton Quiw,Platinum IV,Defeat,2019-07-26,27,5,5,5,2.0,176
WeIinton Quiw,Platinum IV,Victory,2019-07-26,27,2,4,22,6.0,49
WeIinton Quiw,Platinum IV,Defeat,2019-07-25,19,1,3,2,1.0,145
WeIinton Quiw,Platinum IV,Defeat,2019-07-25,23,3,5,2,1.0,131
WeIinton Quiw,Platinum IV,Victory,2019-07-25,28,9,0,8,17.0,204
WeIinton Quiw,Platinum IV,Defeat,2019-07-25,28,8,9,11,2.11,163
WeIinton Quiw,Platinum IV,Defeat,2019-07-25,21,3,5,3,1.2,116
WeIinton Quiw,Platinum IV,Defeat,2019-07-25,34,5,7,13,2.57,250
WeIinton Quiw,Platinum IV,Victory,2019-07-25,28,2,3,6,2.67,169
WeIinton Quiw,Platinum IV,Victory,2019-07-24,37,8,8,15,2.88,214
WeIinton Quiw,Platinum IV,Victory,2019-07-23,27,6,5,10,3.2,156
WeIinton Quiw,Platinum IV,Victory,2019-07-21,28,16,5,15,6.2,157
WeIinton Quiw,Platinum IV,Victory,2019-07-20,23,8,6,9,2.83,153
