Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Wilcekn VI,Iron I,Defeat,2020-09-25,25,5,3,6,3.67,107
Wilcekn VI,Iron I,Defeat,2020-09-25,43,9,3,11,6.67,223
Wilcekn VI,Iron I,Defeat,2020-09-25,34,10,4,7,4.25,153
Wilcekn VI,Iron I,Defeat,2020-09-25,32,2,4,1,0.75,156
Wilcekn VI,Iron I,Defeat,2020-09-25,27,8,9,6,1.56,89
Wilcekn VI,Iron I,Defeat,2020-09-25,35,17,7,12,4.14,148
Wilcekn VI,Iron I,Victory,2020-09-25,27,8,2,11,9.5,144
Wilcekn VI,Iron I,Victory,2020-09-25,24,11,0,8,19.0,162
Wilcekn VI,Iron I,Victory,2020-09-25,31,5,1,8,13.0,231
Wilcekn VI,Iron I,Victory,2020-09-24,48,12,3,18,10.0,298
Wilcekn VI,Iron I,Victory,2020-09-24,23,6,1,2,8.0,127
Wilcekn VI,Iron I,Victory,2020-09-24,28,9,2,8,8.5,159
Wilcekn VI,Iron I,Defeat,2020-02-08,45,1,11,15,1.45,42
Wilcekn VI,Iron I,Victory,2020-02-04,37,7,3,8,5.0,213
Wilcekn VI,Iron I,Defeat,2020-02-04,35,5,9,15,2.22,108
Wilcekn VI,Iron I,Defeat,2020-02-04,37,2,7,20,3.14,34
Wilcekn VI,Iron I,Defeat,2020-02-04,44,2,9,21,2.56,46
Wilcekn VI,Iron I,Victory,2020-02-03,33,2,6,14,2.67,41
Wilcekn VI,Iron I,Defeat,2020-02-03,28,2,4,12,3.5,37
Wilcekn VI,Iron I,Victory,2020-02-03,35,0,8,16,2.0,46
Wilcekn VI,Iron I,Defeat,2020-02-03,23,0,8,7,0.88,14
Wilcekn VI,Iron I,Victory,2020-02-03,29,3,1,17,20.0,18
Wilcekn VI,Iron I,Defeat,2020-02-02,25,4,4,4,2.0,132
Wilcekn VI,Iron I,Defeat,2020-02-02,38,4,7,4,1.14,211
Wilcekn VI,Iron I,Victory,2020-02-02,26,6,3,3,3.0,146
Wilcekn VI,Iron I,Victory,2020-02-02,27,2,5,7,1.8,132
Wilcekn VI,Iron I,Defeat,2020-01-17,31,2,8,3,0.62,118
Wilcekn VI,Iron I,Defeat,2020-01-17,34,4,5,1,1.0,169
Wilcekn VI,Iron I,Victory,2020-01-17,27,1,1,10,11.0,112
