Summoner Name,W/L,Date,Duration (min),K,D,A,KDA,CS
William Kurt,Defeat,2020-11-20,27,6,6,3,1.5,100
William Kurt,Defeat,2020-11-20,27,2,8,3,0.62,144
William Kurt,Defeat,2020-11-20,27,6,7,7,1.86,185
William Kurt,Victory,2020-11-20,28,3,3,8,3.67,186
William Kurt,Defeat,2020-11-20,22,5,6,2,1.17,122
William Kurt,Defeat,2020-11-19,17,1,6,1,0.33,81
William Kurt,Victory,2020-11-19,30,10,6,5,2.5,221
William Kurt,Defeat,2020-11-19,36,11,7,6,2.43,185
William Kurt,Defeat,2020-11-19,24,4,10,1,0.5,138
William Kurt,Victory,2020-11-19,32,1,10,7,0.8,185
William Kurt,Victory,2020-11-19,30,1,6,6,1.17,163
William Kurt,Defeat,2020-11-14,24,1,8,2,0.38,136
William Kurt,Defeat,2020-10-04,24,3,7,2,0.71,133
William Kurt,Victory,2020-10-04,30,6,6,11,2.83,203
William Kurt,Defeat,2020-09-20,42,11,10,9,2.0,205
William Kurt,Defeat,2020-09-19,39,11,14,6,1.21,141
William Kurt,Victory,2020-09-19,30,10,8,19,3.62,168
William Kurt,Defeat,2020-09-19,38,11,7,5,2.29,266
William Kurt,Defeat,2020-09-19,22,2,9,0,0.22,123
William Kurt,Defeat,2020-09-16,15,0,5,5,1.0,18
William Kurt,Defeat,2020-09-16,37,3,9,23,2.89,43
William Kurt,Defeat,2020-09-16,30,10,8,3,1.62,203
William Kurt,Victory,2020-09-16,28,2,10,6,0.8,186
William Kurt,Defeat,2020-09-04,33,4,8,6,1.25,179
William Kurt,Defeat,2020-09-04,30,6,5,0,1.2,138
William Kurt,Defeat,2020-09-04,28,4,10,3,0.7,130
William Kurt,Defeat,2020-09-04,34,5,11,15,1.82,120
William Kurt,Victory,2020-07-08,29,11,6,9,3.33,133
William Kurt,Defeat,2020-06-28,30,9,11,2,1.0,149
William Kurt,Victory,2020-06-16,15,3,1,0,3.0,119
William Kurt,Victory,2020-06-12,37,9,9,12,2.33,169
William Kurt,Victory,2020-06-12,39,13,12,10,1.92,190
William Kurt,Victory,2020-06-12,35,16,7,8,3.43,216
William Kurt,Victory,2020-06-12,41,13,11,10,2.09,242
William Kurt,Victory,2020-06-12,23,6,6,1,1.17,135
William Kurt,Victory,2020-06-12,28,7,5,8,3.0,180
William Kurt,Defeat,2020-06-12,29,2,12,6,0.67,182
William Kurt,Victory,2020-06-09,21,15,3,6,7.0,122
William Kurt,Victory,2020-06-09,23,6,3,3,3.0,156
William Kurt,Defeat,2020-06-09,27,2,12,1,0.25,157
William Kurt,Victory,2020-06-09,29,3,4,11,3.5,182
William Kurt,Defeat,2020-06-06,35,8,13,10,1.38,154
William Kurt,Victory,2020-06-06,38,8,12,26,2.83,131
William Kurt,Victory,2020-06-03,37,14,11,13,2.45,107
William Kurt,Victory,2020-06-03,20,10,1,2,12.0,71
William Kurt,Victory,2020-06-02,32,1,7,23,3.43,47
William Kurt,Victory,2020-06-02,26,8,1,9,17.0,79
William Kurt,Defeat,2020-06-02,31,8,7,4,1.71,147
William Kurt,Victory,2020-06-02,39,14,10,15,2.9,240
William Kurt,Defeat,2020-05-28,30,1,10,4,0.5,138
William Kurt,Victory,2020-05-28,28,5,7,6,1.57,213
William Kurt,Victory,2020-05-28,24,7,3,3,3.33,187
William Kurt,Defeat,2020-05-26,33,4,16,5,0.56,175
William Kurt,Defeat,2020-05-05,40,10,16,5,0.94,222
William Kurt,Victory,2020-05-05,25,15,3,1,5.33,190
William Kurt,Victory,2020-03-21,37,20,9,10,3.33,170
William Kurt,Victory,2019-05-10,23,5,7,13,2.57,106
