Summoner Name,W/L,Date,Duration,K,D,A,KDA,CS
William Kurt,Victory,46daysago,29min,3,6,16,3.17,39CS
William Kurt,Defeat,46daysago,22min,1,8,2,0.38,119CS
William Kurt,Victory,46daysago,22min,11,2,3,7.0,128CS
William Kurt,Defeat,46daysago,20min,0,9,0,0.0,100CS
William Kurt,Victory,56daysago,32min,9,4,0,2.25,304CS
William Kurt,Defeat,56daysago,29min,2,10,3,0.5,170CS
William Kurt,Victory,56daysago,22min,7,0,6,13.0,190CS
William Kurt,Victory,58daysago,30min,14,8,8,2.75,222CS
William Kurt,Defeat,58daysago,26min,2,12,5,0.58,124CS
William Kurt,Victory,58daysago,30min,10,9,9,2.11,210CS
William Kurt,Victory,58daysago,31min,18,5,13,6.2,267CS
William Kurt,Victory,58daysago,22min,3,4,7,2.5,159CS
William Kurt,Defeat,58daysago,26min,5,8,2,0.88,193CS
William Kurt,Victory,58daysago,33min,8,6,5,2.17,200CS
William Kurt,Victory,58daysago,28min,7,5,8,3.0,218CS
William Kurt,Victory,59daysago,34min,12,11,4,1.45,244CS
William Kurt,Victory,59daysago,37min,10,8,3,1.62,263CS
William Kurt,Defeat,59daysago,37min,4,12,6,0.83,270CS
William Kurt,Victory,59daysago,32min,3,9,8,1.22,209CS
William Kurt,Victory,59daysago,35min,10,10,0,1.0,254CS
William Kurt,Victory,59daysago,29min,15,7,5,2.86,213CS
William Kurt,Victory,59daysago,33min,3,5,2,1.0,251CS
William Kurt,Victory,59daysago,25min,9,0,9,18.0,204CS
William Kurt,Victory,60daysago,35min,9,5,14,4.6,238CS
William Kurt,Victory,60daysago,25min,7,5,2,1.8,196CS
William Kurt,Victory,60daysago,29min,9,7,4,1.86,227CS
William Kurt,Victory,60daysago,34min,5,8,10,1.88,265CS
William Kurt,Defeat,60daysago,22min,1,9,0,0.11,132CS
William Kurt,Defeat,60daysago,33min,3,9,5,0.89,168CS
William Kurt,Defeat,60daysago,34min,4,9,4,0.89,115CS
William Kurt,Defeat,60daysago,43min,12,10,7,1.9,342CS
William Kurt,Victory,60daysago,31min,8,8,7,1.88,232CS
William Kurt,Victory,61daysago,36min,6,11,12,1.64,215CS
William Kurt,Victory,61daysago,24min,7,6,9,2.67,184CS
William Kurt,Victory,61daysago,19min,14,4,2,4.0,121CS
William Kurt,Defeat,61daysago,18min,2,10,0,0.2,78CS
William Kurt,Defeat,62daysago,24min,10,10,1,1.1,128CS
William Kurt,Victory,62daysago,25min,4,8,6,1.25,119CS
William Kurt,Defeat,62daysago,22min,5,8,1,0.75,119CS
William Kurt,Defeat,62daysago,27min,6,11,14,1.82,45CS
William Kurt,Defeat,62daysago,29min,4,12,10,1.17,33CS
William Kurt,Defeat,65daysago,34min,1,2,16,8.5,56CS
William Kurt,Defeat,65daysago,22min,2,9,0,0.22,119CS
William Kurt,Victory,65daysago,27min,9,8,7,2.0,184CS
William Kurt,Victory,73daysago,27min,6,2,8,7.0,172CS
William Kurt,Defeat,73daysago,35min,8,9,10,2.0,234CS
William Kurt,Defeat,74daysago,24min,11,5,3,2.8,138CS
William Kurt,Victory,74daysago,22min,4,3,3,2.33,120CS
William Kurt,Defeat,74daysago,33min,12,7,4,2.29,176CS
William Kurt,Defeat,74daysago,28min,2,9,4,0.67,150CS
William Kurt,Victory,74daysago,22min,3,3,6,3.0,115CS
William Kurt,Victory,74daysago,25min,15,7,5,2.86,143CS
William Kurt,Victory,75daysago,24min,13,3,3,5.33,184CS
William Kurt,Defeat,76daysago,33min,12,13,14,2.0,205CS
William Kurt,Defeat,92daysago,37min,8,11,2,0.91,206CS
William Kurt,Defeat,93daysago,26min,2,7,9,1.57,27CS
William Kurt,Defeat,118daysago,32min,1,11,3,0.36,183CS
William Kurt,Victory,118daysago,33min,17,4,3,5.0,245CS
William Kurt,Victory,123daysago,26min,6,5,1,1.4,192CS
William Kurt,Defeat,123daysago,28min,4,8,1,0.62,170CS
William Kurt,Victory,123daysago,19min,6,2,3,4.5,145CS
William Kurt,Defeat,123daysago,53min,11,11,5,1.45,256CS
William Kurt,Defeat,123daysago,41min,14,12,6,1.67,200CS
William Kurt,Victory,124daysago,43min,9,13,5,1.08,226CS
William Kurt,Victory,124daysago,33min,8,7,4,1.71,220CS
William Kurt,Victory,125daysago,36min,11,7,4,2.14,223CS
William Kurt,Victory,125daysago,32min,12,4,7,4.75,237CS
William Kurt,Victory,127daysago,22min,2,5,6,1.6,147CS
William Kurt,Victory,129daysago,39min,14,10,7,2.1,229CS
William Kurt,Defeat,136daysago,35min,11,8,12,2.88,209CS
William Kurt,Defeat,136daysago,35min,1,7,5,0.86,152CS
William Kurt,Victory,136daysago,23min,11,2,2,6.5,138CS
William Kurt,Defeat,136daysago,29min,8,9,6,1.56,223CS
William Kurt,Victory,136daysago,36min,12,11,13,2.27,144CS
William Kurt,Defeat,137daysago,24min,3,8,0,0.38,137CS
William Kurt,Defeat,139daysago,40min,9,13,9,1.38,164CS
William Kurt,Defeat,139daysago,22min,3,7,3,0.86,133CS
William Kurt,Defeat,139daysago,28min,4,9,4,0.89,106CS
William Kurt,Defeat,139daysago,35min,1,7,15,2.29,35CS
William Kurt,Defeat,139daysago,32min,2,14,10,0.86,73CS
William Kurt,Defeat,140daysago,37min,5,6,7,2.0,158CS
William Kurt,Defeat,140daysago,32min,7,11,8,1.36,185CS
William Kurt,Defeat,140daysago,28min,1,9,5,0.67,136CS
William Kurt,Defeat,140daysago,28min,8,5,1,1.8,192CS
William Kurt,Defeat,145daysago,29min,5,8,2,0.88,164CS
William Kurt,Defeat,145daysago,34min,11,10,1,1.2,176CS
William Kurt,Victory,145daysago,28min,5,7,6,1.57,137CS
William Kurt,Victory,146daysago,31min,5,5,7,2.4,211CS
William Kurt,Defeat,146daysago,30min,7,10,12,1.9,149CS
William Kurt,Victory,160daysago,21min,7,1,8,15.0,109CS
William Kurt,Victory,160daysago,31min,3,4,7,2.5,218CS
William Kurt,Victory,160daysago,21min,6,2,7,6.5,138CS
William Kurt,Victory,163daysago,25min,5,4,4,2.25,171CS
William Kurt,Defeat,164daysago,32min,2,7,3,0.71,192CS
William Kurt,Victory,170daysago,34min,7,13,7,1.08,192CS
William Kurt,Defeat,174daysago,33min,8,10,6,1.4,146CS
William Kurt,Defeat,174daysago,23min,5,5,0,1.0,142CS
