Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Worst Smite LAN,GrandMaster,Victory,2020-11-10,37,6,3,20,8.67,220
Worst Smite LAN,GrandMaster,Defeat,2020-11-09,31,10,6,5,2.5,175
Worst Smite LAN,GrandMaster,Defeat,2020-11-08,16,8,8,19,3.38,46
Worst Smite LAN,GrandMaster,Defeat,2020-11-08,26,5,9,4,1.0,13
Worst Smite LAN,GrandMaster,Victory,2020-11-08,24,1,5,11,2.4,35
Worst Smite LAN,GrandMaster,Defeat,2020-11-08,25,5,4,6,2.75,157
Worst Smite LAN,GrandMaster,Defeat,2020-11-08,26,9,7,3,1.71,131
Worst Smite LAN,GrandMaster,Victory,2020-11-08,28,3,4,16,4.75,40
Worst Smite LAN,GrandMaster,Victory,2020-11-08,20,7,1,9,16.0,120
Worst Smite LAN,GrandMaster,Defeat,2020-11-08,28,5,5,10,3.0,190
Worst Smite LAN,GrandMaster,Defeat,2020-11-08,19,2,6,0,0.33,86
Worst Smite LAN,GrandMaster,Defeat,2020-11-08,13,3,10,6,0.9,24
Worst Smite LAN,GrandMaster,Victory,2020-11-08,24,7,2,15,11.0,165
Worst Smite LAN,GrandMaster,Victory,2020-11-08,29,7,7,12,2.71,185
Worst Smite LAN,GrandMaster,Defeat,2020-11-07,23,21,10,28,4.9,52
Worst Smite LAN,GrandMaster,Victory,2020-11-07,21,11,11,26,3.36,45
Worst Smite LAN,GrandMaster,Defeat,2020-11-07,19,10,9,14,2.67,46
Worst Smite LAN,GrandMaster,Defeat,2020-11-07,17,11,8,14,3.12,51
Worst Smite LAN,GrandMaster,Defeat,2020-11-07,21,6,7,17,3.29,52
Worst Smite LAN,GrandMaster,Victory,2020-11-07,42,8,8,18,3.25,265
Worst Smite LAN,GrandMaster,Defeat,2020-11-07,30,3,5,11,2.8,31
Worst Smite LAN,GrandMaster,Victory,2020-11-07,22,11,4,28,9.75,66
Worst Smite LAN,GrandMaster,Defeat,2020-11-07,21,5,9,11,1.78,77
Worst Smite LAN,GrandMaster,Defeat,2020-11-07,22,6,8,33,4.88,69
Worst Smite LAN,GrandMaster,Defeat,2020-11-07,12,5,3,8,4.33,15
Worst Smite LAN,GrandMaster,Victory,2020-11-07,19,13,9,13,2.89,38
Worst Smite LAN,GrandMaster,Victory,2020-11-07,29,2,5,21,4.6,10
Worst Smite LAN,GrandMaster,Defeat,2020-11-06,24,4,4,4,2.0,133
Worst Smite LAN,GrandMaster,Defeat,2020-11-05,29,10,8,6,2.0,145
Worst Smite LAN,GrandMaster,Victory,2020-11-04,14,12,4,17,7.25,53
Worst Smite LAN,GrandMaster,Victory,2020-11-04,18,6,1,6,12.0,143
Worst Smite LAN,GrandMaster,Defeat,2020-11-02,35,7,7,7,2.0,274
Worst Smite LAN,GrandMaster,Defeat,2020-11-02,25,2,3,4,2.0,165
