Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
Wınter,Master,Defeat,2020-11-06,25,3,6,9,2.0,126
Wınter,Master,Defeat,2020-11-06,25,1,4,5,1.5,123
Wınter,Master,Defeat,2020-11-06,26,3,5,9,2.4,119
Wınter,Master,Defeat,2020-11-06,24,4,5,6,2.0,120
Wınter,Master,Defeat,2020-11-06,28,6,11,3,0.82,97
Wınter,Master,Victory,2020-11-04,39,14,4,8,5.5,148
Wınter,Master,Victory,2020-11-04,23,8,0,7,15.0,157
Wınter,Master,Defeat,2020-11-03,24,4,6,5,1.5,93
Wınter,Master,Victory,2020-11-03,15,1,0,5,6.0,92
Wınter,Master,Victory,2020-11-03,34,6,8,9,1.88,133
Wınter,Master,Victory,2020-10-30,28,6,1,10,16.0,162
Wınter,Master,Victory,2020-10-30,20,1,2,5,3.0,118
Wınter,Master,Victory,2020-10-30,23,7,2,11,9.0,111
Wınter,Master,Victory,2020-10-30,36,3,8,10,1.62,166
Wınter,Master,Victory,2020-10-30,24,1,1,1,2.0,155
Wınter,Master,Defeat,2020-10-30,36,2,10,14,1.6,159
Wınter,Master,Victory,2020-10-30,32,10,3,7,5.67,206
Wınter,Master,Defeat,2020-10-28,36,7,11,13,1.82,134
Wınter,Master,Victory,2020-10-28,32,3,0,2,5.0,205
Wınter,Master,Defeat,2020-10-26,32,6,8,10,2.0,116
Wınter,Master,Victory,2020-10-26,35,10,9,15,2.78,150
Wınter,Master,Victory,2020-10-23,25,13,2,8,10.5,133
Wınter,Master,Victory,2020-10-23,20,7,2,5,6.0,136
Wınter,Master,Victory,2020-10-21,37,11,8,13,3.0,170
Wınter,Master,Defeat,2020-10-20,18,2,5,1,0.6,68
Wınter,Master,Defeat,2020-10-19,21,4,7,2,0.86,87
Wınter,Master,Defeat,2020-10-19,30,4,5,5,1.8,138
Wınter,Master,Defeat,2020-10-17,16,1,4,0,0.25,62
Wınter,Master,Defeat,2020-10-15,21,3,6,6,1.5,90
Wınter,Master,Defeat,2020-10-15,31,2,10,12,1.4,135
Wınter,Master,Victory,2020-10-15,29,15,7,19,4.86,144
Wınter,Master,Victory,2020-10-14,25,9,5,17,5.2,114
Wınter,Master,Victory,2020-10-13,26,4,2,7,5.5,150
Wınter,Master,Victory,2020-10-13,11,1,0,2,3.0,70
Wınter,Master,Victory,2020-10-13,24,6,1,5,11.0,138
Wınter,Master,Defeat,2020-10-09,26,2,7,6,1.14,98
Wınter,Master,Defeat,2020-10-09,32,4,8,11,1.88,143
Wınter,Master,Victory,2020-10-09,27,6,3,11,5.67,138
Wınter,Master,Defeat,2020-10-09,22,3,6,7,1.67,82
Wınter,Master,Victory,2020-10-08,39,7,10,11,1.8,211
Wınter,Master,Defeat,2020-10-07,20,0,6,1,0.17,95
Wınter,Master,Victory,2020-10-07,22,4,2,7,5.5,132
Wınter,Master,Victory,2020-10-07,39,6,5,6,2.4,199
Wınter,Master,Victory,2020-10-07,29,3,4,5,2.0,197
Wınter,Master,Victory,2020-10-07,32,6,2,7,6.5,181
Wınter,Master,Defeat,2020-09-14,28,1,6,4,0.83,173
Wınter,Master,Defeat,2020-09-07,27,10,11,12,2.0,114
Wınter,Master,Victory,2020-09-07,23,14,1,4,18.0,142
Wınter,Master,Defeat,2020-08-22,38,4,8,7,1.38,219
Wınter,Master,Defeat,2020-08-01,21,2,4,3,1.25,99
Wınter,Master,Victory,2020-07-26,22,4,2,8,6.0,124
Wınter,Master,Victory,2020-07-26,19,9,1,5,14.0,79
Wınter,Master,Defeat,2020-07-26,43,6,7,8,2.0,219
Wınter,Master,Defeat,2020-07-26,24,5,5,7,2.4,91
Wınter,Master,Victory,2020-07-23,16,6,2,5,5.5,81
Wınter,Master,Defeat,2020-07-23,27,2,6,6,1.33,32
Wınter,Master,Defeat,2020-07-23,27,1,8,8,1.12,117
Wınter,Master,Defeat,2020-07-20,21,6,8,4,1.25,82
Wınter,Master,Defeat,2020-07-20,26,6,5,6,2.4,129
Wınter,Master,Defeat,2020-07-20,18,4,5,5,1.8,99
Wınter,Master,Victory,2020-07-20,24,9,3,9,6.0,126
Wınter,Master,Defeat,2020-07-19,18,2,5,1,0.6,90
Wınter,Master,Defeat,2020-07-17,33,9,7,7,2.29,155
Wınter,Master,Defeat,2020-07-15,22,2,4,3,1.25,86
Wınter,Master,Victory,2020-07-14,15,8,4,1,2.25,70
Wınter,Master,Victory,2020-07-14,25,7,7,9,2.29,96
Wınter,Master,Victory,2020-07-07,27,3,2,14,8.5,148
Wınter,Master,Defeat,2020-07-07,19,2,6,3,0.83,90
Wınter,Master,Victory,2020-07-05,20,9,3,8,5.67,92
Wınter,Master,Defeat,2020-07-05,21,2,7,3,0.71,74
Wınter,Master,Defeat,2020-06-29,16,2,4,1,0.75,54
Wınter,Master,Victory,2020-06-29,18,3,1,3,6.0,119
Wınter,Master,Victory,2020-06-29,22,3,4,11,3.5,99
Wınter,Master,Victory,2020-06-29,24,10,2,11,10.5,119
Wınter,Master,Defeat,2020-06-26,27,1,9,4,0.56,113
Wınter,Master,Victory,2020-06-26,33,9,4,8,4.25,172
Wınter,Master,Victory,2020-06-26,29,5,7,6,1.57,161
Wınter,Master,Victory,2020-06-26,32,7,8,13,2.5,164
Wınter,Master,Victory,2020-06-26,24,15,6,3,3.0,129
Wınter,Master,Victory,2020-06-26,25,2,9,7,1.0,141
