Summoner Name,Rank,W/L,Date,Duration (min),K,D,A,KDA,CS
 EI Ritardo,Silver II,Victory,2020-11-19,17,3,1,2,5.0,121
 EI Ritardo,Silver II,Victory,2020-11-19,40,13,2,19,16.0,237
 EI Ritardo,Silver II,Victory,2020-11-19,34,19,7,14,4.71,198
 EI Ritardo,Silver II,Victory,2020-11-17,15,8,0,1,9.0,91
 EI Ritardo,Silver II,Defeat,2020-11-17,24,5,5,4,1.8,107
 EI Ritardo,Silver II,Defeat,2020-11-13,24,3,4,2,1.25,142
 EI Ritardo,Silver II,Victory,2020-10-20,29,6,4,8,3.5,192
 EI Ritardo,Silver II,Defeat,2020-10-14,16,4,3,2,2.0,86
 EI Ritardo,Silver II,Victory,2020-10-06,49,27,8,12,4.88,269
 EI Ritardo,Silver II,Defeat,2020-10-05,27,0,1,0,0.0,2
 EI Ritardo,Silver II,Defeat,2020-10-05,23,2,9,2,0.44,121
 EI Ritardo,Silver II,Victory,2020-10-05,35,4,6,18,3.67,49
 EI Ritardo,Silver II,Defeat,2020-10-05,15,2,1,1,3.0,90
 EI Ritardo,Silver II,Victory,2020-10-04,31,8,6,9,2.83,193
 EI Ritardo,Silver II,Victory,2020-09-30,22,18,1,2,20.0,150
 EI Ritardo,Silver II,Victory,2020-09-29,31,10,9,6,1.78,196
 EI Ritardo,Silver II,Defeat,2020-09-29,32,4,10,6,1.0,160
 EI Ritardo,Silver II,Victory,2020-09-28,38,17,8,8,3.12,206
 EI Ritardo,Silver II,Defeat,2020-09-25,40,7,14,16,1.64,199
 EI Ritardo,Silver II,Defeat,2020-09-25,31,7,9,6,1.44,149
 EI Ritardo,Silver II,Victory,2020-09-25,15,9,3,9,6.0,27
 EI Ritardo,Silver II,Defeat,2020-09-25,31,5,7,8,1.86,150
 EI Ritardo,Silver II,Defeat,2020-09-25,21,4,6,3,1.17,114
